"","Species_(S)","Unstable","Stable","De-stabilised","Stabilised","Infeasible","Feasible","Made_infeasible","Made_feasible"
"1",2,59,99941,0,0,16015,54510,23757,5718
"2",3,228,99772,0,0,46846,17089,28405,7660
"3",4,694,99301,5,0,75283,3306,17219,4192
"4",5,1548,98439,13,0,90949,450,7227,1374
"5",6,3115,96834,48,3,97287,38,2352,323
"6",7,5526,94332,114,28,99349,1,598,52
"7",8,8781,90861,265,93,99857,0,137,6
"8",9,13244,86035,481,240,99977,0,21,2
"9",10,18598,80043,844,515,99994,0,6,0
"10",11,24816,72770,1394,1020,99999,0,1,0
"11",12,31334,64884,2001,1781,99999,0,1,0
"12",13,38984,55866,2501,2649,1e+05,0,0,0
"13",14,46472,46689,3073,3766,1e+05,0,0,0
"14",15,54436,37412,3360,4792,1e+05,0,0,0
"15",16,62395,28727,3567,5311,1e+05,0,0,0
"16",17,69737,20949,3504,5810,1e+05,0,0,0
"17",18,76580,14478,3092,5850,1e+05,0,0,0
"18",19,82669,9330,2675,5326,1e+05,0,0,0
"19",20,87770,5796,2036,4398,1e+05,0,0,0
"20",21,91702,3342,1421,3535,1e+05,0,0,0
"21",22,94484,1783,1006,2727,1e+05,0,0,0
"22",23,96750,838,629,1783,1e+05,0,0,0
"23",24,98047,393,320,1240,1e+05,0,0,0
"24",25,98963,179,168,690,1e+05,0,0,0
"25",26,99454,53,87,406,1e+05,0,0,0
"26",27,99682,26,41,251,1e+05,0,0,0
"27",28,99842,9,16,133,1e+05,0,0,0
"28",29,99941,4,4,51,1e+05,0,0,0
"29",30,99973,1,5,21,1e+05,0,0,0
"30",31,99989,1,1,9,1e+05,0,0,0
"31",32,99996,0,0,4,1e+05,0,0,0
"32",33,99999,0,0,1,1e+05,0,0,0
"33",34,1e+05,0,0,0,1e+05,0,0,0
"34",35,1e+05,0,0,0,1e+05,0,0,0
"35",36,1e+05,0,0,0,1e+05,0,0,0
"36",37,1e+05,0,0,0,1e+05,0,0,0
"37",38,1e+05,0,0,0,1e+05,0,0,0
"38",39,1e+05,0,0,0,1e+05,0,0,0
"39",40,1e+05,0,0,0,1e+05,0,0,0
"40",41,1e+05,0,0,0,1e+05,0,0,0
"41",42,1e+05,0,0,0,1e+05,0,0,0
"42",43,1e+05,0,0,0,1e+05,0,0,0
"43",44,1e+05,0,0,0,1e+05,0,0,0
"44",45,1e+05,0,0,0,1e+05,0,0,0
"45",46,1e+05,0,0,0,1e+05,0,0,0
"46",47,1e+05,0,0,0,1e+05,0,0,0
"47",48,1e+05,0,0,0,1e+05,0,0,0
"48",49,1e+05,0,0,0,1e+05,0,0,0
"49",50,1e+05,0,0,0,1e+05,0,0,0
"50",51,1e+05,0,0,0,1e+05,0,0,0
"51",52,1e+05,0,0,0,1e+05,0,0,0
"52",53,1e+05,0,0,0,1e+05,0,0,0
"53",54,1e+05,0,0,0,1e+05,0,0,0
"54",55,1e+05,0,0,0,1e+05,0,0,0
"55",56,1e+05,0,0,0,1e+05,0,0,0
"56",57,1e+05,0,0,0,1e+05,0,0,0
"57",58,1e+05,0,0,0,1e+05,0,0,0
"58",59,1e+05,0,0,0,1e+05,0,0,0
"59",60,1e+05,0,0,0,1e+05,0,0,0
"60",61,1e+05,0,0,0,1e+05,0,0,0
"61",62,1e+05,0,0,0,1e+05,0,0,0
"62",63,1e+05,0,0,0,1e+05,0,0,0
"63",64,1e+05,0,0,0,1e+05,0,0,0
"64",65,1e+05,0,0,0,1e+05,0,0,0
"65",66,1e+05,0,0,0,1e+05,0,0,0
"66",67,1e+05,0,0,0,1e+05,0,0,0
"67",68,1e+05,0,0,0,1e+05,0,0,0
"68",69,1e+05,0,0,0,1e+05,0,0,0
"69",70,1e+05,0,0,0,1e+05,0,0,0
"70",71,1e+05,0,0,0,1e+05,0,0,0
"71",72,1e+05,0,0,0,1e+05,0,0,0
"72",73,1e+05,0,0,0,1e+05,0,0,0
"73",74,1e+05,0,0,0,1e+05,0,0,0
"74",75,1e+05,0,0,0,1e+05,0,0,0
"75",76,1e+05,0,0,0,1e+05,0,0,0
"76",77,1e+05,0,0,0,1e+05,0,0,0
"77",78,1e+05,0,0,0,1e+05,0,0,0
"78",79,1e+05,0,0,0,1e+05,0,0,0
"79",80,1e+05,0,0,0,1e+05,0,0,0
"80",81,1e+05,0,0,0,1e+05,0,0,0
"81",82,1e+05,0,0,0,1e+05,0,0,0
"82",83,1e+05,0,0,0,1e+05,0,0,0
"83",84,1e+05,0,0,0,1e+05,0,0,0
"84",85,1e+05,0,0,0,1e+05,0,0,0
"85",86,1e+05,0,0,0,1e+05,0,0,0
"86",87,1e+05,0,0,0,1e+05,0,0,0
"87",88,1e+05,0,0,0,1e+05,0,0,0
"88",89,1e+05,0,0,0,1e+05,0,0,0
"89",90,1e+05,0,0,0,1e+05,0,0,0
"90",91,1e+05,0,0,0,1e+05,0,0,0
"91",92,1e+05,0,0,0,1e+05,0,0,0
"92",93,1e+05,0,0,0,1e+05,0,0,0
"93",94,1e+05,0,0,0,1e+05,0,0,0
"94",95,1e+05,0,0,0,1e+05,0,0,0
"95",96,1e+05,0,0,0,1e+05,0,0,0
"96",97,1e+05,0,0,0,1e+05,0,0,0
"97",98,1e+05,0,0,0,1e+05,0,0,0
"98",99,1e+05,0,0,0,1e+05,0,0,0
"99",100,1e+05,0,0,0,1e+05,0,0,0
