rho_set,A0_unstable,A0_stable,A1_unstable,A1_stable,A1_stabilised,A1_destabilised,A0_infeasible,A0_feasible,A1_infeasible,A1_feasible,A1_made_feasible,A1_made_infeasible,A0_rho,A1_rho,rho_diff,rho_abs,complex_A0,complex_A1,A0_eig,A1_eig,LCI_A0,UCI_A0,LCI_A1,UCI_A1
-0.95,0,10,0,10,0,0,10,0,10,0,0,0,-0.95,-0.713463234774798,0.236536765225202,-0.236536765225202,1.00891523753221,1.16401448074035,-0.953997380944352,-0.001735325641828,-0.974587632114162,-0.931991682585357,-0.004126818469699,-0.000125568825673
-0.9,0,10,0,10,0,0,10,0,10,0,0,0,-0.9,-0.672808039842477,0.227191960157523,-0.227191960157523,0.995627321445754,1.15141939372991,-0.890422807298735,-0.00237208416538,-0.904226256637815,-0.857871012377868,-0.004806184103325,-8.73267098213385E-05
-0.85,0,10,0,10,0,0,10,0,10,0,0,0,-0.85,-0.637201735548618,0.212798264451382,-0.212798264451382,0.997935819807447,1.15241557034448,-0.840959430840208,-0.001440104191261,-0.870765436491212,-0.822302260580427,-0.003087582769201,-9.79613727633903E-05
-0.8,0,10,0,10,0,0,10,0,10,0,0,0,-0.8,-0.600181019817364,0.199818980182636,-0.199818980182636,0.999185489923493,1.15341236609165,-0.794848940990818,-0.00239940055174,-0.810983047690795,-0.774039949602136,-0.007093350665509,-9.97854296088247E-05
-0.75,0,10,0,10,0,0,10,0,10,0,0,0,-0.75,-0.560828885075072,0.189171114924928,-0.189171114924928,0.994850889475736,1.15066053928911,-0.742716896526223,-0.002244433615259,-0.762563747223577,-0.71268726561292,-0.005047678462706,-6.80864481893604E-05
-0.7,0,10,0,10,0,0,10,0,10,0,0,0,-0.7,-0.52485759883208,0.17514240116792,-0.17514240116792,0.996882016445016,1.15125373569733,-0.690697811667299,-0.001299495546861,-0.704237880540434,-0.674036626229359,-0.004608787932179,-8.42725843808428E-05
-0.65,0,10,0,10,0,0,10,0,10,0,0,0,-0.65,-0.490215466201485,0.159784533798515,-0.159784533798515,1.00436713764291,1.15641557161004,-0.647719770540456,-0.002417837339729,-0.664792828554411,-0.62392513372583,-0.006562564124971,-0.000117819800389
-0.6,0,10,0,10,0,0,10,0,10,0,0,0,-0.6,-0.450795637775266,0.149204362224734,-0.149204362224734,1.00347040939323,1.15741763688908,-0.592220194906031,-0.001113218256666,-0.609119777874839,-0.567419188265127,-0.002402053374752,-0.000128793092184
-0.55,0,10,0,10,0,0,10,0,10,0,0,0,-0.55,-0.410364287888155,0.139635712111845,-0.139635712111845,0.996106532524553,1.15293713137054,-0.542506705850744,-0.001938792147544,-0.557132260416478,-0.530349521757832,-0.003729795247412,-0.000294865400612
-0.5,0,10,0,10,0,0,10,0,10,0,0,0,-0.5,-0.376425329800205,0.123574670199794,-0.123574670199794,1.00057148153182,1.15335841420115,-0.498338305909325,-0.002200850197372,-0.526437210956463,-0.484011466814163,-0.008622275431553,-7.22810031712258E-05
