S,A_unstable,A_stable,M_unstable,M_stable,A_stabilised,A_destabilised,A_infeasible,A_feasible,M_infeasible,M_feasible,A_made_feasible,A_made_infeasible,A_rho,M_rho,rho_diff,rho_abs,complex_A,complex_M,A_eig,M_eig,LR_A,UR_A,LR_M,UR_M
2,26,99974,26,99974,0,0,75135,24865,75119,24881,4305,4289,NA,NA,NA,NA,0.637781078887411,0.711951786892961,-1.22184195665062,-0.727105636821649,-1.4142135623731,0.33494961471748,-1.4142135623731,0.25751574139208
3,350,99650,352,99648,0,2,87397,12603,87500,12500,5069,5172,0.003927479610857,0.001647695584649,-0.002279784026208,-0.010853156302722,0.845308834004625,0.976395902693869,-0.921366633007847,-0.333443013770307,-1.73178284273639,0.885372944638372,-1.69094523767339,0.500375233892353
4,1518,98482,1530,98470,0,12,93823,6177,93766,6234,3311,3254,1.77521677086371E-05,-0.000439876936211,-0.00045762910392,-0.016431277789878,1.10103224560076,1.27827263675009,-0.83772822255433,-0.299101848584555,-1.96605465329506,1.02852113141158,-1.55316179347518,1.13882320315378
5,3844,96156,3904,96096,5,65,96821,3179,96829,3171,1956,1964,-0.000110625676507,-0.000129017556603,-1.83918800962065E-05,-0.015233398735408,1.2773195098309,1.49421266206916,-0.701108184724956,-0.233127458426123,-2.16168322995546,1.0744300459197,-1.48579194589082,1.2046090264259
6,7896,92104,8073,91927,57,234,98440,1560,98502,1498,985,1047,0.000354078790666,0.000757648625384,0.000403569834718,-0.011262477968904,1.43666003488447,1.68453396954087,-0.567350107560186,-0.182297094996935,-2.17247629155217,1.46193912502713,-1.46788544139449,1.74317638898712
7,13544,86456,13930,86070,206,592,99205,795,99201,799,584,580,-0.001022603309737,-0.00051031334499,0.000512289964747,-0.008522055051695,1.57474089384094,1.85071804141952,-0.436698385320644,-0.133464919681026,-2.01736217509628,2.13731665571839,-1.31071450007667,1.96778743042783
8,20608,79392,21178,78822,630,1200,99586,414,99611,389,281,306,0.001342288382224,0.000324380136786,-0.001017908245438,-0.00636606334109,1.69870760345848,2.00090445772754,-0.310278778306314,-0.08555824730554,-2.07101665154894,2.04469221384775,-1.4270306959928,1.93414320738466
9,29002,70998,29471,70529,1500,1969,99796,204,99796,204,157,157,-0.000828449435276,-0.000433616494039,0.000394832941237,-0.005776866066834,1.81054688042834,2.1369268192476,-0.193255681696773,-0.038059862384372,-1.88996356765435,1.99654775534514,-1.19179730251112,2.02014403823675
10,38206,61794,38414,61586,2685,2893,99906,94,99894,106,86,74,0.000305572278954,0.000106630963225,-0.000198941315729,-0.004651241773014,1.91086676110493,2.25888641501787,-0.083681993496733,0.009336050161352,-1.83338963727189,2.3812544063817,-1.07091686929905,2.64678174026567
11,48648,51352,48076,51924,4171,3599,99952,48,99950,50,42,40,-0.000137138198227,-0.000338281693061,-0.000201143494834,-0.003835404263903,2.00616544955616,2.37513355581624,0.024477830641126,0.060557747099643,-1.62694188769689,2.84328018745979,-0.899611917158968,2.98986244927961
12,59046,40954,57330,42670,5740,4024,99977,23,99987,13,13,23,-0.000121492443114,0.000114215207126,0.00023570765024,-0.002971689672485,2.09366862648975,2.48284970432146,0.124145944869527,0.111700354025063,-1.40212506356991,2.67559657468697,-1.15649900206519,2.92182029837236
13,69031,30969,66230,33770,6833,4032,99984,16,99985,15,9,10,0.00030273952421,-0.000182030352612,-0.000484769876822,-0.002508213572864,2.17889409716758,2.58729947113122,0.222122526267474,0.16596476784299,-1.56897772895247,3.03532503787412,-0.765576640794462,3.11690818886893
14,77792,22208,74371,25629,7224,3803,99992,8,99994,6,5,7,9.5025372175535E-06,0.000165428661826,0.000155926124609,-0.002240183299387,2.25580359506657,2.68301630941955,0.312140645401115,0.220382968722905,-1.07447432414495,3.1577980312226,-0.698805145251739,3.23490230961695
15,84794,15206,81087,18913,7022,3315,99993,7,99999,1,1,7,0.000147292992158,-0.000154054815027,-0.000301347807185,-0.001424949974154,2.3353258130632,2.78007102039365,0.401299183942989,0.277438526878487,-0.94009134320135,3.06609574031007,-0.614488799933003,3.1343761748318
16,90496,9504,86643,13357,6392,2539,99999,1,99998,2,2,1,0.000158816962203,-4.85375368307991E-05,-0.000207354499034,-0.001550055402337,2.40809065538406,2.869569952508,0.486205924983319,0.336866502944348,-0.822234956678235,3.18331089863121,-0.649758639102484,3.52882224382139
17,94430,5570,91024,8976,5159,1753,99999,1,100000,0,0,1,-0.00011644664529,0.00023930364128,0.00035575028657,-0.001294984215465,2.47854093439196,2.95612665496704,0.566766163832111,0.396952921645446,-0.773826660119714,3.87207656043247,-0.484547185828458,4.19346077037458
18,96952,3048,94147,5853,3950,1145,99998,2,99999,1,1,2,6.50049208285588E-05,-2.18052512928912E-05,-8.68101721214499E-05,-0.001204590255182,2.54724074666287,3.04105001370352,0.646223654470686,0.457484786750568,-0.878231096930856,3.43797969583729,-0.349332307907863,3.37846377379094
19,98447,1553,96367,3633,2741,661,100000,0,99999,1,1,0,0.000189571241971,2.84885633585666E-07,-0.000189286356337,-0.001071662855767,2.61520540448496,3.12423368284436,0.72162553086148,0.51964732843027,-0.518016858095466,3.6866101224264,-0.419710749175114,4.10630342230492
