S,A_unstable,A_stable,M_unstable,M_stable,A_stabilised,A_destabilised
2,3111,96889,3111,96889,0,0
3,5203,94797,5237,94763,1,35
4,6743,93257,6818,93182,6,81
5,7889,92111,8005,91995,20,136
6,8834,91166,8991,91009,55,212
7,9885,90115,10072,89928,81,268
8,10516,89484,10764,89236,108,356
9,11135,88865,11383,88617,145,393
10,11819,88181,12095,87905,181,457
11,12414,87586,12700,87300,213,499
12,12865,87135,13136,86864,283,554
13,13530,86470,13836,86164,324,630
14,13745,86255,14042,85958,362,659
15,14401,85599,14720,85280,387,706
16,14793,85207,15123,84877,428,758
17,15004,84996,15356,84644,444,796
18,15361,84639,15735,84265,472,846
19,16062,83938,16303,83697,592,833
20,15814,84186,16184,83816,566,936
21,16171,83829,16492,83508,640,961
22,16671,83329,17049,82951,641,1019
23,17000,83000,17291,82709,718,1009
24,17411,82589,17666,82334,765,1020
25,17414,82586,17742,82258,783,1111
26,17697,82303,18027,81973,806,1136
27,18010,81990,18316,81684,880,1186
28,18584,81416,18735,81265,1008,1159
29,18401,81599,18572,81428,942,1113
30,18497,81503,18754,81246,952,1209
31,18744,81256,18942,81058,991,1189
32,18936,81064,19194,80806,1022,1280
33,19174,80826,19346,80654,1113,1285
34,19477,80523,19632,80368,1120,1275
35,19659,80341,19777,80223,1206,1324
36,19883,80117,19929,80071,1275,1321
37,20275,79725,20348,79652,1308,1381
38,20067,79933,20190,79810,1275,1398
39,20416,79584,20516,79484,1340,1440
40,20370,79630,20489,79511,1359,1478
41,20295,79705,20430,79570,1382,1517
42,20767,79233,20839,79161,1418,1490
43,20688,79312,20705,79295,1471,1488
44,21049,78951,21028,78972,1555,1534
45,21114,78886,21034,78966,1572,1492
46,21163,78837,21195,78805,1463,1495
47,21373,78627,21353,78647,1535,1515
48,21338,78662,21285,78715,1632,1579
49,21547,78453,21566,78434,1575,1594
50,21738,78262,21633,78367,1636,1531
51,21967,78033,21892,78108,1698,1623
