S,A_unstable,A_stable,M_unstable,M_stable,A_stabilised,A_destabilised,A_infeasible,A_feasible,M_infeasible,M_feasible,A_made_feasible,A_made_infeasible,A_rho,M_rho,rho_diff,rho_abs,complex_A,complex_M,A_eig,M_eig,LCI_A,UCI_A,LCI_M,UCI_M
2,35,99965,35,99965,0,0,74943,25057,74954,25046,4363,4374,NA,NA,NA,NA,0.6392023039,0.7145629147,-1.2223745935,-0.7279596799,-1.4142135624,0.5356704347,-1.4142135624,0.416506433
3,364,99636,365,99635,0,1,87643,12357,87656,12344,5063,5076,-0.0015740279,0.0006117891,0.002185817,-0.0112027371,0.7927675869,0.9292753366,-0.8655447627,-0.3168321561,-1.7281070578,0.5086675314,-1.632480011,0.3587927185
4,1424,98576,1436,98564,0,12,93771,6229,93724,6276,3297,3250,-0.002165074,-0.0014140623,0.0007510116,-0.0240859872,0.9620115773,1.1576470883,-0.7333228091,-0.2565356141,-1.9660420695,0.9099911099,-1.5815576581,0.7282166671
5,3947,96053,4029,95971,2,84,96906,3094,96856,3144,1926,1876,0.0004187946,-0.0002891129,-0.0007079075,-0.0213759295,1.0761711434,1.3205494223,-0.5882734877,-0.1929290502,-1.9532089788,1.2420759363,-1.4200703122,1.3666648871
6,7964,92036,8133,91867,49,218,98452,1548,98442,1558,1047,1037,0.0002132403,0.0010601248,0.0008468845,-0.0195555767,1.1696327057,1.458227575,-0.4625940688,-0.1459824267,-1.8259935994,1.3110945013,-1.2500470881,1.3610412605
7,13333,86667,13667,86333,209,543,99234,766,99210,790,549,525,0.0003865687,4.85603855539048E-05,-0.0003380083,-0.0168117788,1.2508313559,1.5802498713,-0.3476557554,-0.1036983854,-1.7754875795,1.6762327666,-1.273474877,1.734633162
8,20330,79670,20847,79153,617,1134,99617,383,99594,406,285,262,-0.0001380137,0.0012072214,0.001345235,-0.0138971253,1.3247290655,1.6879287828,-0.2440687962,-0.0664257999,-1.6299079844,1.7333079866,-1.0004236177,1.3681019511
9,28611,71389,29089,70911,1414,1892,99807,193,99820,180,140,153,7.6084753319006E-05,0.0003253548,0.00024927,-0.0120822607,1.3913469766,1.7892756542,-0.1499283852,-0.0314321077,-1.5172089676,1.9715439173,-0.8570644775,1.8870973412
10,38326,61674,38391,61609,2687,2752,99900,100,99902,98,70,72,0.0007203636,0.0012021803,0.0004818167,-0.0101366332,1.4559959999,1.8857202058,-0.0631760552,0.0040418881,-1.2808111055,1.8046383771,-0.8769876707,2.2296864334
11,48850,51150,48065,51935,4211,3426,99941,59,99946,54,43,48,0.0004086668,-0.0001103662,-0.0005190331,-0.008742458,1.5136606289,1.9704735063,0.0181152519,0.0386300277,-1.6724132239,2.308872487,-0.7949626923,2.0697088961
12,58791,41209,57075,42925,5621,3905,99978,22,99979,21,15,16,-0.0003651653,-0.000315649,4.95163272536432E-05,-0.0076671134,1.5720117792,2.0575064661,0.0929461714,0.0734272698,-1.0507237908,2.041854982,-0.6832183027,2.4209949473
13,69173,30827,66538,33462,6614,3979,99987,13,99983,17,14,10,0.0007039061,0.0006203152,-8.35909319227302E-05,-0.00730745,1.62449483,2.1373099546,0.1669921522,0.1108703723,-0.9420730501,2.4214188586,-0.543483335,2.5732771207
14,77797,22203,74233,25767,7192,3628,99996,4,99998,2,2,4,-0.0008649334,-0.0001618841,0.0007030493,-0.0061925021,1.6742821763,2.2129395377,0.2311336862,0.1452415919,-0.8359838706,2.1765251119,-0.6880507465,2.561689855
15,84997,15003,81123,18877,7065,3191,99997,3,99997,3,3,3,-0.0002003833,0.0001731709,0.0003735542,-0.0054760477,1.7231287916,2.2839605697,0.2957831775,0.1835968463,-0.9246801275,2.5945431867,-0.3849516695,2.5252175843
16,90387,9613,86628,13372,6297,2538,99997,3,99999,1,1,3,0.0003532479,5.1570588912237E-05,-0.0003016773,-0.0048299578,1.7721767873,2.3570083758,0.3563756626,0.2201859126,-0.6494296166,2.2794301483,-0.4291810682,3.0285714318
17,94421,5579,91033,8967,5049,1661,99998,2,99998,2,2,2,0.0005404733,0.0004005903,-0.000139883,-0.0046084134,1.8180824754,2.4253546648,0.4171423388,0.260114383,-0.6155174566,2.4922252526,-0.31125894,2.7004128667
18,96896,3104,94167,5833,3870,1141,100000,0,100000,0,0,0,6.74512264591695E-05,-0.0003729112,-0.0004403624,-0.0040239527,1.865153861,2.4941396104,0.4731758669,0.3013070969,-0.562244838,2.6030566842,-0.3223216862,2.5302720022
19,98484,1516,96422,3578,2712,650,100000,0,99999,1,1,0,0.0003697542,-3.42957617148399E-05,-0.00040405,-0.0035884776,1.9077738235,2.5582944404,0.5268824315,0.338582271,-0.3889257632,2.5319561716,-0.217897214,3.0841703327
20,99283,717,97933,2067,1686,336,100000,0,100000,0,0,0,0.0002605638,-4.38343946235071E-05,-0.0003043981,-0.0034888214,1.9505259949,2.6208188712,0.5783424776,0.3776108507,-0.3036268647,2.6259019529,-0.2006185056,2.924609149
21,99688,312,98804,1196,1049,165,100000,0,100000,0,0,0,0.0001929442,0.000085704,-0.0001072403,-0.0030976703,1.9914904732,2.6815714789,0.6299264103,0.4193028872,-0.3294409195,2.9215162425,-0.1411176461,3.0417313481
22,99871,129,99357,643,589,75,100000,0,100000,0,0,0,-4.23426881306803E-05,5.1233476813197E-05,9.3576164943877E-05,-0.0028322159,2.0341049509,2.7435178447,0.6767944932,0.4588543473,-0.2056754136,2.6462726608,-0.1092846537,3.1729038893
23,99952,48,99679,321,302,29,100000,0,100000,0,0,0,0.0001721568,9.68542639067691E-07,-0.0001711883,-0.0027525714,2.0764159233,2.8032707392,0.7279667521,0.4999535656,-0.157862294,3.3672298026,-0.1227171257,2.9909907954
