S,A_unstable,A_stable,M_unstable,M_stable,A_stabilised,A_destabilised,A_infeasible,A_feasible,M_infeasible,M_feasible,A_made_feasible,A_made_infeasible,A_rho,M_rho,rho_diff,rho_abs,complex_A,complex_M,A_eig,M_eig,LR_A,UR_A,LR_M,UR_M
2,23,99977,23,99977,0,0,75274,24726,75189,24811,4396,4311,NA,NA,NA,NA,0.64176182889957,0.717589154080025,-1.22305641799803,-0.728403103879458,-1.4142135623731,0.298180722526713,-1.4142135623731,0.228716941396966
3,372,99628,372,99628,0,0,87643,12357,87475,12525,5315,5147,-0.000705270683015,-0.002383995591456,-0.001678724908441,-0.011936431472705,0.801507851510809,0.937582368821949,-0.872898412542118,-0.303482182542586,-1.73123598006459,0.815446459560712,-1.51060943383612,0.776755199234074
4,1492,98508,1508,98492,0,16,93693,6307,93722,6278,3357,3386,0.001180169692921,0.000865565078759,-0.000314604614162,-0.02173638761018,1.00078236775465,1.19069916741416,-0.761581274580478,-0.253157326394583,-1.95001796004796,1.27895154835002,-1.69858818984494,1.45082684865047
5,3932,96068,3996,96004,5,69,96871,3129,96879,3121,1951,1959,-0.001830004048813,-0.002135491953352,-0.00030548790454,-0.020900432265576,1.13810553774934,1.37339787694756,-0.625108587961721,-0.190640799366535,-1.95479179741053,1.0117972591084,-1.39455776465438,1.12842876149367
6,7767,92233,7971,92029,42,246,98402,1598,98419,1581,1096,1113,-0.000503224707368,-0.000300938737601,0.000202285969767,-0.016048760972746,1.26236603885427,1.53401823523232,-0.500116304287776,-0.145364930522128,-1.88184269928258,1.61286344700842,-1.1959256104557,1.52458102391363
7,13396,86604,13839,86161,195,638,99198,802,99212,788,571,585,-0.00059436014303,-0.000541134650746,5.32254922839905E-05,-0.013540453142879,1.3714788680349,1.67832958805462,-0.381022151259192,-0.104193055331447,-1.81718053742337,1.50400688694006,-1.17785300375209,1.49735008757892
8,20607,79393,21229,78771,645,1267,99611,389,99632,368,273,294,-0.000675441466329,-7.6125752530755E-05,0.000599315713798,-0.010903506559746,1.47428874841175,1.8092039790829,-0.271745487443989,-0.065823651514024,-1.87670185545376,1.81840115373031,-1.09951656383887,1.5509908354826
9,28930,71070,29452,70548,1440,1962,99801,199,99799,201,152,150,-0.00047600806614,-0.00035170022006,0.00012430784608,-0.009049611685154,1.56565617979311,1.92972639926658,-0.168728891100641,-0.027282620407193,-1.65239522106245,2.4790721353326,-1.20864582196112,1.85090955345535
10,38735,61265,38907,61093,2778,2950,99901,99,99907,93,74,80,0.001385966559645,0.000533900079797,-0.000852066479848,-0.007571390677013,1.65316188300987,2.04130093630114,-0.068539789909245,0.013376255996599,-1.43124765901679,1.99469411467115,-0.900664439147227,2.13885841378752
11,48687,51313,48049,51951,4172,3534,99941,59,99950,50,37,46,-0.000317852076069,-0.000377880162458,-6.00280863897869E-05,-0.006528274403186,1.73883318395063,2.15049747948959,0.020781579080774,0.053418769043483,-1.34556284867994,2.52094929164826,-0.87864061117502,2.55221343929198
12,59292,40708,57817,42183,5490,4015,99969,31,99971,29,23,25,-0.000537644533344,-0.00066075168275,-0.000123107149406,-0.005860713205017,1.81727005854281,2.25185202266774,0.10835270986374,0.097199639578546,-1.21589545331778,2.40035338886445,-0.792541952894426,2.51957945930692
13,68954,31046,66478,33522,6535,4059,99992,8,99989,11,10,7,2.09569248250601E-05,0.00019999031739,0.000179033392565,-0.004980339920338,1.89355444096226,2.34800028725571,0.192746927078273,0.1427352814287,-1.18085798673891,2.77458434340457,-0.637532591637082,3.37720237600303
14,77658,22342,74565,25435,7035,3942,99993,7,99997,3,3,7,-0.000186387338854,0.000149841974232,0.000336229313086,-0.004083800529911,1.9651069406781,2.44043177191603,0.271188947944905,0.190207343903731,-1.25051299200842,3.02176639867764,-0.540243601087874,2.77807196687483
15,84975,15025,81536,18464,6679,3240,99997,3,99996,4,4,3,0.000278666641302,-7.82018466353957E-05,-0.000356868487938,-0.003773020114143,2.03826514158833,2.53205533471523,0.350379286337444,0.241849828341146,-0.892863514726295,2.6433766760484,-0.484579401655428,2.79467872130688
16,90582,9418,87263,12737,5801,2482,99998,2,99999,1,1,2,6.54045248127254E-05,0.000133115539723,6.77110149103327E-05,-0.00360507500118,2.10621289580033,2.61937631855617,0.424211559588321,0.294381396835443,-0.690684943495729,2.53652567130356,-0.512149009373216,2.53096896374322
17,94281,5719,91513,8487,4638,1870,99999,1,100000,0,0,1,2.10959484501582E-05,-0.000128056038429,-0.000149151986879,-0.002837971018154,2.17325880896624,2.70279199539398,0.495640581534043,0.346611445908451,-0.716894099183077,2.60416591183893,-0.515637689220276,2.97605648941946
18,96940,3060,94553,5447,3507,1120,100000,0,100000,0,0,0,0.000162447172699,0.000115037465596,-4.7409707102843E-05,-0.002516985028242,2.23664471522012,2.78393089904277,0.564280348556048,0.40085920520056,-0.681294349635023,2.89079160535544,-0.34677721088382,3.27172933419629
