,S,A_unstable,A_stable,M_unstable,M_stable,A_stabilised,A_destabilised,A_infeasible,A_feasible,M_infeasible,M_feasible,A_made_feasible,A_made_infeasible
1,2,56,99944,56,99944,0,0,65625,34375,62929,37071,4882,2186
2,3,3301,96699,3301,96699,0,0,66866,33134,62671,37329,8618,4423
3,4,34446,65554,34446,65554,0,0,61466,38534,58568,41432,9854,6956
4,5,86520,13480,86520,13480,0,0,69731,30269,68956,31044,8204,7429
5,6,99683,317,99683,317,0,0,87962,12038,89934,10066,3561,5533
6,7,99998,2,99998,2,0,0,97014,2986,98403,1597,769,2158
7,8,100000,0,100000,0,0,0,99373,627,99795,205,135,557
8,9,100000,0,100000,0,0,0,99904,96,99986,14,13,95
9,10,100000,0,100000,0,0,0,99992,8,99998,2,2,8
10,11,100000,0,100000,0,0,0,99998,2,100000,0,0,2
11,12,100000,0,100000,0,0,0,100000,0,100000,0,0,0
…,…,…,…,…,…,…,…,…,…,…,…,…,…
49,50,100000,0,100000,0,0,0,100000,0,100000,0,0,0
