rho_set,A0_unstable,A0_stable,A1_unstable,A1_stable,A1_stabilised,A1_destabilised,A0_infeasible,A0_feasible,A1_infeasible,A1_feasible,A1_made_feasible,A1_made_infeasible,A0_rho,A1_rho,rho_diff,rho_abs,complex_A0,complex_A1,A0_eig,A1_eig,LCI_A0,UCI_A0,LCI_A1,UCI_A1
-0.9,0,10000,0,10000,0,0,9998,2,9996,4,3,1,-0.9,-0.6722124796,0.2277875204,-0.2277875204,0.7745651131,0.8882740952,-0.8986586857,-0.1758837634,-1.4142374411,-0.3709518293,-1.2371731772,-5.95830543079407E-06
-0.85,0,10000,0,10000,0,0,9998,2,9995,5,5,2,-0.85,-0.6362104264,0.2137895736,-0.2137895736,0.7744059982,0.8880850243,-0.8691426279,-0.1760109546,-1.3731314509,-0.2361714189,-1.1256771383,-1.17567847756995E-05
-0.8,0,10000,0,10000,0,0,9998,2,9995,5,5,2,-0.8,-0.5979784893,0.2020215107,-0.2020215107,0.7734981339,0.887129291,-0.8362251604,-0.171630152,-1.3498291813,-0.2066806229,-1.2443012977,-0.000001884
-0.75,0,10000,0,10000,0,0,9991,9,9995,5,3,7,-0.75,-0.5610368752,0.1889631248,-0.1889631248,0.7740834451,0.8881692929,-0.8059438587,-0.168090383,-1.2852990138,-0.1515228632,-1.0715223095,-0.000019767
-0.7,0,10000,0,10000,0,0,9998,2,9996,4,4,2,-0.7,-0.5246934563,0.1753065437,-0.1753065437,0.7748248076,0.8884943893,-0.7767693211,-0.1676941032,-1.2959995468,-0.1821982092,-1.050714705,-1.49643044659673E-05
-0.65,3,9997,3,9997,0,0,9994,6,9995,5,1,2,-0.65,-0.4857379479,0.1642620521,-0.1642620521,0.7732982717,0.8874727334,-0.7461419314,-0.1641383972,-1.2797663748,0.0392930645,-1.1593492,0.0280280919
-0.6,6,9994,6,9994,0,0,9997,3,9993,7,5,1,-0.6,-0.4482072113,0.1517927887,-0.1517927887,0.7759475255,0.8903508791,-0.7160160552,-0.157548709,-1.224935744,0.2929444527,-1.0143897235,0.2070590965
-0.55,3,9997,3,9997,0,0,9997,3,9994,6,5,2,-0.55,-0.412473385,0.137526615,-0.137526615,0.7737728689,0.8869727925,-0.6878622387,-0.1567146532,-1.2487187944,0.1651730526,-1.0787873385,0.0450344989
-0.5,6,9994,6,9994,0,0,9996,4,9993,7,6,3,-0.5,-0.3730663327,0.1269336673,-0.1269336673,0.7739070442,0.8871444671,-0.6536586369,-0.1511994355,-1.1551054401,0.2411820433,-0.9599066798,0.2203071239
-0.45,9,9991,9,9991,0,0,9996,4,9990,10,8,2,-0.45,-0.3358729084,0.1141270916,-0.1141270916,0.7731134677,0.8873214882,-0.6245696563,-0.1462024818,-1.1412591044,0.328441641,-0.902848871,0.252049509
-0.4,6,9994,6,9994,0,0,9996,4,9995,5,3,2,-0.4,-0.2971986338,0.1028013662,-0.1027996824,0.7715796977,0.886188713,-0.5922011914,-0.1399074057,-1.1072265688,0.1320550605,-0.8495936026,0.0607399805
-0.35,18,9982,18,9982,0,0,9989,11,9992,8,4,7,-0.35,-0.2617652204,0.0882347796,-0.0882287351,0.7729827328,0.8870279911,-0.5595951278,-0.1360857858,-1.0873287559,0.2897862459,-0.8834912558,0.1966385753
-0.3,14,9986,14,9986,0,0,9993,7,9993,7,5,5,-0.3,-0.2227873346,0.0772126654,-0.0771565342,0.7697133502,0.8835017668,-0.5303937872,-0.1332022502,-1.0338660238,0.3788313512,-0.9374814228,0.3169878097
-0.25,36,9964,36,9964,0,0,9990,10,9985,15,13,8,-0.25,-0.1872263753,0.0627736247,-0.0626224799,0.7756975963,0.8899756068,-0.5001095526,-0.1285300235,-0.9904290125,0.4958132332,-0.8245689681,0.496118225
-0.2,38,9962,38,9962,0,0,9991,9,9987,13,9,5,-0.2,-0.1489823679,0.0510176321,-0.0503582194,0.7718854146,0.8860107628,-0.4708941531,-0.1239051579,-0.9442470676,0.2328362583,-0.7340531658,0.1810450947
