S,A_unstable,A_stable,M_unstable,M_stable,A_stabilised,A_destabilised,A_infeasible,A_feasible,M_infeasible,M_feasible,A_made_feasible,A_made_infeasible
10,0,100000,0,100000,0,0,99888,112,99886,114,28,26
20,0,100000,0,100000,0,0,100000,0,100000,0,0,0
30,0,100000,0,100000,0,0,100000,0,100000,0,0,0
40,0,100000,0,100000,0,0,100000,0,100000,0,0,0
50,0,100000,0,100000,0,0,100000,0,100000,0,0,0
60,2,99998,2,99998,0,0,100000,0,100000,0,0,0
70,4,99996,4,99996,0,0,100000,0,100000,0,0,0
80,6,99994,6,99994,0,0,100000,0,100000,0,0,0
90,5,99995,5,99995,0,0,100000,0,100000,0,0,0
100,11,99989,11,99989,0,0,100000,0,100000,0,0,0
110,12,99988,13,99987,0,1,100000,0,100000,0,0,0
120,23,99977,23,99977,0,0,100000,0,100000,0,0,0
130,40,99960,40,99960,0,0,100000,0,100000,0,0,0
140,62,99938,65,99935,0,3,100000,0,100000,0,0,0
150,162,99838,165,99835,0,3,100000,0,100000,0,0,0
160,325,99675,329,99671,2,6,100000,0,100000,0,0,0
170,829,99171,851,99149,6,28,100000,0,100000,0,0,0
180,1817,98183,1860,98140,31,74,100000,0,100000,0,0,0
190,3927,96073,3989,96011,143,205,100000,0,100000,0,0,0
200,8084,91916,8048,91952,557,521,100000,0,100000,0,0,0
210,15558,84442,15147,84853,1534,1123,100000,0,100000,0,0,0
220,26848,73152,25342,74658,3625,2119,100000,0,100000,0,0,0
230,43386,56614,39535,60465,6992,3141,100000,0,100000,0,0,0
240,62734,37266,56684,43316,9815,3765,100000,0,100000,0,0,0
250,80128,19872,73080,26920,10128,3080,100000,0,100000,0,0,0
260,92206,7794,86619,13381,7490,1903,100000,0,100000,0,0,0
270,97946,2054,94824,5176,3797,675,100000,0,100000,0,0,0
280,99659,341,98534,1466,1265,140,100000,0,100000,0,0,0
290,99962,38,99696,304,281,15,100000,0,100000,0,0,0
300,99994,6,99964,36,34,4,100000,0,100000,0,0,0
