beta,S,A_unstable,A_stable,M_unstable,M_stable,A_stabilised,A_destabilised,A_infeasible,A_feasible,M_infeasible,M_feasible,A_made_feasible,A_made_infeasible,A_rho,M_rho,rho_diff,rho_abs,complex_A,complex_M,A_eig,M_eig,LCI_A,UCI_A,LCI_M,UCI_M,C
0,24,17388,982612,17446,982554,1,59,999999,1,1000000,0,0,1,-2.06358902091922E-05,0.0003095389,0.0003301748,-0.0037838472,0.5748066482,0.6582631979,-0.3885282578,-0.0695906039,-1.1948399832,0.6462960906,-0.8619668583,0.8125404933,0.1304347826
0,48,258024,741976,260579,739421,585,3140,1000000,0,1000000,0,0,0,0.0001577975,0.0002148647,5.7067229453293E-05,-0.0007854225,0.8073917795,0.9294191962,-0.1027208368,-0.0002597693,-0.7637624994,1.1310487105,-0.3931583126,1.2322108828,0.1063829787
0,72,715036,284964,722639,277361,6445,14048,1000000,0,1000000,0,0,0,7.38647865196621E-06,-9.73478344267978E-06,-1.71212620946457E-05,-0.0002721316,0.9860839584,1.1364804912,0.1028688098,0.0935568762,-0.5359562431,1.2627183193,-0.2163357227,1.6803079258,0.0985915493
0,96,961434,38566,962788,37212,6682,8036,1000000,0,1000000,0,0,0,-6.665884253112E-05,-4.21663984535261E-05,2.44924440775939E-05,-0.000186554,1.1369394942,1.3110262549,0.2703201081,0.2187125424,-0.3097424494,1.3628690626,-0.1403740589,1.7362539188,0.0947368421
0,120,999008,992,998857,1143,635,484,1000000,0,1000000,0,0,0,3.50192742296626E-05,1.73168121740269E-05,-1.77024620556355E-05,-0.0001395933,1.2700386519,1.4649832329,0.4150644369,0.3522617546,-0.1548864332,1.5950517528,-0.0598716557,1.96194706,0.0924369748
0,144,999997,3,999994,6,5,2,1000000,0,1000000,0,0,0,-1.43594389289461E-05,-1.26717575838965E-05,1.68768134504943E-06,-6.76978710672429E-05,1.3903191618,1.6041216315,0.5436239835,0.4814820832,-0.0371332109,1.6296378366,-0.0133180673,2.0411212791,0.0909090909
0,168,1000000,0,1000000,0,0,0,1000000,0,1000000,0,0,0,4.37853291862247E-06,2.018081418256E-05,1.58022812639374E-05,-9.5286937147092E-05,1.5010333831,1.7320676342,0.6605496364,0.6039623433,0.1058024262,1.8404156598,0.0224624697,2.1732036905,0.0898203593
0.01,24,17673,982327,17720,982280,2,49,1000000,0,1000000,0,0,0,0.0002551512,0.0002567562,0.000001605,-0.0035043137,0.5747155865,0.6581502577,-0.3882422345,-0.0693903597,-1.2536161974,0.6817113017,-0.7841734041,1.2021831164,0.1304318587
0.01,48,255038,744962,257647,742353,607,3216,1000000,0,1000000,0,0,0,0.000198157,0.000060627,-0.0001375299,-0.0008515095,0.8073388368,0.9292951798,-0.1039710879,-0.0008028499,-0.7334557444,1.1490546035,-0.3579703423,1.3257320467,0.1063799734
0.01,72,708892,291108,716829,283171,6810,14747,1000000,0,1000000,0,0,0,-6.45529055512124E-05,-0.000006348,5.82048820906511E-05,-0.0003796745,0.9859456741,1.1363940027,0.0998111958,0.0914107349,-0.5031366685,1.1451317678,-0.231900798,1.5890765215,0.098588376
0.01,96,960635,39365,961876,38124,6798,8039,1000000,0,1000000,0,0,0,-6.23840853374083E-05,-2.74917050266996E-05,3.48923803107089E-05,-0.0001893975,1.1370639745,1.3112192732,0.2663171965,0.215198955,-0.3149645862,1.3811130943,-0.1170264562,1.7122532831,0.0947336776
0.01,120,999040,960,998794,1206,660,414,1000000,0,1000000,0,0,0,0.000002748,-0.000006389,-0.000009137,-0.0001057784,1.2698714594,1.4648280161,0.4091878037,0.3470020104,-0.1315796036,1.5907591616,-0.0564864867,1.860964989,0.0924338412
0.01,144,999997,3,999994,6,6,3,1000000,0,1000000,0,0,0,1.67327694161723E-05,2.34037994507382E-05,0.000006671,-5.60815134066398E-05,1.3901601422,1.6039284944,0.5367067148,0.4745055335,-0.0105967284,1.747220575,-0.0165673013,2.0166476825,0.0909059611
0.01,168,1000000,0,1000000,0,0,0,1000000,0,1000000,0,0,0,2.18311113781854E-05,5.2942182611041E-05,3.11110712328556E-05,-5.93857854584432E-05,1.5009489998,1.7319738884,0.6526562983,0.5959484405,0.0485856442,1.7935279634,0.0591238746,2.2210592948,0.0898172584
0.1,24,20382,979618,20455,979545,9,82,1000000,0,1000000,0,0,0,8.88854000934383E-05,5.30690644896545E-05,-3.5816335603785E-05,-0.0033538735,0.5742520344,0.6573562982,-0.3863070106,-0.0689411555,-1.227380608,0.7329136294,-0.7724568166,0.9791280787,0.1302974239
0.1,48,237747,762253,240370,759630,1059,3682,1000000,0,1000000,0,0,0,6.02940983610567E-05,0.000126428,6.61338947398918E-05,-0.0009262442,0.8066603816,0.9284433743,-0.1119336861,-0.0038155637,-0.7466915216,0.9943532296,-0.3882011292,1.2691907839,0.1062311241
0.1,72,679874,320126,685575,314425,11582,17283,1000000,0,1000000,0,0,0,-2.30780852572711E-05,5.64567022623764E-05,7.95347875196477E-05,-0.0003738447,0.9849695436,1.1352553329,0.0826155784,0.0782977359,-0.482443872,1.20548185,-0.2138142084,1.4850487062,0.098434946
0.1,96,961984,38016,960128,39872,9690,7834,1000000,0,1000000,0,0,0,-3.03281203606118E-05,2.96494035425744E-05,5.99775239031863E-05,-0.000165147,1.1358912473,1.3097957077,0.2406092183,0.1913732651,-0.2780211748,1.2766221525,-0.1158103594,1.6525540182,0.0945788314
