"","Species_(S)","Unstable","Stable","De-stabilised","Stabilised","Infeasible","Feasible","Made_infeasible","Made_feasible"
"1",2,51,99949,0,0,51,99949,0,0
"2",3,3422,96578,0,0,3422,96578,0,0
"3",4,34345,65655,0,0,34345,65655,0,0
"4",5,86728,13272,0,0,86728,13272,0,0
"5",6,99678,322,0,0,99678,322,0,0
"6",7,99997,3,0,0,99997,3,0,0
"7",8,1e+05,0,0,0,1e+05,0,0,0
"8",9,1e+05,0,0,0,1e+05,0,0,0
"9",10,1e+05,0,0,0,1e+05,0,0,0
"10",11,1e+05,0,0,0,1e+05,0,0,0
"11",12,1e+05,0,0,0,1e+05,0,0,0
"12",13,1e+05,0,0,0,1e+05,0,0,0
"13",14,1e+05,0,0,0,1e+05,0,0,0
"14",15,1e+05,0,0,0,1e+05,0,0,0
"15",16,1e+05,0,0,0,1e+05,0,0,0
"16",17,1e+05,0,0,0,1e+05,0,0,0
"17",18,1e+05,0,0,0,1e+05,0,0,0
"18",19,1e+05,0,0,0,1e+05,0,0,0
"19",20,1e+05,0,0,0,1e+05,0,0,0
"20",21,1e+05,0,0,0,1e+05,0,0,0
"21",22,1e+05,0,0,0,1e+05,0,0,0
"22",23,1e+05,0,0,0,1e+05,0,0,0
"23",24,1e+05,0,0,0,1e+05,0,0,0
"24",25,1e+05,0,0,0,1e+05,0,0,0
"25",26,1e+05,0,0,0,1e+05,0,0,0
"26",27,1e+05,0,0,0,1e+05,0,0,0
"27",28,1e+05,0,0,0,1e+05,0,0,0
"28",29,1e+05,0,0,0,1e+05,0,0,0
"29",30,1e+05,0,0,0,1e+05,0,0,0
"30",31,1e+05,0,0,0,1e+05,0,0,0
"31",32,1e+05,0,0,0,1e+05,0,0,0
"32",33,1e+05,0,0,0,1e+05,0,0,0
"33",34,1e+05,0,0,0,1e+05,0,0,0
"34",35,1e+05,0,0,0,1e+05,0,0,0
"35",36,1e+05,0,0,0,1e+05,0,0,0
"36",37,1e+05,0,0,0,1e+05,0,0,0
"37",38,1e+05,0,0,0,1e+05,0,0,0
"38",39,1e+05,0,0,0,1e+05,0,0,0
"39",40,1e+05,0,0,0,1e+05,0,0,0
"40",41,1e+05,0,0,0,1e+05,0,0,0
"41",42,1e+05,0,0,0,1e+05,0,0,0
"42",43,1e+05,0,0,0,1e+05,0,0,0
"43",44,1e+05,0,0,0,1e+05,0,0,0
"44",45,1e+05,0,0,0,1e+05,0,0,0
"45",46,1e+05,0,0,0,1e+05,0,0,0
"46",47,1e+05,0,0,0,1e+05,0,0,0
"47",48,1e+05,0,0,0,1e+05,0,0,0
"48",49,1e+05,0,0,0,1e+05,0,0,0
"49",50,1e+05,0,0,0,1e+05,0,0,0
"50",51,1e+05,0,0,0,1e+05,0,0,0
"51",52,1e+05,0,0,0,1e+05,0,0,0
"52",53,1e+05,0,0,0,1e+05,0,0,0
"53",54,1e+05,0,0,0,1e+05,0,0,0
"54",55,1e+05,0,0,0,1e+05,0,0,0
"55",56,1e+05,0,0,0,1e+05,0,0,0
"56",57,1e+05,0,0,0,1e+05,0,0,0
"57",58,1e+05,0,0,0,1e+05,0,0,0
"58",59,1e+05,0,0,0,1e+05,0,0,0
"59",60,1e+05,0,0,0,1e+05,0,0,0
"60",61,1e+05,0,0,0,1e+05,0,0,0
"61",62,1e+05,0,0,0,1e+05,0,0,0
"62",63,1e+05,0,0,0,1e+05,0,0,0
"63",64,1e+05,0,0,0,1e+05,0,0,0
"64",65,1e+05,0,0,0,1e+05,0,0,0
"65",66,1e+05,0,0,0,1e+05,0,0,0
"66",67,1e+05,0,0,0,1e+05,0,0,0
"67",68,1e+05,0,0,0,1e+05,0,0,0
"68",69,1e+05,0,0,0,1e+05,0,0,0
"69",70,1e+05,0,0,0,1e+05,0,0,0
"70",71,1e+05,0,0,0,1e+05,0,0,0
"71",72,1e+05,0,0,0,1e+05,0,0,0
"72",73,1e+05,0,0,0,1e+05,0,0,0
"73",74,1e+05,0,0,0,1e+05,0,0,0
"74",75,1e+05,0,0,0,1e+05,0,0,0
"75",76,1e+05,0,0,0,1e+05,0,0,0
"76",77,1e+05,0,0,0,1e+05,0,0,0
"77",78,1e+05,0,0,0,1e+05,0,0,0
"78",79,1e+05,0,0,0,1e+05,0,0,0
"79",80,1e+05,0,0,0,1e+05,0,0,0
"80",81,1e+05,0,0,0,1e+05,0,0,0
"81",82,1e+05,0,0,0,1e+05,0,0,0
"82",83,1e+05,0,0,0,1e+05,0,0,0
"83",84,1e+05,0,0,0,1e+05,0,0,0
"84",85,1e+05,0,0,0,1e+05,0,0,0
"85",86,1e+05,0,0,0,1e+05,0,0,0
"86",87,1e+05,0,0,0,1e+05,0,0,0
"87",88,1e+05,0,0,0,1e+05,0,0,0
"88",89,1e+05,0,0,0,1e+05,0,0,0
"89",90,1e+05,0,0,0,1e+05,0,0,0
"90",91,1e+05,0,0,0,1e+05,0,0,0
"91",92,1e+05,0,0,0,1e+05,0,0,0
"92",93,1e+05,0,0,0,1e+05,0,0,0
"93",94,1e+05,0,0,0,1e+05,0,0,0
"94",95,1e+05,0,0,0,1e+05,0,0,0
"95",96,1e+05,0,0,0,1e+05,0,0,0
"96",97,1e+05,0,0,0,1e+05,0,0,0
"97",98,1e+05,0,0,0,1e+05,0,0,0
"98",99,1e+05,0,0,0,1e+05,0,0,0
"99",100,1e+05,0,0,0,1e+05,0,0,0
