"","x"
"1",-1.9348943130636+0i
"2",-1.89736211463149+0.1993543176636i
"3",-1.89736211463149-0.1993543176636i
"4",-1.76232614548111+0.55389949834943i
"5",-1.76232614548111-0.55389949834943i
"6",-1.78344173593793+0.2626311037353i
"7",-1.78344173593793-0.2626311037353i
"8",-1.73753040618558+0.46376431083682i
"9",-1.73753040618558-0.46376431083682i
"10",-1.77555613048034+0i
"11",-1.72347539615389+0.3220086667197i
"12",-1.72347539615389-0.3220086667197i
"13",-1.73741468411108+0.02598428450759i
"14",-1.73741468411108-0.02598428450759i
"15",-1.55794895362509+0.68390841944654i
"16",-1.55794895362509-0.68390841944654i
"17",-1.45249588527151+0.85979191419224i
"18",-1.45249588527151-0.85979191419224i
"19",-1.53055176254563+0.6088112591876i
"20",-1.53055176254563-0.6088112591876i
"21",-1.62724466607222+0.23194091786246i
"22",-1.62724466607222-0.23194091786246i
"23",-1.62134825055405+0i
"24",-1.52125953874864+0.47849298859686i
"25",-1.52125953874864-0.47849298859686i
"26",-1.55115520965624+0.31724438182251i
"27",-1.55115520965624-0.31724438182251i
"28",-1.27058700368+0.94234806039662i
"29",-1.27058700368-0.94234806039662i
"30",-1.50724103608873+0.10855339344994i
"31",-1.50724103608873-0.10855339344994i
"32",-1.46853905867922+0.28791672350471i
"33",-1.46853905867922-0.28791672350471i
"34",-1.2518593488758+0.80483341554437i
"35",-1.2518593488758-0.80483341554437i
"36",-1.28107793228427+0.71335467297149i
"37",-1.28107793228427-0.71335467297149i
"38",-1.09506618285552+0.95674222199457i
"39",-1.09506618285552-0.95674222199457i
"40",-1.3554504404757+0.51148869769825i
"41",-1.3554504404757-0.51148869769825i
"42",-1.38255565360735+0i
"43",-1.37550479044435+0i
"44",-1.30052378831102+0.3562712582595i
"45",-1.30052378831102-0.3562712582595i
"46",-1.31099074198695+0.28215066854824i
"47",-1.31099074198695-0.28215066854824i
"48",-0.988570234329079+0.877564596495102i
"49",-0.988570234329079-0.877564596495102i
"50",-1.20153166788324+0.52717807828151i
"51",-1.20153166788324-0.52717807828151i
"52",-1.28836925778406+0.08265367587643i
"53",-1.28836925778406-0.08265367587643i
"54",-1.07132694497479+0.65576248106011i
"55",-1.07132694497479-0.65576248106011i
"56",-1.25009945148413+0i
"57",-1.07731818128641+0.60320039819898i
"58",-1.07731818128641-0.60320039819898i
"59",-1.08191984934576+0.48395143127162i
"60",-1.08191984934576-0.48395143127162i
"61",-0.939900144132149+0.707987185917425i
"62",-0.939900144132149-0.707987185917425i
"63",-1.14815844121618+0.15157550069177i
"64",-1.14815844121618-0.15157550069177i
"65",-0.815483566222988+0.802665333107752i
"66",-0.815483566222988-0.802665333107752i
"67",-0.636389979336227+0.932563038113127i
"68",-0.636389979336227-0.932563038113127i
"69",-0.864352184834404+0.630000891881415i
"70",-0.864352184834404-0.630000891881415i
"71",-1.05951682035186+0i
"72",-1.0042893910383+0.31383277120189i
"73",-1.0042893910383-0.31383277120189i
"74",-0.989326434829702+0.35040675427188i
"75",-0.989326434829702-0.35040675427188i
"76",-0.648901267435922+0.815101640650785i
"77",-0.648901267435922-0.815101640650785i
"78",-0.896312534007096+0.465745208867274i
"79",-0.896312534007096-0.465745208867274i
"80",-1.00163976461985+0.10643139313725i
"81",-1.00163976461985-0.10643139313725i
"82",-0.947967566701195+0.034209464888303i
"83",-0.947967566701195-0.034209464888303i
"84",-0.75754447629538+0.551794556071118i
"85",-0.75754447629538-0.551794556071118i
"86",-0.740916486503792+0.523900887911178i
"87",-0.740916486503792-0.523900887911178i
"88",-0.520841926863948+0.73141824307292i
"89",-0.520841926863948-0.73141824307292i
"90",-0.605147875611213+0.608329623090636i
"91",-0.605147875611213-0.608329623090636i
"92",-0.775205698719421+0.347615306475854i
"93",-0.775205698719421-0.347615306475854i
"94",-0.822570612024657+0.019779509155698i
"95",-0.822570612024657-0.019779509155698i
"96",-0.571472677825843+0.48585830255336i
"97",-0.571472677825843-0.48585830255336i
"98",-0.696300094033839+0.263408875896277i
"99",-0.696300094033839-0.263408875896277i
"100",-0.248040858647487+0.686998463457665i
"101",-0.248040858647487-0.686998463457665i
"102",-0.47011497895764+0.527161411672445i
"103",-0.47011497895764-0.527161411672445i
"104",-0.702258279300423+0i
"105",-0.33250000906522+0.564126331545419i
"106",-0.33250000906522-0.564126331545419i
"107",-0.551871661551327+0.29372680954i
"108",-0.551871661551327-0.29372680954i
"109",-0.591095653972059+0i
"110",-0.559353863698618+0.167525645553439i
"111",-0.559353863698618-0.167525645553439i
"112",-0.315578653739508+0.434944095464087i
"113",-0.315578653739508-0.434944095464087i
"114",-0.409427133423326+0.32210856445445i
"115",-0.409427133423326-0.32210856445445i
"116",-0.454697200142033+0.110388385079467i
"117",-0.454697200142033-0.110388385079467i
"118",-0.333535538865636+0.147399564602564i
"119",-0.333535538865636-0.147399564602564i
"120",-0.084823535992018+0.352822279103033i
"121",-0.084823535992018-0.352822279103033i
"122",-0.212222089439256+0.280550155964355i
"123",-0.212222089439256-0.280550155964355i
"124",-0.178199575600251+0.127284436397967i
"125",-0.178199575600251-0.127284436397967i
"126",-0.156864597396875+0.020139326428487i
"127",-0.156864597396875-0.020139326428487i
"128",-0.0621126846773448+0i
