"","N","A0_unstable","A0_stable","A1_unstable","A1_stable","A1_stabilised","A1_destabilised","A0_infeasible","A0_feasible","A1_infeasible","A1_feasible","A1_made_feasible","A1_made_infeasible"
"1",2,21,99979,21,99979,0,0,74781,25219,74714,25286,3580,3513
"2",3,374,99626,374,99626,0,0,87499,12501,87524,12476,3653,3678
"3",4,1538,98462,1546,98454,0,8,93725,6275,93694,6306,2663,2632
"4",5,4005,95995,4060,95940,5,60,96891,3109,96824,3176,1635,1568
"5",6,7963,92037,8100,91900,35,172,98476,1524,98473,1527,903,900
"6",7,13465,86535,13766,86234,167,468,99181,819,99167,833,525,511
"7",8,20475,79525,20927,79073,515,967,99605,395,99609,391,248,252
"8",9,28764,71236,29099,70901,1281,1616,99806,194,99798,202,141,133
"9",10,38265,61735,38383,61617,2324,2442,99903,97,99902,98,71,70
"10",11,48622,51378,48114,51886,3556,3048,99957,43,99949,51,43,35
"11",12,58900,41100,57552,42448,4827,3479,99978,22,99987,13,10,19
"12",13,68896,31104,66855,33145,5801,3760,99992,8,99984,16,15,7
"13",14,77622,22378,74924,25076,6142,3444,99992,8,99992,8,7,7
"14",15,85178,14822,82251,17749,5941,3014,99993,7,99997,3,2,6
"15",16,90489,9511,87888,12112,5015,2414,99998,2,99999,1,1,2
"16",17,94251,5749,91947,8053,4043,1739,1e+05,0,99999,1,1,0
"17",18,97053,2947,95043,4957,3025,1015,1e+05,0,1e+05,0,0,0
"18",19,98430,1570,97108,2892,1980,658,1e+05,0,1e+05,0,0,0
"19",20,99280,720,98395,1605,1220,335,1e+05,0,1e+05,0,0,0
"20",21,99662,338,99154,846,706,198,1e+05,0,1e+05,0,0,0
"21",22,99869,131,99577,423,369,77,1e+05,0,1e+05,0,0,0
"22",23,99957,43,99775,225,210,28,1e+05,0,1e+05,0,0,0
"23",24,99979,21,99899,101,97,17,1e+05,0,1e+05,0,0,0
"24",25,99998,2,99966,34,34,2,1e+05,0,1e+05,0,0,0
"25",26,99998,2,99989,11,10,1,1e+05,0,1e+05,0,0,0
"26",27,1e+05,0,99994,6,6,0,1e+05,0,1e+05,0,0,0
"27",28,1e+05,0,99999,1,1,0,1e+05,0,1e+05,0,0,0
"28",29,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"29",30,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"30",31,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"31",32,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"32",33,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"33",34,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"34",35,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"35",36,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"36",37,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"37",38,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"38",39,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"39",40,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"40",41,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"41",42,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"42",43,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"43",44,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"44",45,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"45",46,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"46",47,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"47",48,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"48",49,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"49",50,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
