,S,A_unstable,A_stable,M_unstable,M_stable,A_stabilised,A_destabilised,A_infeasible,A_feasible,M_infeasible,M_feasible,A_made_feasible,A_made_infeasible
1,2,293,999707,293,999707,0,0,749978,250022,749942,250058,35552,35516
2,3,3602,996398,3609,996391,0,7,874519,125481,874296,125704,36803,36580
3,4,14937,985063,15008,984992,0,71,937192,62808,937215,62785,26440,26463
4,5,39289,960711,39783,960217,36,530,968776,31224,968639,31361,16319,16182
5,6,78845,921155,80207,919793,389,1751,984313,15687,984463,15537,9006,9156
6,7,133764,866236,136904,863096,1679,4819,992149,7851,992161,7839,4991,5003
7,8,204112,795888,208241,791759,5391,9520,996124,3876,996103,3897,2644,2623
8,9,288041,711959,291775,708225,12619,16353,998014,1986,998027,1973,1361,1374
9,10,384024,615976,384931,615069,23153,24060,999031,969,999040,960,698,707
10,11,485975,514025,481019,518981,35681,30725,999546,454,999514,486,377,345
11,12,590453,409547,577439,422561,48302,35288,999764,236,999792,208,160,188
12,13,689643,310357,669440,330560,57194,36991,999883,117,999865,135,105,87
13,14,777496,222504,751433,248567,60959,34896,999938,62,999945,55,40,47
14,15,850159,149841,821613,178387,58567,30021,999971,29,999964,36,31,24
15,16,905057,94943,877481,122519,51255,23679,999988,12,999991,9,8,11
16,17,943192,56808,919536,80464,40854,17198,999996,4,999991,9,8,3
17,18,969018,30982,949944,50056,30102,11028,999997,3,999999,1,1,3
18,19,984301,15699,970703,29297,20065,6467,999998,2,999997,3,3,2
19,20,992601,7399,983507,16493,12587,3493,1000000,0,999999,1,1,0
20,21,996765,3235,991532,8468,7030,1797,1000000,0,1000000,0,0,0
21,22,998693,1307,995567,4433,3884,758,999999,1,1000000,0,0,1
22,23,999503,497,997941,2059,1883,321,1000000,0,1000000,0,0,0
23,24,999861,139,999059,941,899,97,1000000,0,1000000,0,0,0
24,25,999964,36,999617,383,380,33,1000000,0,1000000,0,0,0
25,26,999993,7,999878,122,121,6,1000000,0,1000000,0,0,0
26,27,999995,5,999946,54,53,4,1000000,0,1000000,0,0,0
27,28,1000000,0,999975,25,25,0,1000000,0,1000000,0,0,0
28,29,1000000,0,999997,3,3,0,1000000,0,1000000,0,0,0
29,30,1000000,0,999999,1,1,0,1000000,0,1000000,0,0,0
30,31,1000000,0,999999,1,1,0,1000000,0,1000000,0,0,0
31,32,1000000,0,1000000,0,0,0,1000000,0,1000000,0,0,0
32,33,1000000,0,1000000,0,0,0,1000000,0,1000000,0,0,0
33,34,1000000,0,1000000,0,0,0,1000000,0,1000000,0,0,0
34,35,1000000,0,1000000,0,0,0,1000000,0,1000000,0,0,0
35,36,1000000,0,1000000,0,0,0,1000000,0,1000000,0,0,0
36,37,1000000,0,1000000,0,0,0,1000000,0,1000000,0,0,0
37,38,1000000,0,1000000,0,0,0,1000000,0,1000000,0,0,0
38,39,1000000,0,1000000,0,0,0,1000000,0,1000000,0,0,0
39,40,1000000,0,1000000,0,0,0,1000000,0,1000000,0,0,0
40,41,1000000,0,1000000,0,0,0,1000000,0,1000000,0,0,0
41,42,1000000,0,1000000,0,0,0,1000000,0,1000000,0,0,0
42,43,1000000,0,1000000,0,0,0,1000000,0,1000000,0,0,0
43,44,1000000,0,1000000,0,0,0,1000000,0,1000000,0,0,0
44,45,1000000,0,1000000,0,0,0,1000000,0,1000000,0,0,0
45,46,1000000,0,1000000,0,0,0,1000000,0,1000000,0,0,0
46,47,1000000,0,1000000,0,0,0,1000000,0,1000000,0,0,0
47,48,1000000,0,1000000,0,0,0,1000000,0,1000000,0,0,0
48,49,1000000,0,1000000,0,0,0,1000000,0,1000000,0,0,0
49,50,1000000,0,1000000,0,0,0,1000000,0,1000000,0,0,0
