"","sigma","sigma^2","b","vargam","A0_var","A1_var","hackradii"
"keepit",0.03125,0.0009765625,0.1,0.1,0.000978660445735996,9.04408878551067e-05,0.289239923902408
"keepit",0.03125,0.0009765625,1.1,1.1,0.00097471890125398,0.00229233212590374,1.59443267489743
"keepit",0.03125,0.0009765625,2.1,2.1,0.000979295097684159,0.00609165312284832,2.45098990872157
"keepit",0.03125,0.0009765625,3.1,3.1,0.000977482759097197,0.0117973853709419,3.41789981911512
"keepit",0.03125,0.0009765625,4.1,4.1,0.000977387689694275,0.020555522714334,4.54693579261635
"keepit",0.03125,0.0009765625,5.1,5.1,0.000974932096084526,0.0304443485815591,5.53106281735547
"keepit",0.03125,0.0009765625,6.1,6.1,0.000974812862108235,0.0414513261556328,6.42899292981153
"keepit",0.03125,0.0009765625,7.1,7.1,0.000975780152903403,0.0548975485196146,7.40774796374911
"keepit",0.03125,0.0009765625,8.1,8.1,0.000977314394823713,0.0733209700363707,8.50011522915777
"keepit",0.03125,0.0009765625,9.1,9.1,0.000978566767776304,0.0892831678634229,9.56767719987179
"keepit",0.03125,0.0009765625,10.1,10.1,0.000974655420348401,0.11113357793399,10.7209225120151
"keepit",0.03125,0.0009765625,11.1,11.1,0.000976719893127198,0.134877493433172,11.7604382485064
"keepit",0.03125,0.0009765625,12.1,12.1,0.000977016237077375,0.156318405677038,12.4543500130674
"keepit",0.03125,0.0009765625,13.1,13.1,0.000977754005504862,0.180434084538966,13.5799409205125
"keepit",0.03125,0.0009765625,14.1,14.1,0.000978170564194458,0.206942205403103,14.3836639355268
"keepit",0.03125,0.0009765625,15.1,15.1,0.000976023449692502,0.241600448027019,15.6132137370008
"keepit",0.03125,0.0009765625,16.1,16.1,0.000977437512845669,0.270685898024475,16.8005999559166
"keepit",0.03125,0.0009765625,17.1,17.1,0.000977203219667332,0.300019154919456,17.6263153117249
"keepit",0.03125,0.0009765625,18.1,18.1,0.000979029505330147,0.339050799358741,18.8488436119923
"keepit",0.03125,0.0009765625,19.1,19.1,0.000975503450441259,0.377618667123068,20.2864169269305
"keepit",0.03125,0.0009765625,20.1,20.1,0.000975204577651696,0.411455628749981,20.1076667767448
"keepit",0.03125,0.0009765625,21.1,21.1,0.000977232552775539,0.455338010582124,21.7286611485164
"keepit",0.03125,0.0009765625,22.1,22.1,0.000975799084931842,0.487607266683892,22.3129798033878
"keepit",0.03125,0.0009765625,23.1,23.1,0.000975845079315129,0.550262465905955,23.8582355974601
"keepit",0.03125,0.0009765625,24.1,24.1,0.000974225270122796,0.589145654081277,24.250323084066
"keepit",0.03125,0.0009765625,25.1,25.1,0.000975069736526239,0.643484112390589,25.1647737290949
"keepit",0.03125,0.0009765625,26.1,26.1,0.000977002992845362,0.691306994654857,27.4168634032292
"keepit",0.03125,0.0009765625,27.1,27.1,0.000974775983985074,0.731398016881669,27.4382505677637
"keepit",0.03125,0.0009765625,28.1,28.1,0.000978050266112128,0.808492423568903,28.787076687303
"keepit",0.03125,0.0009765625,29.1,29.1,0.000975511808769829,0.864523969945678,29.8399982363412
"keepit",0.03125,0.0009765625,30.1,30.1,0.000975885070154232,0.901579564198287,29.8039301519494
"keepit",0.03125,0.0009765625,31.1,31.1,0.000978613074315593,0.981715592404184,32.2119860592397
"keepit",0.03125,0.0009765625,32.1,32.1,0.000979328485326635,1.0616123605486,32.2997610450643
"keepit",0.03125,0.0009765625,33.1,33.1,0.000978393673900165,1.11007416215618,32.8479927750185
"keepit",0.03125,0.0009765625,34.1,34.1,0.000973961107959992,1.15634243056829,34.9129546180813
"keepit",0.03125,0.0009765625,35.1,35.1,0.000974562651575479,1.24149982671899,36.8148212907424
"keepit",0.03125,0.0009765625,36.1,36.1,0.000977652073760149,1.32091193784982,36.8617357083869
"keepit",0.03125,0.0009765625,37.1,37.1,0.000976222571267961,1.39220032406,37.7491185477189
"keepit",0.03125,0.0009765625,38.1,38.1,0.000976279835259866,1.42813079682835,38.8054489100266
"keepit",0.03125,0.0009765625,39.1,39.1,0.000976898936923894,1.54009936574439,40.0665106858512
"keepit",0.03125,0.0009765625,40.1,40.1,0.000977819517554608,1.60635017789097,39.91183174475
"keepit",0.03125,0.0009765625,41.1,41.1,0.000977153131341185,1.71946885904113,41.4023527142207
"keepit",0.03125,0.0009765625,42.1,42.1,0.000977256896907175,1.79336422648517,42.1644585756804
"keepit",0.03125,0.0009765625,43.1,43.1,0.00097754716382849,1.89399674414068,45.1876307433963
"keepit",0.03125,0.0009765625,44.1,44.1,0.000975526959592739,1.94780191670312,44.6539028012113
"keepit",0.03125,0.0009765625,45.1,45.1,0.000974693780369707,2.01726390109532,44.7194635036652
"keepit",0.03125,0.0009765625,46.1,46.1,0.000978648084352749,2.13519983288263,47.1486764862566
"keepit",0.03125,0.0009765625,47.1,47.1,0.000976619504244751,2.18550183081449,46.8500765129725
