"","sigma","sigma^2","b","vargam","A0_var","A1_var","hackradii"
"keepit",0.03125,0.0009765625,0.1,0.000833333333333333,0.000976012490017441,3.25908405648786e-06,0.0569536014436128
"keepit",0.03125,0.0009765625,1.1,0.100833333333333,0.00097624132257324,0.00040476586727383,0.625772694583572
"keepit",0.03125,0.0009765625,2.1,0.3675,0.000978507864461632,0.00142561753885467,1.17244208465342
"keepit",0.03125,0.0009765625,3.1,0.800833333333333,0.000975121266410202,0.00317113781489378,1.82981384817463
"keepit",0.03125,0.0009765625,4.1,1.40083333333333,0.000976584190948929,0.00547821129308117,2.35988254148951
"keepit",0.03125,0.0009765625,5.1,2.1675,0.000977711745498111,0.00865269924978661,2.88421807579826
"keepit",0.03125,0.0009765625,6.1,3.10083333333333,0.000977412716325854,0.0122794890420518,3.45700283098448
"keepit",0.03125,0.0009765625,7.1,4.20083333333333,0.000976849006210731,0.0163624380305765,4.06224944137013
"keepit",0.03125,0.0009765625,8.1,5.4675,0.000975961378894921,0.0216477118591608,4.60221347800513
"keepit",0.03125,0.0009765625,9.1,6.90083333333333,0.000976141362267953,0.0272716742164487,5.35062354315006
"keepit",0.03125,0.0009765625,10.1,8.50083333333333,0.000977887990102006,0.0322049957651147,5.62499568628681
"keepit",0.03125,0.0009765625,11.1,10.2675,0.000979242646434491,0.0389007300723688,6.39936204979028
"keepit",0.03125,0.0009765625,12.1,12.2008333333333,0.000977175610665729,0.0474598767721355,6.79799852243954
"keepit",0.03125,0.0009765625,13.1,14.3008333333333,0.000976046829465009,0.055148641374889,7.32798572594812
"keepit",0.03125,0.0009765625,14.1,16.5675,0.000977583951884921,0.0636798973658652,7.87282665835799
"keepit",0.03125,0.0009765625,15.1,19.0008333333333,0.000975612748895426,0.0737411008129021,8.45725025617681
"keepit",0.03125,0.0009765625,16.1,21.6008333333333,0.000973971641438954,0.0848523503164776,8.99443992763369
"keepit",0.03125,0.0009765625,17.1,24.3675,0.000978750319636516,0.0972528699707397,9.87110270726649
"keepit",0.03125,0.0009765625,18.1,27.3008333333333,0.000976163847712064,0.106761164964837,10.5270469526478
"keepit",0.03125,0.0009765625,19.1,30.4008333333333,0.000974313116583261,0.118565001812274,10.8433299496902
"keepit",0.03125,0.0009765625,20.1,33.6675,0.000974709589762848,0.138985522915444,11.8392283684109
"keepit",0.03125,0.0009765625,21.1,37.1008333333333,0.000975108973002329,0.147486863199563,12.3831819289
"keepit",0.03125,0.0009765625,22.1,40.7008333333333,0.00097717800573504,0.157926522888206,12.5118503480151
"keepit",0.03125,0.0009765625,23.1,44.4675,0.000976428264535999,0.170890866962942,13.0080692522083
"keepit",0.03125,0.0009765625,24.1,48.4008333333333,0.000976561809953381,0.185469166358402,14.3640869577417
"keepit",0.03125,0.0009765625,25.1,52.5008333333333,0.000976537703557876,0.208741159580415,14.3382050660032
"keepit",0.03125,0.0009765625,26.1,56.7675,0.00097756420685363,0.223478188490583,15.0448395205872
"keepit",0.03125,0.0009765625,27.1,61.2008333333333,0.000977426663789985,0.237177103303892,15.2724006478099
"keepit",0.03125,0.0009765625,28.1,65.8008333333333,0.000978530349038735,0.266326920107183,16.3434817647799
"keepit",0.03125,0.0009765625,29.1,70.5675,0.000975715517853836,0.269528612240117,16.7713644627487
"keepit",0.03125,0.0009765625,30.1,75.5008333333333,0.000977426590409629,0.292455153503686,17.547351807521
"keepit",0.03125,0.0009765625,31.1,80.6008333333333,0.000977278066651369,0.309208995114175,17.3003771968879
"keepit",0.03125,0.0009765625,32.1,85.8675,0.000977194522596784,0.343762177042264,19.4036831781709
"keepit",0.03125,0.0009765625,33.1,91.3008333333333,0.000975554079317098,0.381512141037666,19.427094650528
"keepit",0.03125,0.0009765625,34.1,96.9008333333333,0.000978265350763894,0.380536437011796,18.9911567830971
"keepit",0.03125,0.0009765625,35.1,102.6675,0.000977197176460376,0.391762725633916,19.7674296238055
"keepit",0.03125,0.0009765625,36.1,108.600833333333,0.000977595574437144,0.407963408340495,20.0687373231219
"keepit",0.03125,0.0009765625,37.1,114.700833333333,0.000977209591217835,0.459207705951183,21.9870440852552
"keepit",0.03125,0.0009765625,38.1,120.9675,0.000976843860530457,0.459700903383393,21.1665721401075
"keepit",0.03125,0.0009765625,39.1,127.400833333333,0.000973876812664311,0.515899458901144,23.5042691470089
"keepit",0.03125,0.0009765625,40.1,134.000833333333,0.000978547567825487,0.521061057988733,23.1854109934991
"keepit",0.03125,0.0009765625,41.1,140.7675,0.00097577605619861,0.559324726942711,23.9329070853784
"keepit",0.03125,0.0009765625,42.1,147.700833333333,0.000973949705639341,0.614427626608063,25.4180422039155
"keepit",0.03125,0.0009765625,43.1,154.800833333333,0.000976723487996621,0.634483370461945,25.3552932286714
"keepit",0.03125,0.0009765625,44.1,162.0675,0.000976137344697462,0.648559282086594,25.4503169819641
"keepit",0.03125,0.0009765625,45.1,169.500833333333,0.000976177657592355,0.646999293026605,25.2420634025899
"keepit",0.03125,0.0009765625,46.1,177.100833333333,0.000977762815957927,0.68174746832547,26.3772964586634
"keepit",0.03125,0.0009765625,47.1,184.8675,0.000975386716195817,0.704305772055797,26.1323574393886
