"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200"
"1",-1.95,0,0,0,0,0,0,0,0,0,0,0,0,-0.601731139457788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.391145290093359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159700741913881,0,-1.5062280136651,0,0.0378728896315341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0226304826227653,0,0.85570500589625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.944934795857955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3518375410289,0,0,0,0,0,0,0,-0.496581781834228,0,0,0,0,0,0,0,0,0.434114370122627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.862873176510712,0,-0.117495470040628,0,0,0,0,0,0,0,0,0,0,0,-1.3628029723146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,-1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.881410671571236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.643394587594977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.262473569707673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.339438136715862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.441297928550762,0,0,0,0,0,0,0,0,0.178446258250711,0,0,0,0,0,0,0.643467323561038,0,0,0,0,0,0,-1.00829780369019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.718737206066797,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,-1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.915250561192808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.298663724633025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.71377036418893,0,0,0,0,0,0,-0.562430504276117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206814346386053,0,0,0,0,0,0,0,-1.17079864742558,0,0,0,0,0,0,0,0,0,0,-0.34867278553874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.300454832648674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,-1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.411311817124076,1.09900854359381,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.3602136133844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0941136593159097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.130338900882976,0,0,0,0,0,-1.11648026238402,0,0,0,-0.265726029145317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.319043151164185,0,0,1.0545223961896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,-1.95,0,0,0,0,0,0,-1.08462909583484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.87949786700508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5692502860542,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.760189685256458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.120643308830653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.185250274409308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00997028559102518,0,0,0,0,0,0,0,0,-1.2387906116954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,-1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.356452011095877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79577932598348,0,0,0,0,0,0,0,0,-0.479228318794006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.382382280995952,0,-0.859026351114134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.168160120009597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0.203564223804982,0,0,-1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.255850660789363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326008799780506,0,0,0.232848045362739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057764297852657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.936489733310652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210682628981496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,-0.452815557103243,0,0,0,0,-1.95,0,0,0,0,0,0.316162989471988,-0.0782590669912753,0,0,0,-1.09407832636881,0,0,0,-1.29002321469339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.216411305363374,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.57097105503083,0,0,0.0307495314091862,0,0,0,0,0,0,0,0,0,0,0,0,0.991428833199871,0,0,0,0,0,0,0,0,0,0.162627126436776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12832313850285,0,0,0,0,0,0,0,0,-0.108021892072967,-0.439430044952669,0,0,0,0,0,0,-0.817973753059257,0,0,0,0,0,0.305186691263195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.43130826768783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0958120906746405,0,0,0,0,0,0,0,0.199157382267697,0,0,0,0,0,0,0,0,0,0,0,0,-0.586077355009799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,2.19317746804687,0,0,0,-1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0480260779624792,0,0,0,0,0,0,0,-0.344403300345651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.962886546541719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.137527670203638,0,0,0,0,0,0,0,0,0,0.0436793246993124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228298277688752,0,0,0,0,0,0,0,0,0.239794312089397,0
"10",0,0,0,0,0,0,0,0,0,-1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182321452212789,0,0,0,0,0,-0.714920202961232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30336390333784,0.18926006912007,0,0,0.362800226531055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220370283453215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.671848913693044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256267293595913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146394989884637
