"","N","A0_unstable","A0_stable","A1_unstable","A1_stable","A1_stabilised","A1_destabilised","A0_infeasible","A0_feasible","A1_infeasible","A1_feasible","A1_made_feasible","A1_made_infeasible","A0_rho","A1_rho","rho_diff","rho_abs","complex_A0","complex_A1"
"1",1,0,1e+05,0,1e+05,0,0,50045,49955,50045,49955,0,0,NA,NA,NA,NA,NA,NA
"2",2,0,1e+05,0,1e+05,0,0,74835,25165,74721,25279,3682,3568,NA,NA,NA,NA,0.638584178041235,0.63805451073649
"3",3,0,1e+05,0,1e+05,0,0,88292,11708,87992,12008,4106,3806,-0.000268555028893552,0.0498946761710312,0.0501632311999248,-0.00719851096936688,0.70526284926012,0.752688093341719
"4",4,0,1e+05,0,1e+05,0,0,94896,5104,94416,5584,2994,2514,-0.00129286352987836,0.0456467770913601,0.0469396406212384,-0.00767377067825154,0.805545522271626,0.882632857384295
"5",5,1,99999,1,99999,0,0,98134,1866,97728,2272,1594,1188,0.00111915327200782,0.0391396072490882,0.0380204539770804,-0.00833055353956096,0.896617734687394,0.996318651283175
"6",6,4,99996,4,99996,0,0,99336,664,99174,826,665,503,-0.0016187941787821,0.0310149867916315,0.0326337809704136,-0.00753720999221244,0.983053146236051,1.10064838158672
"7",7,14,99986,14,99986,0,0,99824,176,99717,283,256,149,6.14514777095164e-05,0.0269698183467747,0.0269083668690652,-0.00603811029511177,1.05849897964755,1.19228514453991
"8",8,27,99973,27,99973,0,0,99956,44,99931,69,68,43,0.00108620759299642,0.0241384497215828,0.0230522421285864,-0.00525154031665306,1.13367830902735,1.28184188000398
"9",9,63,99937,65,99935,0,2,99996,4,99981,19,19,4,6.63754573652337e-05,0.0214091322626537,0.0213427568052885,-0.00381804575914677,1.19946181282849,1.36038021109793
"10",10,129,99871,130,99870,0,1,99998,2,99992,8,8,2,0.000433462224751168,0.0200905167580787,0.0196570545333276,-0.00385372616184674,1.26603447527568,1.43902752225738
"11",11,241,99759,246,99754,0,5,1e+05,0,1e+05,0,0,0,-0.000127529571830096,0.0174580898293949,0.017585619401225,-0.00388997321339158,1.32893300383093,1.51265750299608
"12",12,464,99536,476,99524,0,12,1e+05,0,1e+05,0,0,0,0.00010059338746768,0.0165415961116263,0.0164410027241586,-0.00314424835070607,1.38868616326975,1.58308860432794
"13",13,790,99210,798,99202,0,8,1e+05,0,1e+05,0,0,0,-0.000100019254438742,0.0149263489725746,0.0150263682270134,-0.00337741332145345,1.44120475101565,1.64487660519556
"14",14,1259,98741,1288,98712,4,33,1e+05,0,1e+05,0,0,0,0.000375246208871463,0.0138002991463255,0.013425052937454,-0.00262171411768674,1.49589605806802,1.70862343652437
"15",15,1884,98116,1932,98068,5,53,1e+05,0,1e+05,0,0,0,0.000290554310171046,0.0129662633526736,0.0126757090425025,-0.00271226101322799,1.55042985617559,1.77262341004523
"16",16,2777,97223,2859,97141,10,92,1e+05,0,1e+05,0,0,0,-0.000210404488994983,0.0122137161920923,0.0124241206810873,-0.00283974559051784,1.60042082837141,1.83114932633362
"17",17,3812,96188,3954,96046,44,186,1e+05,0,1e+05,0,0,0,0.000201384434163696,0.0120755989325635,0.0118742144983998,-0.00189679181483697,1.64866138459109,1.8873725651795
"18",18,5153,94847,5355,94645,62,264,1e+05,0,1e+05,0,0,0,-0.000149722012872692,0.011097124060773,0.0112468460736457,-0.0020246588340017,1.69614468905236,1.94298607946801
"19",19,7054,92946,7306,92694,113,365,1e+05,0,1e+05,0,0,0,-0.000285789534311787,0.0102003002504798,0.0104860897847916,-0.00189563587276794,1.74379527048631,1.99855196160029
"20",20,9178,90822,9498,90502,234,554,1e+05,0,1e+05,0,0,0,-3.54409580707777e-05,0.0100512269233978,0.0100866678814685,-0.0021267908841956,1.78880076385937,2.05055231279061
"21",21,11817,88183,12166,87834,442,791,1e+05,0,1e+05,0,0,0,0.000166538672931225,0.00940002741579888,0.00923348874286765,-0.00190302164009883,1.8321945406152,2.10219107817995
"22",22,14743,85257,15098,84902,681,1036,1e+05,0,1e+05,0,0,0,-0.000163392866184572,0.00897831387738491,0.00914170674356948,-0.00190333104062065,1.87592675775642,2.15232025391434
"23",23,18366,81634,18774,81226,1003,1411,1e+05,0,1e+05,0,0,0,-0.00032287309329944,0.00860925004689391,0.00893212314019335,-0.00160502955468385,1.91942180355191,2.20282680152253
"24",24,21971,78029,22341,77659,1484,1854,1e+05,0,1e+05,0,0,0,0.000187850842482979,0.0084194704811988,0.00823161963871582,-0.00134353895188176,1.95936149454843,2.24947574354265
"25",25,26587,73413,26858,73142,2067,2338,1e+05,0,1e+05,0,0,0,-0.000250599354071511,0.00778083430402375,0.00803143365809526,-0.0013871569659242,1.99966084711366,2.29625600934828
"26",26,31480,68520,31579,68421,2814,2913,1e+05,0,1e+05,0,0,0,0.000197433770634918,0.00777677808038963,0.00757934430975472,-0.0014036395933936,2.04024619847974,2.34334073124012
"27",27,37162,62838,36760,63240,3632,3230,1e+05,0,1e+05,0,0,0,3.52529475471751e-05,0.00740251631721379,0.00736726336966662,-0.00125311274565018,2.07891553429071,2.3881394869417
"28",28,42755,57245,41890,58110,4593,3728,1e+05,0,1e+05,0,0,0,3.28395836022242e-05,0.00715438089918844,0.00712154131558621,-0.00127809329684459,2.11710748987372,2.43269757894461
"29",29,48370,51630,47176,52824,5367,4173,1e+05,0,1e+05,0,0,0,0.000258068440618107,0.00707366751637433,0.00681559907575623,-0.00129334035584308,2.15582663603221,2.47699530686529
"30",30,54632,45368,52845,47155,6129,4342,1e+05,0,1e+05,0,0,0,-3.83730024931967e-05,0.00664464212889804,0.00668301513139123,-0.0013188985224464,2.19092603265881,2.51851183582159
"31",31,60783,39217,58630,41370,6931,4778,1e+05,0,1e+05,0,0,0,0.00029094554998969,0.0065032835779799,0.00621233802799021,-0.00102762663323801,2.22837334212675,2.56134519600275
"32",32,66558,33442,63955,36045,7334,4731,1e+05,0,1e+05,0,0,0,-1.31360068258587e-05,0.00605723836813065,0.00607037437495651,-0.00128255116266933,2.26295352015947,2.60218563219605
"33",33,72024,27976,68961,31039,7683,4620,1e+05,0,1e+05,0,0,0,-4.24118586575325e-05,0.00584196761063517,0.0058843794692927,-0.00119171225803631,2.29804722836657,2.64239221144045
"34",34,77248,22752,73955,26045,7681,4388,1e+05,0,1e+05,0,0,0,7.88674655103404e-05,0.00598790171799559,0.00590903425248525,-0.000974866328839087,2.33384540278024,2.68351109908859
"35",35,81863,18137,78344,21656,7495,3976,1e+05,0,1e+05,0,0,0,-2.07276253891927e-05,0.00570119431020854,0.00572192193559773,-0.00096558722128294,2.36591767112144,2.72185688106468
"36",36,85967,14033,82461,17539,6930,3424,1e+05,0,1e+05,0,0,0,-0.000112379999427181,0.00539986906674592,0.0055122490661731,-0.00102199430836363,2.39939309482295,2.76043906540349
"37",37,89195,10805,85782,14218,6372,2959,1e+05,0,1e+05,0,0,0,-1.95619270401877e-05,0.00548477028975338,0.00550433221679357,-0.000895226644487318,2.43387138280593,2.79997984064053
"38",38,92185,7815,88987,11013,5636,2438,1e+05,0,1e+05,0,0,0,-4.09792130350507e-05,0.00543901848768859,0.00547999770072364,-0.000804741238989877,2.46627649857276,2.83781473122767
"39",39,94507,5493,91681,8319,4719,1893,1e+05,0,1e+05,0,0,0,5.42470024705789e-05,0.00527258196610106,0.00521833496363048,-0.000964574415628571,2.4982949325859,2.87502776131952
"40",40,96011,3989,93577,6423,3960,1526,1e+05,0,1e+05,0,0,0,5.08167617521602e-06,0.00516416405678981,0.0051590823806146,-0.000911662358186081,2.52927187470735,2.91089099156106
"41",41,97385,2615,95356,4644,3158,1129,1e+05,0,1e+05,0,0,0,6.90537610809339e-05,0.00495155582922734,0.00488250206814641,-0.000750922122797768,2.56022457371246,2.94695361802884
"42",42,98272,1728,96661,3339,2395,784,1e+05,0,1e+05,0,0,0,-1.52655663276601e-05,0.00477130690994931,0.00478657247627697,-0.000840057223183132,2.59237370405743,2.98398357910982
