S,A_unstable,A_stable,M_unstable,M_stable,A_stabilised,A_destabilised,A_infeasible,A_feasible,M_infeasible,M_feasible,A_made_feasible,A_made_infeasible,A_rho,M_rho,rho_diff,rho_abs,complex_A,complex_M
2,0,1000000,0,1000000,0,0,749322,250678,749291,250709,36340,36309,NA,NA,NA,NA,0.6378838691,0.6381484575
3,1,999999,1,999999,0,0,881668,118332,878138,121862,41007,37477,0.0006433396,0.0530762701,0.0524329305,-0.0062077566,0.7055448987,0.7525142925
4,2,999998,2,999998,0,0,949320,50680,945080,54920,28820,24580,0.000126925,0.0453555851,0.0452286602,-0.0079210415,0.8060500333,0.8826100453
5,17,999983,17,999983,0,0,980911,19089,977310,22690,15543,11942,0.0001535876,0.0374423954,0.0372888078,-0.0081050164,0.8974749328,0.9967593825
6,42,999958,43,999957,0,1,993480,6520,991622,8378,6749,4891,8.836039E-05,0.031894037,0.0318056767,-0.0068199467,0.9821323472,1.0999762192
7,124,999876,124,999876,0,0,998110,1890,997294,2706,2406,1590,-0.00014959,0.0272281274,0.0273777174,-0.00616009,1.0600905551,1.193890998
8,303,999697,309,999691,0,6,999515,485,999181,819,775,441,-0.0002431275,0.0238908018,0.0241339292,-0.0053728081,1.1329713424,1.2807302061
9,653,999347,661,999339,0,8,999894,106,999804,196,194,104,0.0001760464,0.0216085632,0.0214325168,-0.0045112283,1.2009135034,1.3616371989
10,1401,998599,1413,998587,0,12,999978,22,999946,54,54,22,0.0002064118,0.0195422047,0.0193357929,-0.004076069,1.2661141714,1.438756687
11,2534,997466,2566,997434,0,32,999995,5,999991,9,9,5,5.77720819198887E-05,0.0177483066,0.0176905345,-0.0036456809,1.3276636285,1.5113095588
12,4514,995486,4597,995403,2,85,999999,1,1000000,0,0,1,-7.77234357041269E-06,0.0163398856,0.0163476579,-0.0034691268,1.3865754447,1.5804005073
13,7570,992430,7722,992278,7,159,1000000,0,1000000,0,0,0,4.96204514759906E-05,0.0151591286,0.0151095082,-0.0030046444,1.4424478729,1.6462780226
14,12223,987777,12502,987498,24,303,1000000,0,1000000,0,0,0,-0.000019608,0.014061235,0.014080843,-0.0029166621,1.4970133693,1.7102321989
15,18433,981567,18879,981121,64,510,1000000,0,1000000,0,0,0,7.26144495179251E-05,0.013090814,0.0130181995,-0.0025350951,1.5498811999,1.7719563855
16,26973,973027,27712,972288,145,884,1000000,0,1000000,0,0,0,-0.000082133,0.0123077266,0.0123898596,-0.0024435078,1.600296962,1.8310447046
17,38272,961728,39499,960501,347,1574,1000000,0,1000000,0,0,0,0.0001296234,0.0118518984,0.011722275,-0.0022107237,1.6494194833,1.8884210959
18,52397,947603,54099,945901,739,2441,1000000,0,1000000,0,0,0,-0.0001534001,0.0109885565,0.0111419566,-0.0020815085,1.6975099444,1.9443860232
19,69986,930014,72342,927658,1385,3741,1000000,0,1000000,0,0,0,-8.05303861131461E-05,0.0104208071,0.0105013375,-0.0019631893,1.7439232886,1.9987398498
20,92851,907149,95776,904224,2489,5414,1000000,0,1000000,0,0,0,5.143076E-05,0.0098712225,0.0098197917,-0.001944798,1.7893524295,2.0514393874
21,117487,882513,121095,878905,4297,7905,1000000,0,1000000,0,0,0,-0.0001130375,0.0094212867,0.0095343242,-0.0018239172,1.8335973507,2.1030121019
22,147852,852148,151989,848011,6742,10879,1000000,0,1000000,0,0,0,8.53207509299561E-05,0.0090332962,0.0089479754,-0.0017381999,1.8761874074,2.1527108435
23,183501,816499,187888,812112,10109,14496,1000000,0,1000000,0,0,0,7.85901295813517E-05,0.008663493,0.0085849028,-0.0015518149,1.9186092088,2.2019827432
24,222592,777408,226021,773979,15175,18604,1000000,0,1000000,0,0,0,8.08542254286064E-05,0.0082454306,0.0081645763,-0.0015351909,1.9591518465,2.2491947786
25,267691,732309,269822,730178,20899,23030,1000000,0,1000000,0,0,0,-0.000090672,0.0079292677,0.0080199398,-0.0014877679,1.9999089153,2.2963949183
26,316090,683910,316371,683629,27877,28158,1000000,0,1000000,0,0,0,-5.86294967926386E-05,0.0076486129,0.0077072424,-0.0014740378,2.039632464,2.342721073
27,369830,630170,366550,633450,36038,32758,1000000,0,1000000,0,0,0,2.48594580947156E-05,0.0073577342,0.0073328748,-0.001334476,2.0785318621,2.3879355885
28,426407,573593,419136,580864,44686,37415,1000000,0,1000000,0,0,0,-7.04735787383106E-05,0.0071073805,0.0071778541,-0.0013990891,2.1169702989,2.4324406952
29,485068,514932,473666,526334,53219,41817,1000000,0,1000000,0,0,0,4.56844867332598E-05,0.00699201,0.0069463255,-0.001264774,2.1545264839,2.4759538777
30,544300,455700,527568,472432,61527,44795,1000000,0,1000000,0,0,0,1.43900710505669E-05,0.0066724866,0.0066580965,-0.0012601948,2.1912376208,2.5187794779
