N,A0_unstable,A0_stable,A1_unstable,A1_stable,A1_stabilised,A1_destabilised,A0_infeasible,A0_feasible,A1_infeasible,A1_feasible,A1_made_feasible,A1_made_infeasible,A0_rho,A1_rho,rho_diff,rho_abs,complex_A0,complex_A1
1,0,100000,0,100000,0,0,49953,50047,49953,50047,0,0,NA,NA,NA,NA,NA,NA
2,0,100000,0,100000,0,0,74880,25120,74878,25122,3658,3656,NA,NA,NA,NA,0.6385817994,0.6385369498
3,0,100000,0,100000,0,0,88064,11936,87737,12263,4052,3725,0.0047706532,0.0557721492,0.0510014961,-0.004995256,0.7052186058,0.7516113925
4,1,99999,1,99999,0,0,95023,4977,94564,5436,2843,2384,-0.0004723079,0.0439625908,0.0444348987,-0.0071170354,0.8060796007,0.8823801599
5,1,99999,1,99999,0,0,98124,1876,97746,2254,1526,1148,-0.0012879639,0.0371828763,0.0384708402,-0.0091999689,0.8983172729,0.9969715941
6,8,99992,8,99992,0,0,99390,610,99184,816,656,450,-0.0015908492,0.0315593332,0.0331501824,-0.0068500304,0.981842462,1.0995003028
7,10,99990,10,99990,0,0,99816,184,99734,266,231,149,1.67132834850297E-05,0.0277159207,0.0276992074,-0.0051041435,1.0614509233,1.1953472789
8,24,99976,25,99975,0,1,99962,38,99919,81,78,35,-0.0007539845,0.0228878876,0.0236418722,-0.0051594627,1.1330714915,1.2808525102
9,73,99927,73,99927,0,0,99992,8,99981,19,19,8,0.0004237726,0.0213916272,0.0209678546,-0.0046567708,1.2000091518,1.3601654128
10,142,99858,142,99858,0,0,99999,1,99992,8,8,1,0.0001024322,0.0197789602,0.019676528,-0.0041455293,1.2668515898,1.4391779753
11,266,99734,272,99728,0,6,99999,1,100000,0,0,1,0.0001471738,0.0177067928,0.017559619,-0.0031425379,1.3278209967,1.5111617142
12,467,99533,473,99527,0,6,100000,0,100000,0,0,0,-0.0009129531,0.0158487727,0.0167617258,-0.0035163064,1.3874724514,1.581190116
13,749,99251,760,99240,0,11,100000,0,100000,0,0,0,0.000075406,0.015121339,0.015045933,-0.0029653807,1.4428859496,1.6463345885
14,1213,98787,1233,98767,3,23,100000,0,100000,0,0,0,-0.0001391445,0.0141740533,0.0143131978,-0.0028669275,1.4963491975,1.7101827276
15,1860,98140,1906,98094,5,51,100000,0,100000,0,0,0,-5.66891025763725E-05,0.0131232947,0.0131799838,-0.0024760468,1.5501057908,1.772669865
16,2663,97337,2735,97265,17,89,100000,0,100000,0,0,0,0.0001274898,0.0121392378,0.012011748,-0.0020920465,1.6003788462,1.8314010212
17,3782,96218,3909,96091,29,156,100000,0,100000,0,0,0,-0.0001067889,0.0115427548,0.0116495436,-0.0021046955,1.6495131408,1.8881219829
18,5272,94728,5485,94515,65,278,100000,0,100000,0,0,0,-0.0001071823,0.0108516223,0.0109588046,-0.0020891257,1.6980724353,1.9451302255
19,7041,92959,7267,92733,134,360,100000,0,100000,0,0,0,0.0001895218,0.0105157602,0.0103262384,-0.0017407776,1.7442451582,1.9987458204
20,9390,90610,9672,90328,260,542,100000,0,100000,0,0,0,-0.0002469208,0.0095109545,0.0097578752,-0.0018348758,1.7894980581,2.0514327655
21,11874,88126,12259,87741,408,793,100000,0,100000,0,0,0,-0.0002574283,0.0094032246,0.0096606529,-0.0017601221,1.834250351,2.1036092711
22,14749,85251,15116,84884,716,1083,100000,0,100000,0,0,0,-0.000099906,0.00893145,0.0090313561,-0.0016440947,1.8768563307,2.1530061824
23,18471,81529,18870,81130,1057,1456,100000,0,100000,0,0,0,0.0005527714,0.009134207,0.0085814356,-0.001711473,1.9178591597,2.2016185666
24,22278,77722,22549,77451,1540,1811,100000,0,100000,0,0,0,-8.00021989197814E-05,0.0080944507,0.0081744529,-0.001641059,1.9589486026,2.2489938136
25,26921,73079,27135,72865,2059,2273,100000,0,100000,0,0,0,3.00683440676264E-05,0.0080599775,0.0080299091,-0.0013977487,1.9995994066,2.2963304661
26,31763,68237,31715,68285,2874,2826,100000,0,100000,0,0,0,-5.73476605955238E-05,0.007707456,0.0077648037,-0.001459537,2.0388701029,2.3417549559
27,36980,63020,36696,63304,3560,3276,100000,0,100000,0,0,0,-2.13132054058497E-06,0.0073485382,0.0073506695,-0.0012271326,2.078718651,2.3883168307
28,42467,57533,41662,58338,4573,3768,100000,0,100000,0,0,0,-0.0001877252,0.0071991461,0.0073868713,-0.0015070506,2.1155509848,2.4312927043
29,48469,51531,47358,52642,5316,4205,100000,0,100000,0,0,0,0.0001642778,0.0069177893,0.0067535114,-0.0012974399,2.1548963446,2.4760972737
30,54299,45701,52855,47145,5940,4496,100000,0,100000,0,0,0,-6.23190681088123E-05,0.0064904255,0.0065527446,-0.001352452,2.1906254686,2.5184366788
31,60583,39417,58455,41545,6834,4706,100000,0,100000,0,0,0,-0.0001293056,0.0062854902,0.0064147958,-0.0012124211,2.2271830119,2.5603876575
32,66320,33680,63717,36283,7332,4729,100000,0,100000,0,0,0,0.0001943351,0.0062678522,0.0060735171,-0.0013242481,2.262196241,2.601365486
33,71593,28407,68800,31200,7566,4773,100000,0,100000,0,0,0,-0.0001718911,0.0059528001,0.0061246912,-0.0010381944,2.2985693302,2.6426035077
34,77161,22839,73800,26200,7700,4339,100000,0,100000,0,0,0,0.0002854635,0.0059589887,0.0056735252,-0.0012108053,2.3323324186,2.68273763
35,81689,18311,78353,21647,7412,4076,100000,0,100000,0,0,0,-0.0001742152,0.0056198407,0.0057940559,-0.0010704959,2.3660416262,2.7214211783
36,85902,14098,82407,17593,6959,3464,100000,0,100000,0,0,0,-4.18152181813033E-05,0.0055346495,0.0055764647,-0.0010332527,2.3999217242,2.7611083819
37,89261,10739,85910,14090,6409,3058,100000,0,100000,0,0,0,0.0001078449,0.0055803409,0.005472496,-0.0008436759,2.4324073739,2.7988282566
38,92167,7833,88931,11069,5681,2445,100000,0,100000,0,0,0,6.93865717759271E-05,0.0052656206,0.005196234,-0.0011359231,2.4662255703,2.8374926535
39,94346,5654,91481,8519,4853,1988,100000,0,100000,0,0,0,-0.0002040004,0.0051487907,0.0053527911,-0.0011345138,2.4974555681,2.8743173362
40,96074,3926,93661,6339,3941,1528,100000,0,100000,0,0,0,5.4776871593155E-05,0.0050358144,0.0049810376,-0.0008913064,2.5296522134,2.9111137575
41,97366,2634,95318,4682,3190,1142,100000,0,100000,0,0,0,1.37171225298516E-06,0.0051033418,0.0051019701,-0.0008349386,2.5623331279,2.9484547472
42,98230,1770,96696,3304,2387,853,100000,0,100000,0,0,0,-0.0002244005,0.0046226029,0.0048470033,-0.0010113381,2.5915283877,2.9831584984
43,98993,1007,97819,2181,1697,523,100000,0,100000,0,0,0,0.0001643198,0.0048466227,0.0046823029,-0.0009074176,2.6220805821,3.0182906466
44,99343,657,98418,1582,1262,337,100000,0,100000,0,0,0,2.94129260390559E-05,0.0046605667,0.0046311537,-0.0007417285,2.6525561484,3.0538985364
45,99622,378,98947,1053,890,215,100000,0,100000,0,0,0,-1.38335086391688E-05,0.0044410321,0.0044548656,-0.0009108759,2.681848545,3.0878616396
46,99814,186,99345,655,580,111,100000,0,100000,0,0,0,-0.0001171351,0.0044513912,0.0045685263,-0.0008138258,2.7127344894,3.1231812761
47,99885,115,99626,374,340,81,100000,0,100000,0,0,0,-0.0001498605,0.0042109578,0.0043608183,-0.0008087038,2.7416767893,3.1569259846
48,99948,52,99731,269,253,36,100000,0,100000,0,0,0,4.58079393026868E-06,0.0042970944,0.0042925136,-0.000797568,2.7710756405,3.1908946124
49,99981,19,99854,146,138,11,100000,0,100000,0,0,0,0.0001849151,0.0041044716,0.0039195565,-0.0007674084,2.7997124933,3.2242069224
50,99983,17,99935,65,63,15,100000,0,100000,0,0,0,-0.0001903024,0.0039261066,0.004116409,-0.0007741959,2.8284840328,3.2574224368
51,99994,6,99941,59,59,6,100000,0,100000,0,0,0,0.00016152,0.0040895744,0.0039280545,-0.0008214138,2.856745251,3.2902030284
52,99995,5,99980,20,19,4,100000,0,100000,0,0,0,-9.80508078143249E-05,0.0038970358,0.0039950866,-0.0006204934,2.8834896227,3.321733475
53,100000,0,99985,15,15,0,100000,0,100000,0,0,0,-1.17207836758404E-05,0.0037705312,0.003782252,-0.0006352192,2.9122140641,3.3542375331
54,100000,0,99997,3,3,0,100000,0,100000,0,0,0,0.0001044798,0.0037697715,0.0036652917,-0.0005767442,2.9389032058,3.3853106238
55,100000,0,99997,3,3,0,100000,0,100000,0,0,0,5.33745366801105E-05,0.0038158579,0.0037624834,-0.0005733588,2.9673355412,3.418490869
56,100000,0,99999,1,1,0,100000,0,100000,0,0,0,0.0001248673,0.0036431645,0.0035182973,-0.0006162287,2.9923637205,3.4476456204
57,100000,0,99997,3,3,0,100000,0,100000,0,0,0,-0.0001154452,0.0035030662,0.0036185114,-0.0005716771,3.0199340285,3.4788270533
58,100000,0,100000,0,0,0,100000,0,100000,0,0,0,-0.0002287531,0.0033221704,0.0035509235,-0.000579815,3.0455687062,3.5091512106
59,100000,0,100000,0,0,0,100000,0,100000,0,0,0,4.15083518251725E-05,0.0034419672,0.0034004589,-0.000639186,3.0722893141,3.5390885417
60,100000,0,100000,0,0,0,100000,0,100000,0,0,0,-0.000080444,0.0033805382,0.0034609822,-0.0005871392,3.0990120763,3.5704767086
