N,A0_unstable,A0_stable,A1_unstable,A1_stable,A1_stabilised,A1_destabilised,A0_infeasible,A0_feasible,A1_infeasible,A1_feasible,A1_made_feasible,A1_made_infeasible,A0_rho,A1_rho,rho_diff,rho_abs,complex_A0,complex_A1,A0_eig,A1_eig,LCI_A0,UCI_A0,LCI_A1,UCI_A1
1,0,100000,0,100000,0,0,50147,49853,50147,49853,0,0,NA,NA,NA,NA,NA,NA,-1.001053131,-1.001053131,-1.9999946151,-2.53105536103249E-05,-1.9999946151,-2.53105536103249E-05
2,0,100000,0,100000,0,0,74993,25007,75127,24873,3541,3675,NA,NA,NA,NA,0.6368655562,0.637072464,-0.9989495934,-0.7533191374,-1.9991880443,-0.0010936819,-1.9991880443,-2.3155786185447E-05
3,0,100000,0,100000,0,0,88225,11775,87794,12206,4153,3722,0.0035450104,0.0546824295,0.0511374191,-0.0066388133,0.7065182594,0.7532174699,-0.9164958972,-0.5853961495,-1.9571072375,-0.0336541035,-1.9544334782,-5.82974817286974E-06
4,0,100000,0,100000,0,0,94954,5046,94447,5553,2966,2459,0.0014076696,0.0454539389,0.0440462693,-0.0068245468,0.8053272099,0.8824706499,-0.8565034703,-0.4740384349,-1.8830453767,-0.0275601636,-1.8747741684,-5.71232297284252E-06
5,1,99999,1,99999,0,0,98108,1892,97670,2330,1600,1162,-0.000382779,0.0360379254,0.0364207043,-0.0072768352,0.897310435,0.9960895112,-0.7998077716,-0.3956503889,-1.7839354429,0.0809551912,-1.8287030374,0.0076935414
6,1,99999,1,99999,0,0,99339,661,99177,823,652,490,0.0001787085,0.0320903646,0.0319116561,-0.0069256707,0.981907892,1.0998432123,-0.7490143731,-0.3379989475,-1.7192646914,0.0288493919,-1.6639599135,0.0311144703
7,14,99986,14,99986,0,0,99829,171,99728,272,246,145,-0.0009689161,0.0269156796,0.0278845957,-0.0057273262,1.0590986934,1.1923860721,-0.7009517641,-0.2930726499,-1.5866675402,0.1265436695,-1.5607693137,0.0901777328
8,27,99973,27,99973,0,0,99941,59,99927,73,69,55,0.0009403239,0.0254215735,0.0244812496,-0.0049067601,1.1331817467,1.2801815688,-0.6555017544,-0.2568341409,-1.5625135488,0.1543742787,-1.6209365401,0.1709807912
9,56,99944,56,99944,0,0,99992,8,99988,12,12,8,0.0008102437,0.0224758969,0.0216656533,-0.0042731252,1.2022813154,1.3624090049,-0.6137890655,-0.2276654532,-1.4402013742,0.2737644168,-1.3626878419,0.2074221137
10,145,99855,147,99853,0,2,99996,4,99994,6,6,4,-0.0004554563,0.0193520573,0.0198075136,-0.0047531001,1.264765368,1.4377689391,-0.5706542357,-0.2033542943,-1.3918976405,0.4075420374,-1.4152459955,0.2533223306
11,290,99710,292,99708,0,2,99999,1,99998,2,2,1,-0.0002550549,0.0181524729,0.0184075278,-0.0039475479,1.3287150288,1.5121786444,-0.5308376763,-0.1839788809,-1.3572538889,0.3341904633,-1.3482401546,0.276078558
12,449,99551,454,99546,0,5,100000,0,100000,0,0,0,0.0002575355,0.0162420707,0.0159845352,-0.0034595052,1.3847149871,1.5782091241,-0.492295533,-0.1654356199,-1.2394151404,0.4169645062,-1.0317966382,0.3358541343
