"","N","A0_unstable","A0_stable","A1_unstable","A1_stable","A1_stabilised","A1_destabilised","A0_infeasible","A0_feasible","A1_infeasible","A1_feasible","A1_made_feasible","A1_made_infeasible"
"1",1,0,1e+05,0,1e+05,0,0,49680,50320,49680,50320,0,0
"2",2,0,1e+05,0,1e+05,0,0,74776,25224,74858,25142,3567,3649
"3",3,0,1e+05,0,1e+05,0,0,88262,11738,87920,12080,4061,3719
"4",4,0,1e+05,0,1e+05,0,0,94932,5068,94608,5392,2788,2464
"5",5,0,1e+05,0,1e+05,0,0,97998,2002,97752,2248,1518,1272
"6",6,2,99998,2,99998,0,0,99293,707,99178,822,640,525
"7",7,14,99986,14,99986,0,0,99817,183,99767,233,214,164
"8",8,37,99963,37,99963,0,0,99954,46,99915,85,80,41
"9",9,69,99931,69,99931,0,0,99989,11,99981,19,19,11
"10",10,116,99884,118,99882,0,2,99998,2,99996,4,4,2
"11",11,280,99720,281,99719,0,1,1e+05,0,99999,1,1,0
"12",12,463,99537,467,99533,0,4,1e+05,0,1e+05,0,0,0
"13",13,721,99279,737,99263,1,17,1e+05,0,1e+05,0,0,0
"14",14,1154,98846,1175,98825,3,24,1e+05,0,1e+05,0,0,0
"15",15,1760,98240,1815,98185,10,65,1e+05,0,1e+05,0,0,0
"16",16,2688,97312,2769,97231,23,104,1e+05,0,1e+05,0,0,0
"17",17,3729,96271,3863,96137,31,165,1e+05,0,1e+05,0,0,0
"18",18,5328,94672,5525,94475,77,274,1e+05,0,1e+05,0,0,0
"19",19,7046,92954,7307,92693,131,392,1e+05,0,1e+05,0,0,0
"20",20,9054,90946,9316,90684,247,509,1e+05,0,1e+05,0,0,0
"21",21,11827,88173,12125,87875,437,735,1e+05,0,1e+05,0,0,0
"22",22,14709,85291,15232,84768,650,1173,1e+05,0,1e+05,0,0,0
"23",23,18452,81548,18857,81143,1046,1451,1e+05,0,1e+05,0,0,0
"24",24,22161,77839,22532,77468,1504,1875,1e+05,0,1e+05,0,0,0
"25",25,26847,73153,27027,72973,2123,2303,1e+05,0,1e+05,0,0,0
"26",26,31706,68294,31767,68233,2739,2800,1e+05,0,1e+05,0,0,0
"27",27,37155,62845,36764,63236,3657,3266,1e+05,0,1e+05,0,0,0
"28",28,42546,57454,41831,58169,4438,3723,1e+05,0,1e+05,0,0,0
"29",29,48403,51597,47314,52686,5304,4215,1e+05,0,1e+05,0,0,0
"30",30,54574,45426,53002,46998,6079,4507,1e+05,0,1e+05,0,0,0
"31",31,60569,39431,58684,41316,6804,4919,1e+05,0,1e+05,0,0,0
"32",32,66283,33717,63789,36211,7271,4777,1e+05,0,1e+05,0,0,0
"33",33,71943,28057,69073,30927,7656,4786,1e+05,0,1e+05,0,0,0
"34",34,76924,23076,73699,26301,7666,4441,1e+05,0,1e+05,0,0,0
"35",35,82024,17976,78463,21537,7509,3948,1e+05,0,1e+05,0,0,0
"36",36,86058,13942,82314,17686,7153,3409,1e+05,0,1e+05,0,0,0
"37",37,89346,10654,85860,14140,6459,2973,1e+05,0,1e+05,0,0,0
"38",38,92125,7875,89064,10936,5577,2516,1e+05,0,1e+05,0,0,0
"39",39,94318,5682,91466,8534,4849,1997,1e+05,0,1e+05,0,0,0
"40",40,96080,3920,93720,6280,3873,1513,1e+05,0,1e+05,0,0,0
"41",41,97367,2633,95462,4538,3078,1173,1e+05,0,1e+05,0,0,0
"42",42,98264,1736,96673,3327,2349,758,1e+05,0,1e+05,0,0,0
"43",43,98927,1073,97646,2354,1823,542,1e+05,0,1e+05,0,0,0
"44",44,99371,629,98497,1503,1213,339,1e+05,0,1e+05,0,0,0
"45",45,99636,364,98914,1086,918,196,1e+05,0,1e+05,0,0,0
"46",46,99785,215,99343,657,583,141,1e+05,0,1e+05,0,0,0
"47",47,99902,98,99618,382,353,69,1e+05,0,1e+05,0,0,0
"48",48,99929,71,99731,269,246,48,1e+05,0,1e+05,0,0,0
"49",49,99971,29,99846,154,147,22,1e+05,0,1e+05,0,0,0
"50",50,99989,11,99897,103,99,7,1e+05,0,1e+05,0,0,0
"51",51,99991,9,99959,41,39,7,1e+05,0,1e+05,0,0,0
"52",52,99998,2,99966,34,34,2,1e+05,0,1e+05,0,0,0
"53",53,99999,1,99982,18,17,0,1e+05,0,1e+05,0,0,0
"54",54,1e+05,0,99994,6,6,0,1e+05,0,1e+05,0,0,0
"55",55,1e+05,0,99996,4,4,0,1e+05,0,1e+05,0,0,0
"56",56,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"57",57,1e+05,0,99999,1,1,0,1e+05,0,1e+05,0,0,0
"58",58,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"59",59,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
