"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",2,5,9995,0,0,7194,2104,338,364,0
"2",3,42,9958,0,0,8345,890,375,390,0
"3",4,156,9844,0,0,9114,357,256,273,0
"4",5,389,9611,0,0,9552,148,146,154,0
"5",6,813,9171,0,16,9778,60,76,86,0
"6",7,1269,8679,1,51,9866,32,48,54,0
"7",8,1946,7890,0,164,9938,13,26,23,0
"8",9,2518,7084,0,398,9960,8,17,15,0
"9",10,3024,6219,0,757,9986,5,7,2,0
"10",11,3606,5139,0,1255,9992,0,3,5,0
"11",12,4081,4100,0,1819,9996,0,3,1,0
"12",13,4547,3026,0,2427,9996,0,1,3,0
"13",14,4765,2185,1,3049,10000,0,0,0,0
"14",15,5053,1470,1,3476,10000,0,0,0,0
"15",16,5277,954,0,3769,10000,0,0,0,0
"16",17,5384,533,0,4083,10000,0,0,0,0
"17",18,5559,288,0,4153,10000,0,0,0,0
"18",19,5825,136,0,4039,10000,0,0,0,0
"19",20,5957,76,0,3967,10000,0,0,0,0
"20",21,6349,32,0,3619,10000,0,0,0,0
"21",22,6689,17,0,3294,10000,0,0,0,0
"22",23,7042,4,0,2954,10000,0,0,0,0
"23",24,7454,1,0,2545,10000,0,0,0,0
"24",25,7879,2,0,2119,10000,0,0,0,0
"25",26,8254,0,0,1746,10000,0,0,0,0
"26",27,8664,0,0,1336,10000,0,0,0,0
"27",28,8957,0,0,1043,10000,0,0,0,0
"28",29,9254,0,0,746,10000,0,0,0,0
"29",30,9502,0,0,498,10000,0,0,0,0
"30",31,9695,0,0,305,10000,0,0,0,0
"31",32,9810,0,0,190,10000,0,0,0,0
"32",33,9891,0,0,109,10000,0,0,0,0
"33",34,9932,0,0,68,10000,0,0,0,0
"34",35,9968,0,0,32,10000,0,0,0,0
"35",36,9986,0,0,14,10000,0,0,0,0
"36",37,9995,0,0,5,10000,0,0,0,0
"37",38,9994,0,0,6,10000,0,0,0,0
"38",39,10000,0,0,0,10000,0,0,0,0
"39",40,10000,0,0,0,10000,0,0,0,0
