N,A0_unstable,A0_stable,A1_unstable,A1_stable,A1_stabilised,A1_destabilised
2,4,9996,4,9996,0,0
3,44,9956,44,9956,0,0
4,131,9869,131,9869,0,0
5,406,9594,405,9595,1,0
6,791,9209,778,9222,13,0
7,1341,8659,1296,8704,45,0
8,2011,7989,1853,8147,158,0
9,2928,7072,2577,7423,351,0
10,3774,6226,3039,6961,735,0
11,4918,5082,3693,6307,1225,0
12,5931,4069,4086,5914,1845,0
13,6821,3179,4269,5731,2552,0
14,7783,2217,4758,5242,3025,0
15,8570,1430,5037,4963,3533,0
16,9076,924,5151,4849,3925,0
17,9419,581,5398,4602,4021,0
18,9728,272,5572,4428,4156,0
19,9837,163,5751,4249,4086,0
20,9917,83,6059,3941,3858,0
21,9964,36,6306,3694,3658,0
22,9990,10,6647,3353,3343,0
23,9995,5,7061,2939,2934,0
24,9998,2,7437,2563,2561,0
25,10000,0,7874,2126,2126,0
26,10000,0,8313,1687,1687,0
27,10000,0,8692,1308,1308,0
28,10000,0,8984,1016,1016,0
29,10000,0,9318,682,682,0
30,10000,0,9529,471,471,0
31,10000,0,9682,318,318,0
32,10000,0,9835,165,165,0
33,10000,0,9885,115,115,0
34,10000,0,9940,60,60,0
35,10000,0,9969,31,31,0
36,10000,0,9978,22,22,0
37,10000,0,9991,9,9,0
38,10000,0,9997,3,3,0
39,10000,0,9997,3,3,0
40,10000,0,9999,1,1,0
