"","N","A0_unstable","A0_stable","A1_unstable","A1_stable","A1_stabilised","A1_destabilised"
"1",2,1,11999,1,11999,0,0
"2",3,38,11962,38,11962,0,0
"3",4,190,11810,190,11810,0,0
"4",5,496,11504,495,11505,1,0
"5",6,996,11004,986,11014,10,0
"6",7,1574,10426,1513,10487,61,0
"7",8,2459,9541,2286,9714,173,0
"8",9,3449,8551,2982,9018,468,1
"9",10,4690,7310,3788,8212,902,0
"10",11,5855,6145,4361,7639,1494,0
"11",12,7047,4953,4891,7109,2156,0
"12",13,8293,3707,5347,6653,2946,0
"13",14,9382,2618,5672,6328,3710,0
"14",15,10297,1703,6072,5928,4225,0
"15",16,10763,1237,6191,5809,4573,1
"16",17,11343,657,6458,5542,4885,0
"17",18,11660,340,6673,5327,4987,0
"18",19,11813,187,7001,4999,4812,0
"19",20,11915,85,7223,4777,4692,0
"20",21,11967,33,7640,4360,4327,0
"21",22,11976,24,7932,4068,4044,0
"22",23,11992,8,8463,3537,3529,0
"23",24,11998,2,8901,3099,3097,0
"24",25,12000,0,9405,2595,2595,0
"25",26,12000,0,9925,2075,2075,0
"26",27,12000,0,10349,1651,1651,0
"27",28,12000,0,10748,1252,1252,0
"28",29,12000,0,11122,878,878,0
"29",30,12000,0,11406,594,594,0
"30",31,12000,0,11622,378,378,0
"31",32,12000,0,11765,235,235,0
"32",33,12000,0,11870,130,130,0
"33",34,12000,0,11933,67,67,0
"34",35,12000,0,11974,26,26,0
"35",36,12000,0,11982,18,18,0
"36",37,12000,0,11992,8,8,0
"37",38,12000,0,11996,4,4,0
"38",39,12000,0,12000,0,0,0
"39",40,12000,0,12000,0,0,0
