,S,A_unstable,A_stable,M_unstable,M_stable,A_stabilised,A_destabilised
1,2,26,99974,26,99974,0,0
2,3,358,99642,358,99642,0,0
3,4,1505,98495,1505,98495,0,0
4,5,3995,96005,3982,96018,13,0
5,6,8060,91940,7956,92044,104,0
6,7,13420,86580,12953,87047,468,1
7,8,20518,79482,18940,81060,1578,0
8,9,28939,71061,25148,74852,3793,2
9,10,38241,61759,30915,69085,7327,1
10,11,48682,51318,36398,63602,12286,2
11,12,58752,41248,40710,59290,18043,1
12,13,68888,31112,44600,55400,24289,1
13,14,77651,22349,47528,52472,30124,1
14,15,84912,15088,49971,50029,34942,1
15,16,90451,9549,52274,47726,38178,1
16,17,94332,5668,54124,45876,40209,1
17,18,96968,3032,55831,44169,41139,2
18,19,98384,1616,58079,41921,40305,0
19,20,99269,731,60181,39819,39088,0
20,21,99677,323,63338,36662,36339,0
21,22,99854,146,66350,33650,33504,0
22,23,99947,53,70478,29522,29469,0
23,24,99983,17,74121,25879,25862,0
24,25,99991,9,78364,21636,21627,0
25,26,99999,1,82635,17365,17364,0
26,27,100000,0,86433,13567,13567,0
27,28,100000,0,89951,10049,10049,0
28,29,100000,0,92716,7284,7284,0
29,30,100000,0,95171,4829,4829,0
30,31,100000,0,96844,3156,3156,0
31,32,100000,0,98128,1872,1872,0
32,33,100000,0,98941,1059,1059,0
33,34,100000,0,99358,642,642,0
34,35,100000,0,99702,298,298,0
35,36,100000,0,99856,144,144,0
36,37,100000,0,99921,79,79,0
37,38,100000,0,99970,30,30,0
38,39,100000,0,99989,11,11,0
39,40,100000,0,99994,6,6,0
