"","sg1_A0","sg1_A1","sr1_A0","sr1_A1"
"1",99657,99657,99658,99515
"2",98552,98539,98503,98077
"3",96112,96068,96060,95157
"4",92070,91940,91893,90498
"5",86523,86214,86549,84438
"6",79302,78858,79589,76609
"7",71296,70887,71181,67634
"8",61464,61328,61626,57403
"9",51504,52098,51312,46669
"10",40709,42195,40892,36237
"11",31214,33255,30768,26566
"12",22250,24893,22375,18415
"13",15021,17906,15240,12159
"14",9392,12059,9516,7187
"15",5542,8114,5665,4122
"16",3113,5089,3084,2068
"17",1610,2940,1607,1020
"18",751,1618,702,433
"19",318,876,322,187
"20",113,414,120,79
"21",53,184,41,21
"22",23,90,19,3
"23",4,55,6,2
"24",0,13,2,0
"25",3,4,1,0
"26",0,1,0,0
"27",0,0,0,0
"28",0,0,0,0
