rho_set,A0_unstable,A0_stable,A1_unstable,A1_stable,A1_stabilised,A1_destabilised,A0_infeasible,A0_feasible,A1_infeasible,A1_feasible,A1_made_feasible,A1_made_infeasible,A0_rho,A1_rho,rho_diff,rho_abs,complex_A0,complex_A1,A0_eig,A1_eig,LCI_A0,UCI_A0,LCI_A1,UCI_A1
-0.9,0,10000,0,10000,0,0,9960,40,9960,40,28,28,-0.9,-0.6760244348,0.2239755652,-0.2239755652,0.6343999915,0.7245482301,-0.910976971,-0.2376660879,-1.6078801363,-0.0959452799,-1.5991536966,-1.03984787227723E-05
-0.85,0,10000,0,10000,0,0,9981,19,9960,40,35,14,-0.85,-0.6373168804,0.2126831196,-0.2126831196,0.6335805983,0.7234345855,-0.8879567309,-0.2360355455,-1.513388906,-0.218204292,-1.4039562876,-4.48586639762596E-05
-0.8,0,10000,0,10000,0,0,9971,29,9956,44,31,16,-0.8,-0.5992739923,0.2007260077,-0.2007260077,0.6315011545,0.722146683,-0.8619788298,-0.2299655495,-1.4989787115,-0.1897257886,-1.4008700322,-0.000015302
-0.75,0,10000,0,10000,0,0,9969,31,9968,32,24,23,-0.75,-0.5611297733,0.1888702267,-0.1888702267,0.6335305903,0.7239914926,-0.8433597152,-0.2280898604,-1.4799006591,-0.0704930245,-1.4454462138,-5.38177033734436E-05
-0.7,2,9998,2,9998,0,0,9954,46,9962,38,27,35,-0.7,-0.5227417055,0.1772582945,-0.1772582945,0.6308540746,0.7211716367,-0.815016971,-0.2224556949,-1.4625844257,0.2713363188,-1.3577694872,0.2254300335
-0.65,1,9999,1,9999,0,0,9966,34,9958,42,28,20,-0.65,-0.4854045453,0.1645954547,-0.164593427,0.6300311693,0.7202435319,-0.7932985449,-0.2156790193,-1.4072617657,0.0055744042,-1.2777898095,0.006352763
-0.6,3,9997,4,9996,0,1,9973,27,9955,45,34,16,-0.6,-0.4497813864,0.1502186136,-0.1502186136,0.6319683794,0.7214102021,-0.7728665508,-0.2178100274,-1.4414615889,0.0836426697,-1.1930656573,0.0352512485
-0.55,4,9996,4,9996,0,0,9965,35,9938,62,41,14,-0.55,-0.4117532161,0.1382467839,-0.1381824508,0.6303396343,0.7208674243,-0.7497866516,-0.2109343217,-1.3753912888,0.2932026219,-1.165388284,0.1953377303
-0.5,5,9995,5,9995,0,0,9958,42,9948,52,31,21,-0.5,-0.3747703357,0.1252296643,-0.1252197299,0.6315718319,0.7220470532,-0.725833672,-0.2086129318,-1.3834177163,0.1782204583,-1.2578804444,0.1097739285
-0.45,4,9996,4,9996,0,0,9952,48,9926,74,48,22,-0.45,-0.3361518311,0.1138481689,-0.1137860458,0.6298986479,0.7211008972,-0.699289459,-0.2010582118,-1.3185897102,0.1444317656,-1.2426011557,0.0821870876
-0.4,11,9989,11,9989,0,0,9949,51,9941,59,40,32,-0.4,-0.2985798358,0.1014201642,-0.1011131724,0.6291332306,0.7198784945,-0.6801145852,-0.1982551158,-1.3037170857,0.1588641119,-1.1699326152,0.0876485192
-0.35,23,9977,23,9977,0,0,9937,63,9922,78,49,34,-0.35,-0.2597576775,0.0902423225,-0.0896846271,0.6302262367,0.7218720914,-0.6555416971,-0.1940932816,-1.3159308742,0.3286714467,-1.0918476103,0.2154517205
-0.3,23,9977,23,9977,0,0,9943,57,9938,62,32,27,-0.3,-0.2235402881,0.0764597119,-0.07520049,0.6322856521,0.7240771113,-0.6339469263,-0.1897320425,-1.2128023302,0.3154646953,-1.1799841395,0.188987946
-0.25,36,9964,36,9964,0,0,9929,71,9919,81,49,39,-0.25,-0.1867301899,0.0632698101,-0.0601504808,0.6299626523,0.7208997984,-0.6051876256,-0.1829867159,-1.3180560843,0.5203089948,-1.0441700193,0.2520437205
-0.2,47,9953,47,9953,0,0,9942,58,9922,78,46,26,-0.2,-0.1525746639,0.0474253361,-0.0419010172,0.6303208089,0.7219479122,-0.5852499471,-0.1796801367,-1.2886104904,0.4885482414,-1.2307111024,0.3690535159
-0.15,50,9950,51,9949,0,1,9929,71,9913,87,49,33,-0.15,-0.1133185507,0.0366814493,-0.0249402455,0.6290198578,0.7217267713,-0.5602914969,-0.1741339007,-1.2220500322,0.4432965714,-1.1252850576,0.4698923909
-0.1,62,9938,62,9938,0,0,9931,69,9904,96,56,29,-0.1,-0.0755999824,0.0244000176,-0.0008978429,0.6300348384,0.7219401375,-0.5381620771,-0.1710418454,-1.1568982073,0.640786199,-0.9798884769,0.5581998146
-0.05,78,9922,78,9922,0,0,9932,68,9910,90,59,37,-0.05,-0.0375224021,0.0124775979,0.0299937784,0.6310736698,0.7221372117,-0.5153966663,-0.167613822,-1.1136980439,0.6455570196,-1.0258735927,0.6987744672
0,97,9903,98,9902,0,1,9931,69,9921,79,47,37,-5.69592973549902E-20,-0.0027977971,-0.0027977971,0.0749695017,0.6292011283,0.7212804863,-0.4877112521,-0.157940189,-1.0656695622,0.5895429129,-1.0025125727,0.6091119867
0.05,109,9891,109,9891,0,0,9924,76,9925,75,40,41,0.05,0.0361899056,-0.0138100944,0.0297615195,0.6304590911,0.7228453027,-0.4661838956,-0.1525188895,-1.1076070337,1.0652761189,-0.9297349182,0.743764842
0.1,138,9862,138,9862,0,0,9913,87,9909,91,50,46,0.1,0.0746026512,-0.0253973488,-0.0015302485,0.6294230998,0.7222907807,-0.442933704,-0.1493586582,-0.9961285113,0.5580118355,-0.883123889,0.5255993425
0.15,164,9836,164,9836,0,0,9912,88,9891,109,63,42,0.15,0.1118694313,-0.0381305687,-0.0265470385,0.629603737,0.7224019131,-0.4191692984,-0.1387407869,-1.0287734628,0.6015709063,-0.9494743578,0.5542584994
0.2,204,9796,204,9796,0,0,9902,98,9896,104,49,43,0.2,0.1479780485,-0.0520219515,-0.0465633616,0.6281320734,0.7215251552,-0.3902475414,-0.133673452,-0.9736349868,0.707597878,-0.8668561719,0.4930861514
