rho_set,A0_unstable,A0_stable,A1_unstable,A1_stable,A1_stabilised,A1_destabilised,A0_infeasible,A0_feasible,A1_infeasible,A1_feasible,A1_made_feasible,A1_made_infeasible,A0_rho,A1_rho,rho_diff,rho_abs,complex_A0,complex_A1,A0_eig,A1_eig,LCI_A0,UCI_A0,LCI_A1,UCI_A1
-0.5,18,82,15,85,3,0,100,0,100,0,0,0,-0.5,-0.3819154757,0.1180845243,-0.1180845243,1.8024630425,2.0539241034,-0.1820612044,-0.0623211722,-0.5897680388,0.2742078427,-0.2976477543,0.2225330635
-0.45,23,77,22,78,3,2,100,0,100,0,0,0,-0.45,-0.3299078515,0.1200921485,-0.1200921485,1.7563189868,2.0151863369,-0.0933046114,-0.0162838693,-0.4624187737,1.1001131072,-0.2460613993,0.8665987704
-0.4,35,65,36,64,5,6,100,0,100,0,0,0,-0.4,-0.2950025375,0.1049974625,-0.1049974625,1.7805397296,2.0476858586,-0.0389310341,-0.0121483906,-0.3803131571,0.5335439251,-0.3520017626,0.3960819951
-0.35,46,54,45,55,7,6,100,0,100,0,0,0,-0.35,-0.2664056266,0.0835943734,-0.0835943734,1.7728191174,2.0397260156,-2.35616595935396E-05,0.0230045709,-0.36122216,0.5145542849,-0.2947112176,0.4173341389
-0.3,63,37,56,44,13,6,100,0,100,0,0,0,-0.3,-0.2266545506,0.0733454494,-0.0733454494,1.8195755107,2.1034968669,0.0782253164,0.058778751,-0.3848720324,1.011492832,-0.2861668096,0.5340487908
-0.25,81,19,77,23,7,3,100,0,100,0,0,0,-0.25,-0.1833737239,0.0666262761,-0.0666262761,1.7857282222,2.0533745589,0.1682473602,0.1285459442,-0.320200125,0.7890880548,-0.2290787318,0.8536220347
-0.2,85,15,83,17,6,4,100,0,100,0,0,0,-0.2,-0.1521285567,0.0478714433,-0.0478714433,1.8162004163,2.0835004705,0.2780334777,0.2369780762,-0.2238967329,2.020992082,-0.1314521713,1.6250489137
-0.15,95,5,93,7,4,2,100,0,100,0,0,0,-0.15,-0.1093142398,0.0406857602,-0.0402123888,1.7755310672,2.0532837843,0.3678304954,0.2674563908,-0.1008190594,1.1706744296,-0.1207215579,1.2935653898
-0.1,95,5,96,4,2,3,100,0,100,0,0,0,-0.1,-0.0722082946,0.0277917054,-0.0248245882,1.806196247,2.0716954341,0.3984283581,0.2980922131,-0.0714479693,1.0883579996,-0.0690214824,0.9725513494
-0.05,99,1,98,2,1,0,100,0,100,0,0,0,-0.05,-0.0278264778,0.0221735222,-0.0048950802,1.770731293,2.0395627893,0.4537813242,0.3735129794,-0.0252390606,1.319844072,-0.0864877126,1.0165268439
0,100,0,100,0,0,0,100,0,100,0,0,0,4.91344082137546E-19,-0.0013166817,-0.0013166817,0.0378440498,1.7832536773,2.0516694237,0.569236232,0.4659993763,0.0338834527,1.6273635044,0.0260423515,1.5838891629
0.05,100,0,100,0,0,0,100,0,100,0,0,0,0.05,0.0476759028,-0.0023240972,0.0018848426,1.783184392,2.0570530008,0.6604789705,0.5442273948,0.1625367723,1.3696923653,0.0189465578,1.5222268992
0.1,100,0,100,0,0,0,100,0,100,0,0,0,0.1,0.0708964693,-0.0291035307,-0.0266637797,1.7570111028,2.0115568409,0.6689817421,0.5339234537,0.0734005471,2.5302359061,0.1254860262,3.053716975
0.15,100,0,100,0,0,0,100,0,100,0,0,0,0.15,0.1043737289,-0.0456262711,-0.0447020532,1.7343840906,2.0170217726,0.8098419095,0.683165863,0.3534281806,2.0204109037,0.1039328976,1.9397136041
0.2,100,0,100,0,0,0,100,0,100,0,0,0,0.2,0.1466885892,-0.0533114108,-0.0533114108,1.7832308306,2.0434941042,0.9150101362,0.766742668,0.2301346261,2.5568123392,0.1620007281,2.1073865492
0.25,100,0,100,0,0,0,100,0,100,0,0,0,0.25,0.1838370219,-0.0661629781,-0.0661629781,1.7258446342,2.0081401793,0.9051959589,0.8220723145,0.438086103,1.7387334829,0.1482947557,1.7324921084
0.3,100,0,100,0,0,0,100,0,100,0,0,0,0.3,0.2218300923,-0.0781699077,-0.0781699077,1.80029534,2.0790814378,1.0269108631,0.9151662117,0.4465454606,1.7425653597,0.2143456438,1.8854677402
0.35,100,0,100,0,0,0,100,0,100,0,0,0,0.35,0.2621184356,-0.0878815644,-0.0878815644,1.7780308864,2.0477649844,1.0784133065,0.9648852724,0.4584112082,1.7838799833,0.2432737296,1.8783826658
0.4,100,0,100,0,0,0,100,0,100,0,0,0,0.4,0.2929773209,-0.1070226791,-0.1070226791,1.7533687151,2.0320157892,1.1953192896,1.0780329414,0.4112526507,2.0112678673,0.3178598944,2.0601996711
0.45,100,0,100,0,0,0,100,0,100,0,0,0,0.45,0.3348502236,-0.1151497764,-0.1151497764,1.7641649484,2.0391763366,1.2365037367,1.1352698736,0.6489606171,2.1265370635,0.5539186504,2.4109417595
0.5,100,0,100,0,0,0,100,0,100,0,0,0,0.5,0.3709063715,-0.1290936285,-0.1290936285,1.8356246765,2.1264298176,1.3936163255,1.3244559606,0.7574278556,2.5158833955,0.4558219003,2.6228471809
