rho_set,A0_unstable,A0_stable,A1_unstable,A1_stable,A1_stabilised,A1_destabilised,A0_infeasible,A0_feasible,A1_infeasible,A1_feasible,A1_made_feasible,A1_made_infeasible,A0_rho,A1_rho,rho_diff,rho_abs,complex_A0,complex_A1,A0_eig,A1_eig,LCI_A0,UCI_A0,LCI_A1,UCI_A1
-0.9,5,9995,5,9995,0,0,10000,0,10000,0,0,0,-0.9,-0.6726024648,0.2273975352,-0.2273975352,1.7869130354,2.0535039642,-0.7776987067,-0.1929509057,-1.2480719298,0.1604847146,-1.2452966959,0.0924997669
-0.85,7,9993,7,9993,0,0,10000,0,9999,1,1,0,-0.85,-0.6366619285,0.2133380715,-0.2133380715,1.7899988473,2.0552293322,-0.7017687023,-0.1860061086,-1.1699751536,0.699466706,-1.0277476908,0.3957480505
-0.8,21,9979,22,9978,0,1,10000,0,9999,1,1,0,-0.8,-0.598560792,0.201439208,-0.201439208,1.7871316257,2.0540617051,-0.6275765122,-0.17182556,-1.1572420464,0.5456723531,-0.974196994,0.367793943
-0.75,45,9955,47,9953,0,2,10000,0,10000,0,0,0,-0.75,-0.5605481531,0.1894518469,-0.1894518469,1.7838111522,2.050560691,-0.5513690213,-0.1632620764,-1.0103937924,0.6372931398,-0.9346305983,0.5111316587
-0.7,69,9931,72,9928,2,5,10000,0,10000,0,0,0,-0.7,-0.523816089,0.176183911,-0.176183911,1.7877480679,2.0548433487,-0.4787721068,-0.14602932,-1.0382637042,1.0653723048,-0.8081037013,0.7813429415
-0.65,165,9835,171,9829,5,11,10000,0,10000,0,0,0,-0.65,-0.4873254703,0.1626745297,-0.1626745297,1.7901966388,2.055850049,-0.4051974181,-0.1319639664,-0.8888492019,0.8726767595,-0.7797490649,0.7336172278
-0.6,394,9606,406,9594,15,27,10000,0,10000,0,0,0,-0.6,-0.4483919036,0.1516080964,-0.1516080964,1.789426182,2.0561944333,-0.332857443,-0.1127878777,-0.9231190418,1.0366337879,-0.6884089472,0.727281179
-0.55,774,9226,800,9200,60,86,10000,0,10000,0,0,0,-0.55,-0.4104753238,0.1395246762,-0.1395246762,1.784944638,2.052127354,-0.2596903519,-0.0919936184,-0.7641453167,1.1548526966,-0.7267311244,0.9309544853
-0.5,1472,8528,1556,8444,121,205,10000,0,10000,0,0,0,-0.5,-0.3730302148,0.1269697852,-0.1269697852,1.7857525493,2.0529588354,-0.1825341877,-0.0638769739,-0.7257442359,1.505945398,-0.5871411158,1.291426547
-0.45,2464,7536,2491,7509,293,320,10000,0,10000,0,0,0,-0.45,-0.3369441791,0.1130558209,-0.1130558209,1.789281036,2.0559711646,-0.1120038582,-0.0371568319,-0.7214477128,1.4331223608,-0.5589939416,1.3648971498
-0.4,3663,6337,3645,6355,500,482,9999,1,10000,0,0,1,-0.4,-0.2998243192,0.1001756808,-0.1001756808,1.7856894839,2.0529140684,-0.0400734688,-0.0027078967,-0.6995692763,1.9426647124,-0.4607453107,1.6059986091
-0.35,5163,4837,5007,4993,732,576,10000,0,10000,0,0,0,-0.35,-0.2619856555,0.0880143445,-0.0880143445,1.786063321,2.0540225916,0.0360742255,0.0384912263,-0.5514909324,1.663400299,-0.4028499174,1.7297538089
-0.3,6680,3320,6357,3643,907,584,10000,0,10000,0,0,0,-0.3,-0.2242860444,0.0757139556,-0.0757091796,1.789020442,2.0571541668,0.1153043821,0.0869351528,-0.4853996773,2.231377545,-0.3927779662,2.0005880642
-0.25,7918,2082,7519,2481,878,479,10000,0,10000,0,0,0,-0.25,-0.1866691664,0.0633308336,-0.0633278157,1.7863817286,2.0535424711,0.1889025568,0.1373508006,-0.4735812797,2.2597011956,-0.3600770053,2.2435330708
