rho_set,A0_unstable,A0_stable,A1_unstable,A1_stable,A1_stabilised,A1_destabilised,A0_infeasible,A0_feasible,A1_infeasible,A1_feasible,A1_made_feasible,A1_made_infeasible,A0_rho,A1_rho,rho_diff,rho_abs,complex_A0,complex_A1,A0_eig,A1_eig,LCI_A0,UCI_A0,LCI_A1,UCI_A1
-0.9,1,9999,2,9998,0,1,10000,0,10000,0,0,0,-0.9,-0.6733385033,0.2266614967,-0.2266614967,2.000024412,2.3006174036,-0.756753417,-0.1696895879,-1.1786916445,0.0632381245,-0.8792537824,0.0551743567
-0.8,14,9986,14,9986,0,0,10000,0,10000,0,0,0,-0.8,-0.5999337437,0.2000662563,-0.2000662563,2.0016092677,2.3010854785,-0.5851706669,-0.1524183106,-1.0134608921,0.6488266116,-0.8440563276,0.4664186213
-0.7,108,9892,108,9892,2,2,10000,0,10000,0,0,0,-0.7,-0.5243408902,0.1756591098,-0.1756591098,2.0006473626,2.3003796637,-0.4143601697,-0.1245781332,-0.852136874,0.8206563998,-0.6488035959,0.6985092701
-0.6,793,9207,832,9168,61,100,10000,0,10000,0,0,0,-0.6,-0.4484555505,0.1515444495,-0.1515444495,1.9991815271,2.3001904135,-0.2458667304,-0.0836214423,-0.7399019418,0.9509130611,-0.651153909,0.8689503576
-0.5,2966,7034,2981,7019,484,499,10000,0,10000,0,0,0,-0.5,-0.3740954199,0.1259045801,-0.1259045801,1.9989813742,2.3003569644,-0.0743581377,-0.0201003134,-0.6036506557,1.0656975038,-0.4702715543,1.0803890016
-0.4,6530,3470,6199,3801,1011,680,10000,0,10000,0,0,0,-0.4,-0.2995929794,0.1004070206,-0.1004070206,2.0012585648,2.3006768183,0.0970907572,0.0717420719,-0.4479263807,1.3894550944,-0.2933121575,1.5081413012
-0.3,9160,840,8799,1201,693,332,10000,0,10000,0,0,0,-0.3,-0.2251147306,0.0748852694,-0.0748852694,2.001819727,2.3014358115,0.2691735347,0.1947648904,-0.277488047,1.6536636474,-0.2661465039,1.3972064703
-0.2,9907,93,9771,229,192,56,10000,0,10000,0,0,0,-0.2,-0.1492406048,0.0507593952,-0.0507574391,1.9999475145,2.3002649721,0.4382582836,0.3391146969,-0.20733873,2.1877505863,-0.1631076465,2.2025619341
-0.1,10000,0,9984,16,16,0,10000,0,10000,0,0,0,-0.1,-0.0747481364,0.0252518636,-0.0244857937,1.9979318898,2.2984256749,0.6079262372,0.4955648215,0.0151411569,2.3057934992,-0.0391079897,2.4108092549
0,10000,0,9999,1,1,0,10000,0,10000,0,0,0,-5.50041993168229E-20,0.0005625233,0.0005625233,0.0296913853,1.9998107536,2.3004557828,0.7826956502,0.6657622495,0.0317997357,2.1909647453,-0.0370955416,2.3746763422
0.1,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.1,0.0744766699,-0.0255233301,-0.0246232497,2.0001588915,2.3009353247,0.9597879229,0.8445960163,0.2523802906,2.6171409524,0.0723181468,2.605846875
0.2,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.2,0.1496237772,-0.0503762228,-0.0503762228,1.9994004525,2.2998896508,1.1370533388,1.0330386525,0.375145332,2.7145838214,0.1351586796,2.6909054149
0.3,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.3,0.2243740113,-0.0756259887,-0.0756257629,1.9997592533,2.3005251652,1.3089938108,1.2129301017,0.3934178152,3.1472838606,0.193867028,3.4225498852
0.4,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.4,0.2985661797,-0.1014338203,-0.1014338203,2.0022751986,2.3028104175,1.486483841,1.4158379784,0.5287775879,3.8399911016,0.3797801613,3.6202004494
0.5,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.5,0.3733046612,-0.1266953388,-0.1266953388,1.993884516,2.2945022406,1.6603880395,1.6058595029,0.6640801984,3.6767073073,0.4642948851,3.6020933974
0.6,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.6,0.4487516139,-0.1512483861,-0.1512483861,2.0007133012,2.3011458295,1.8427413708,1.8058151306,0.7505296005,3.8695228019,0.6155637822,3.9640669119
0.7,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.7,0.5227786498,-0.1772213502,-0.1772213502,1.9984551625,2.2993881893,2.0222259098,2.0077197476,0.9259991192,4.6825561765,0.7564514298,4.3152865558
0.8,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.8,0.5984097761,-0.2015902239,-0.2015902239,2.0003068241,2.3011727778,2.2052223252,2.2117487578,1.0482911976,4.3673672725,0.7701216631,4.5213175526
0.9,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.9,0.6716488081,-0.2283511919,-0.2283511919,1.9948691103,2.2971302456,2.3750771626,2.4054620713,1.1812906541,4.1875869814,0.9347961244,4.6532708775
