"","N","A0_unstable","A0_stable","A1_unstable","A1_stable","A1_stabilised","A1_destabilised","A0_infeasible","A0_feasible","A1_infeasible","A1_feasible","A1_made_feasible","A1_made_infeasible","A0_rho","A1_rho","rho_diff","rho_abs","complex_A0","complex_A1","C"
"1",2,152791,847209,156034,843966,1628,4871,1e+06,0,1e+06,0,0,0,7.50511626911296e-05,8.43973818214873e-06,-6.66114245089813e-05,-0.00207767603466155,0.789125678982015,0.903466332226735,0.164855072463768
"2",3,320481,679519,326351,673649,10986,16856,1e+06,0,1e+06,0,0,0,8.53871676374341e-05,4.566137411532e-05,-3.97257935221154e-05,-0.00160822519830982,0.956648663347448,1.09674993616866,0.240942028985507
"3",4,504433,495567,504826,495174,28777,29170,1e+06,0,1e+06,0,0,0,-3.16986299876337e-05,-4.14106618048291e-05,-9.71203181719443e-06,-0.00138889618922367,1.09228695930652,1.25327607330584,0.313405797101449
"4",5,670676,329324,660426,339574,44808,34558,1e+06,0,1e+06,0,0,0,-7.02513566310791e-05,-0.000132209304259475,-6.19579476283951e-05,-0.0012290253964579,1.20730543762274,1.38571685787292,0.382246376811594
"5",6,798637,201363,779345,220655,51067,31775,1e+06,0,1e+06,0,0,0,0.000110071232672013,4.78278535313896e-05,-6.2243379140623e-05,-0.00103289947753981,1.30670948743147,1.50045080586336,0.447463768115942
"6",7,884082,115918,862215,137785,47215,25348,1e+06,0,1e+06,0,0,0,7.22699564654876e-05,5.93085458541297e-05,-1.29614106113581e-05,-0.000953036578692253,1.39425770604809,1.60133679745306,0.509057971014493
"7",8,936190,63810,915630,84370,38238,17678,1e+06,0,1e+06,0,0,0,0.000112664757359308,0.000138161387165125,2.5496629805816e-05,-0.000856749728919777,1.47223153186014,1.69085626617634,0.567028985507246
"8",9,964868,35132,948297,51703,28373,11802,1e+06,0,999999,1,1,0,2.89905599078744e-05,-1.50390981407397e-05,-4.40296580486145e-05,-0.000851206100322301,1.54144547814773,1.77072916170098,0.621376811594203
"9",10,981460,18540,967911,32089,20682,7133,1e+06,0,1e+06,0,0,0,-3.9350029959203e-05,-2.7617537411096e-05,1.17324925481072e-05,-0.000788935683412649,1.60300439089573,1.84174593148783,0.672101449275362
"10",11,989838,10162,980232,19768,14057,4451,1e+06,0,1e+06,0,0,0,6.02423408723942e-05,8.419955850973e-05,2.39572176373359e-05,-0.000670912101613931,1.65865111973748,1.90593134277485,0.719202898550725
"11",12,994393,5607,987436,12564,9738,2781,1e+06,0,1e+06,0,0,0,1.63525331700995e-05,-3.58804888835723e-05,-5.22330220536717e-05,-0.000764011451416584,1.70815030552397,1.96288978628845,0.76268115942029
