beta,S,A0_unstable,A0_stable,A1_unstable,A1_stable,A1_stabilised,A1_destabilised,A0_infeasible,A0_feasible,A1_infeasible,A1_feasible,A1_made_feasible,A1_made_infeasible,A0_rho,A1_rho,rho_diff,rho_abs,complex_A0,complex_A1,C
0,24,1774,98226,1779,98221,0,5,100000,0,100000,0,0,0,0.0006253655,0.000832936,0.0002075705,-0.0023735686,0.1694624676,0.1940533326,0.1304347826
0,48,25579,74421,25838,74162,77,336,100000,0,100000,0,0,0,0.0001027249,-0.0001117941,-0.000214519,-0.0008605225,0.2356075686,0.2711523592,0.1063829787
0,72,71332,28668,72073,27927,673,1414,100000,0,100000,0,0,0,7.17761740070637E-06,4.55258609894522E-05,3.83482435887458E-05,-0.000404438,0.286648316,0.330328671,0.0985915493
0,96,96198,3802,96341,3659,625,768,100000,0,100000,0,0,0,0.000092084,0.000023698,-0.000068386,-0.0001158462,0.329840321,0.3803371313,0.0947368421
0,120,99919,81,99879,121,68,28,100000,0,100000,0,0,0,-6.45964339792568E-05,4.32054187119142E-05,0.0001078019,-0.0001537435,0.3681346545,0.4246586206,0.0924369748
0,144,100000,0,99999,1,1,0,100000,0,100000,0,0,0,-1.90648072713576E-06,2.14393018248544E-05,2.33457825519901E-05,-0.000085877,0.4027680222,0.4646926747,0.0909090909
0,168,100000,0,100000,0,0,0,100000,0,100000,0,0,0,-4.63078584166252E-05,-7.34798288385123E-05,-0.000027172,-6.18598369054029E-05,0.434646043,0.501566748,0.0898203593
0.01,24,1835,98165,1846,98154,0,11,100000,0,100000,0,0,0,-0.0002999964,-0.0002436358,5.63606191778704E-05,-0.003133693,0.1695045437,0.1941765198,0.1304322464
0.01,48,25860,74140,26138,73862,61,339,100000,0,100000,0,0,0,0.0005496993,0.0002620193,-0.0002876799,-0.0008095236,0.2356014782,0.2712422426,0.1063797252
0.01,72,70882,29118,71696,28304,641,1455,100000,0,100000,0,0,0,0.0002522758,0.000276772,2.44961866556781E-05,-0.0002080215,0.2867258734,0.3304379326,0.0985883059
0.01,96,96051,3949,96231,3769,667,847,100000,0,100000,0,0,0,0.0001078959,-2.06227538858072E-06,-0.0001099582,-0.0002287372,0.3299537313,0.3805175895,0.094733625
0.01,120,99898,102,99873,127,74,49,100000,0,100000,0,0,0,-0.00019035,-0.0003023571,-0.000112007,-0.0001044435,0.3681648835,0.4247127838,0.0924338039
0.01,144,100000,0,100000,0,0,0,100000,0,100000,0,0,0,-0.0001647324,-0.0002321505,-6.74180560280304E-05,-0.000035097,0.4027503049,0.4646527121,0.0909059139
0.01,168,100000,0,100000,0,0,0,100000,0,100000,0,0,0,0.0001475264,0.0001991053,5.15789093033707E-05,-9.87083696590347E-06,0.434605242,0.5014821022,0.0898172434
0.1,24,2079,97921,2089,97911,0,10,100000,0,100000,0,0,0,0.0008568739,0.0009555545,9.86806034225468E-05,-0.0032656082,0.1692818173,0.1936896937,0.1302965942
0.1,48,23755,76245,24011,75989,104,360,100000,0,100000,0,0,0,-0.00056952,-0.0002618496,0.0003076704,-0.0009636768,0.2352292185,0.2707005981,0.1062336968
0.1,72,68150,31850,68631,31369,1208,1689,100000,0,100000,0,0,0,0.0003140289,0.0004043477,9.03188149546327E-05,-0.0003588211,0.286131096,0.3297515242,0.0984353873
0.1,96,96206,3794,96021,3979,990,805,100000,0,100000,0,0,0,-0.0001218253,-8.31442442638121E-05,0.000038681,6.65205502390142E-05,0.3293744703,0.3798370584,0.0945784693
0.1,120,99953,47,99915,85,58,20,100000,0,100000,0,0,0,0.0002146372,0.0001196763,-9.49609111784094E-05,-0.000087481,0.3674616904,0.4238649819,0.0922774496
0.1,144,100000,0,100000,0,0,0,100000,0,100000,0,0,0,-2.77568054579523E-05,-6.77654259761832E-05,-4.00086205182308E-05,-4.03815202253689E-05,0.4020810684,0.4638694395,0.090748648
0.1,168,100000,0,100000,0,0,0,100000,0,100000,0,0,0,1.27387729186763E-05,-1.15324965456718E-05,-2.42712694643481E-05,-0.0001325353,0.4337573273,0.5005405425,0.0896597412
0.25,24,2451,97549,2467,97533,0,16,100000,0,100000,0,0,0,0.0002979043,0.0011069197,0.0008090154,-0.0029500607,0.1680113579,0.1922397127,0.12967
0.25,48,22703,77297,22992,77008,175,464,100000,0,100000,0,0,0,-0.0001393729,-7.3482135467383E-05,6.58907528554504E-05,-0.0004182675,0.2332505838,0.2683367293,0.1055264716
0.25,72,66582,33418,66778,33222,1829,2025,100000,0,100000,0,0,0,0.0003485354,0.000144552,-0.0002039834,-0.0005966347,0.2835206786,0.3268322224,0.0977050587
0.25,96,96763,3237,96231,3769,1235,703,100000,0,100000,0,0,0,-0.0001191864,-0.000113262,5.92445902491183E-06,-0.0001878,0.3264316368,0.376449761,0.093838239
0.25,120,99974,26,99942,58,45,13,100000,0,100000,0,0,0,-8.63603394481678E-05,-0.0001681882,-8.18278408107628E-05,-0.0001109956,0.3641914878,0.4200784577,0.0915310728
0.25,144,100000,0,100000,0,0,0,100000,0,100000,0,0,0,0.000159392,9.91132635075052E-05,-6.0278708097629E-05,-6.99033711946488E-05,0.3984356945,0.4596929978,0.0899992288
0.25,168,100000,0,100000,0,0,0,100000,0,100000,0,0,0,-3.39192462436787E-05,1.7533586594245E-05,5.14528328379235E-05,-2.28102282181877E-05,0.4298904108,0.4960645457,0.0889075378
1,24,2617,97383,2635,97365,0,18,100000,0,100000,0,0,0,0.0005843136,0.0007475033,0.0001631897,-0.0026665567,0.1587355142,0.1812831142,0.1249724638
1,48,20873,79127,21159,78841,206,492,100000,0,100000,0,0,0,-0.0002080714,6.52600625761787E-05,0.0002733314,-0.0006008089,0.2154247644,0.2479013966,0.0991399113
1,72,61195,38805,61387,38613,1930,2122,100000,0,100000,0,0,0,1.49108008482384E-05,-0.000077996,-9.29068482806387E-05,-0.0002903918,0.2602955692,0.2998535034,0.090814597
1,96,94382,5618,93692,6308,1798,1108,100000,0,100000,0,0,0,0.0001641094,0.000006748,-0.0001573615,-8.72913251910622E-05,0.2985124399,0.3442052458,0.0867119868
1,120,99911,89,99854,146,103,46,100000,0,100000,0,0,0,0.0001706309,0.0002416369,0.000071006,-0.0001092417,0.3322466655,0.3832174158,0.0842594664
1,144,100000,0,100000,0,0,0,100000,0,100000,0,0,0,6.27016586580625E-05,5.86754309868759E-05,-4.02622767118665E-06,-9.63081948383754E-05,0.362984734,0.4187956287,0.0826303399
1,168,100000,0,100000,0,0,0,100000,0,100000,0,0,0,0.0001025053,0.0002064148,0.0001039095,-0.0001383563,0.3914481924,0.4517074848,0.0814746792
