N,A0_unstable,A0_stable,A1_unstable,A1_stable,A1_stabilised,A1_destabilised,A0_infeasible,A0_feasible,A1_infeasible,A1_feasible,A1_made_feasible,A1_made_infeasible,C
24,2698,97302,2718,97282,1,21,100000,0,100000,0,0,0,0.1278144203
48,22539,77461,22822,77178,225,508,100000,0,100000,0,0,0,0.1033929255
72,65189,34811,65261,34739,2123,2195,100000,0,100000,0,0,0,0.0954866667
96,96256,3744,95598,4402,1473,815,100000,0,100000,0,0,0,0.0915746009
120,99968,32,99944,56,36,12,100000,0,100000,0,0,0,0.0892441204
144,100000,0,100000,0,0,0,100000,0,100000,0,0,0,0.0876944619
168,100000,0,100000,0,0,0,100000,0,100000,0,0,0,0.0865933761
192,100000,0,100000,0,0,0,100000,0,100000,0,0,0,0.0857666181
216,100000,0,100000,0,0,0,100000,0,100000,0,0,0,0.085126376
240,100000,0,100000,0,0,0,100000,0,100000,0,0,0,0.0846140746
