beta,S,A0_unstable,A0_stable,A1_unstable,A1_stable,A1_stabilised,A1_destabilised,A0_infeasible,A0_feasible,A1_infeasible,A1_feasible,A1_made_feasible,A1_made_infeasible,A0_rho,A1_rho,rho_diff,rho_abs,complex_A0,complex_A1,C
0,24,1741,98259,1743,98257,0,2,100000,0,100000,0,0,0,-0.0001071691,-0.0008776303,-0.0007704611,-0.0035817783,0.1695331202,0.194159358,0.1304347826
0,48,25784,74216,26038,73962,58,312,100000,0,100000,0,0,0,0.0002547614,-0.0001087393,-0.0003635007,-0.0008763713,0.2354987833,0.2710835455,0.1063829787
0,72,71682,28318,72462,27538,654,1434,100000,0,100000,0,0,0,9.27015578520821E-05,-0.000183789,-0.0002764906,-0.00042664,0.2866451757,0.3303932344,0.0985915493
0,96,96086,3914,96214,3786,671,799,100000,0,100000,0,0,0,5.55782101764735E-05,0.0001420684,8.64902380474649E-05,-0.0003583238,0.329812532,0.3803562313,0.0947368421
0,120,99907,93,99906,94,47,46,100000,0,100000,0,0,0,0.0002688847,0.0001960866,-7.27980687079541E-05,-0.0001191237,0.3681645156,0.4246806644,0.0924369748
0,144,100000,0,100000,0,0,0,100000,0,100000,0,0,0,0.0001713723,0.0002046345,3.32622855377035E-05,-6.35425623983867E-05,0.4027170965,0.4646053359,0.0909090909
0,168,100000,0,100000,0,0,0,100000,0,100000,0,0,0,-8.38381031241558E-05,-6.64472671585858E-05,1.73908359655699E-05,1.3925172554828E-05,0.4346608234,0.5015518531,0.0898203593
0.01,24,1870,98130,1874,98126,0,4,100000,0,100000,0,0,0,0.0007000227,0.0009654838,0.0002654611,-0.0040749043,0.1695614978,0.1941660435,0.1304326812
0.01,48,25374,74626,25622,74378,51,299,100000,0,100000,0,0,0,5.53939065037916E-05,0.000149766,9.43721026662524E-05,-0.000933866,0.235589322,0.2712201074,0.1063799557
0.01,72,71034,28966,71797,28203,669,1432,100000,0,100000,0,0,0,8.61166036722527E-05,-7.82843992679576E-05,-0.000164401,-0.0005390152,0.2866981696,0.3304256026,0.0985882746
0.01,96,96168,3832,96265,3735,704,801,100000,0,100000,0,0,0,0.0002925258,5.87428592999014E-05,-0.0002337829,-0.00024676,0.3299732431,0.3805369412,0.0947337171
0.01,120,99895,105,99886,114,55,46,100000,0,100000,0,0,0,-0.0001096564,-0.0001932319,-8.35755151812381E-05,-7.9591110139049E-05,0.3681166099,0.424615657,0.0924338768
0.01,144,100000,0,100000,0,0,0,100000,0,100000,0,0,0,-6.03120748575126E-05,-2.05306013986931E-05,3.97814734588194E-05,-0.000081405,0.4027749304,0.46468059,0.0909059965
0.01,168,100000,0,100000,0,0,0,100000,0,100000,0,0,0,9.95549319522342E-05,1.16583063765609E-05,-8.78966255756733E-05,-6.07194605200683E-05,0.4346245233,0.5014644691,0.0898173175
0.1,24,2084,97916,2093,97907,1,10,100000,0,100000,0,0,0,-0.0007125273,8.14367266910779E-06,0.0007206709,-0.0031178999,0.1693833598,0.1938228076,0.1302972826
0.1,48,23684,76316,23947,76053,99,362,100000,0,100000,0,0,0,0.00051326,0.0008465133,0.0003332532,-0.0006365127,0.235129002,0.270675039,0.1062319681
0.1,72,68020,31980,68607,31393,1153,1740,100000,0,100000,0,0,0,-7.84021570371744E-05,0.000078016,0.0001564182,-0.0002237303,0.2860929352,0.3297444501,0.0984356377
0.1,96,96185,3815,96070,3930,927,812,100000,0,100000,0,0,0,0.0001692355,-5.00513525566055E-05,-0.0002192869,-0.0002857922,0.329413645,0.3798030267,0.0945788465
0.1,120,99951,49,99933,67,41,23,100000,0,100000,0,0,0,-3.1644737782423E-05,-7.98085338890261E-05,-4.81637961066032E-05,-0.000059815,0.3674462484,0.4238983768,0.0922771863
0.1,144,100000,0,100000,0,0,0,100000,0,100000,0,0,0,-7.69905475403825E-05,-0.0001319119,-5.49213411649377E-05,-0.0001513356,0.4019755094,0.4637455653,0.0907480604
0.1,168,100000,0,100000,0,0,0,100000,0,100000,0,0,0,2.22061504762354E-05,-3.78484672028531E-05,-6.00546176790884E-05,1.03466780782609E-05,0.4337887661,0.5005302888,0.0896597591
0.25,24,2407,97593,2419,97581,0,12,100000,0,100000,0,0,0,0.000243886,-0.0003570331,-0.0006009191,-0.0031988578,0.1679578958,0.1921974117,0.1296676449
0.25,48,22749,77251,23049,76951,176,476,100000,0,100000,0,0,0,0.000185914,4.51735067529003E-05,-0.0001407405,-0.0006673,0.2331108236,0.2682137404,0.1055264273
0.25,72,66714,33286,66952,33048,1825,2063,100000,0,100000,0,0,0,0.0001094071,6.00997346443434E-05,-4.9307372760803E-05,-0.0001404169,0.2836574598,0.3269101075,0.0977042606
0.25,96,96679,3321,96129,3871,1294,744,100000,0,100000,0,0,0,0.0002280067,0.0003309339,0.0001029272,-0.0001563935,0.3264329843,0.3763677256,0.0938418904
0.25,120,99978,22,99955,45,34,11,100000,0,100000,0,0,0,-0.0002742394,-2.70902040664384E-05,0.0002471492,-0.0001809107,0.3642250703,0.4201216797,0.0915302689
0.25,144,100000,0,100000,0,0,0,100000,0,100000,0,0,0,-6.45196543185701E-05,-3.04617739011614E-05,3.40578804174086E-05,-0.000116022,0.3983594775,0.4596238974,0.0899998572
0.25,168,100000,0,100000,0,0,0,100000,0,100000,0,0,0,3.99891038492988E-05,-2.50449821259356E-06,-4.24936020618924E-05,-4.51441433567775E-05,0.4297032038,0.4958152026,0.0889072248
1,24,2577,97423,2593,97407,2,18,100000,0,100000,0,0,0,0.000294308,0.000258616,-3.56919441507041E-05,-0.0030953265,0.158813482,0.181511311,0.1249357609
1,48,21071,78929,21377,78623,178,484,100000,0,100000,0,0,0,0.0004562551,0.0003771898,-7.90653599184156E-05,-0.0005849774,0.2154606008,0.2478275816,0.0991406649
1,72,61378,38622,61628,38372,1888,2138,100000,0,100000,0,0,0,-0.0004404981,-7.90816314383335E-05,0.0003614165,-0.0001455615,0.2603536777,0.29997757,0.0908205164
1,96,94463,5537,93690,6310,1859,1086,100000,0,100000,0,0,0,5.08706646858865E-05,7.86187795304386E-05,2.77481148445521E-05,-0.0002126539,0.2985048246,0.344149857,0.086714239
1,120,99922,78,99853,147,105,36,100000,0,100000,0,0,0,1.17627638171388E-05,8.00708905346827E-05,6.83081267175438E-05,-9.6389485928088E-06,0.3322694457,0.3832633833,0.0842525504
1,144,99999,1,99999,1,0,0,100000,0,100000,0,0,0,-8.51973006182924E-05,-0.0002426036,-0.0001574063,-5.35278414957668E-05,0.363061688,0.418850309,0.0826301146
1,168,100000,0,100000,0,0,0,100000,0,100000,0,0,0,4.7671805044798E-05,9.2298932947159E-06,-3.84419117500822E-05,-1.65548314746661E-05,0.3913039607,0.4514837155,0.0814709773
