"","N","A0_unstable","A0_stable","A1_unstable","A1_stable","A1_stabilised","A1_destabilised","A0_infeasible","A0_feasible","A1_infeasible","A1_feasible","A1_made_feasible","A1_made_infeasible","C"
"1",24,1766,98234,1777,98223,0,11,1e+05,0,1e+05,0,0,0,0.130434782608696
"2",48,25649,74351,25891,74109,65,307,1e+05,0,1e+05,0,0,0,0.106382978723404
"3",72,71628,28372,72468,27532,638,1478,1e+05,0,1e+05,0,0,0,0.0985915492957746
"4",96,96173,3827,96344,3656,653,824,1e+05,0,1e+05,0,0,0,0.0947368421052632
"5",120,99907,93,99887,113,65,45,1e+05,0,1e+05,0,0,0,0.092436974789916
"6",144,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0,0.0909090909090909
"7",168,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0,0.0898203592814371
"8",192,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0,0.0890052356020942
"9",216,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0,0.0883720930232558
"10",240,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0,0.0878661087866109
