"","N","A0_unstable","A0_stable","A1_unstable","A1_stable","A1_stabilised","A1_destabilised","A0_infeasible","A0_feasible","A1_infeasible","A1_feasible","A1_made_feasible","A1_made_infeasible","C"
"1",24,1784,98216,1793,98207,0,9,1e+05,0,1e+05,0,0,0,0.130432101449275
"2",48,25679,74321,25909,74091,70,300,1e+05,0,1e+05,0,0,0,0.106379760638298
"3",72,71004,28996,71813,28187,639,1448,1e+05,0,1e+05,0,0,0,0.0985885093896714
"4",96,96024,3976,96098,3902,755,829,1e+05,0,1e+05,0,0,0,0.0947338618421053
"5",120,99906,94,99894,106,58,46,1e+05,0,1e+05,0,0,0,0.0924337296918768
"6",144,99999,1,1e+05,0,0,1,1e+05,0,1e+05,0,0,0,0.090906047979798
"7",168,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0,0.0898171571143427
"8",192,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0,0.0890021645942408
"9",216,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0,0.088369040913006
"10",240,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0,0.0878629738493724
