N,A0_unstable,A0_stable,A1_unstable,A1_stable,A1_stabilised,A1_destabilised,A0_infeasible,A0_feasible,A1_infeasible,A1_feasible,A1_made_feasible,A1_made_infeasible,C
24,2618,97382,2635,97365,1,18,100000,0,100000,0,0,0,0.1249259783
48,20978,79022,21258,78742,239,519,100000,0,100000,0,0,0,0.0991392287
72,61572,38428,61770,38230,1921,2119,100000,0,100000,0,0,0,0.0908142527
96,94284,5716,93547,6453,1839,1102,100000,0,100000,0,0,0,0.0867074057
120,99907,93,99846,154,106,45,100000,0,100000,0,0,0,0.0842644594
144,100000,0,100000,0,0,0,100000,0,100000,0,0,0,0.0826284237
168,100000,0,100000,0,0,0,100000,0,100000,0,0,0,0.0814741617
192,100000,0,100000,0,0,0,100000,0,100000,0,0,0,0.0806040292
216,100000,0,100000,0,0,0,100000,0,100000,0,0,0,0.0799321404
240,100000,0,100000,0,0,0,100000,0,100000,0,0,0,0.0793927043
