"","N","A0_unstable","A0_stable","A1_unstable","A1_stable","A1_stabilised","A1_destabilised","A0_infeasible","A0_feasible","A1_infeasible","A1_feasible","A1_made_feasible","A1_made_infeasible","C"
"1",24,2698,97302,2718,97282,1,21,1e+05,0,1e+05,0,0,0,0.127814420289855
"2",48,22539,77461,22822,77178,225,508,1e+05,0,1e+05,0,0,0,0.103392925531915
"3",72,65189,34811,65261,34739,2123,2195,1e+05,0,1e+05,0,0,0,0.0954866666666667
"4",96,96256,3744,95598,4402,1473,815,1e+05,0,1e+05,0,0,0,0.091574600877193
"5",120,99968,32,99944,56,36,12,1e+05,0,1e+05,0,0,0,0.0892441204481793
"6",144,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0,0.0876944619269619
"7",168,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0,0.086593376104933
"8",192,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0,0.0857666181282723
"9",216,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0,0.0851263759689923
"10",240,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0,0.0846140746164575
