"","N","A0_unstable","A0_stable","A1_unstable","A1_stable","A2_unstable","A2_stable","A3_unstable","A3_stable","A4_unstable","A4_stable","A1_stabilised","A2_stabilised","A3_stabilised","A4_stabilised","A1_destabilised","A2_destabilised","A3_destabilised","A4_destabilised","A0_infeasible","A0_feasible","A1_infeasible","A1_feasible","A2_infeasible","A2_feasible","A3_infeasible","A3_feasible","A4_infeasible","A4_feasible","A1_made_feasible","A2_made_feasible","A3_made_feasible","A4_made_feasible","A1_made_infeasible","A2_made_infeasible","A3_made_infeasible","A4_made_infeasible"
"1",2,26,99974,26,99974,26,99974,26,99974,26,99974,0,0,0,0,0,0,0,0,74995,25005,75045,24955,75029,24971,74889,25111,74889,25111,3486,4333,4412,4411,3536,4367,4306,4349
"2",3,394,99606,395,99605,395,99605,395,99605,395,99605,0,0,0,0,1,1,1,1,87574,12426,87666,12334,87533,12467,87630,12370,87630,12370,3583,5164,5074,5274,3675,5123,5130,5221
"3",4,1510,98490,1520,98480,1520,98480,1521,98479,1521,98479,0,0,0,0,10,10,11,11,93838,6162,93790,6210,93790,6210,93760,6240,93760,6240,2587,3212,3305,3347,2539,3164,3227,3352
"4",5,3769,96231,3804,96196,3847,96153,3837,96163,3840,96160,4,4,5,5,39,82,73,76,96894,3106,96835,3165,96890,3110,96879,3121,96879,3121,1634,1889,1917,1943,1575,1885,1902,1949
"5",6,8045,91955,8179,91821,8230,91770,8216,91784,8252,91748,45,51,49,43,179,236,220,250,98432,1568,98429,1571,98500,1500,98499,1501,98499,1501,907,989,981,1085,904,1057,1048,1077
"6",7,13507,86493,13786,86214,13833,86167,13885,86115,13939,86061,179,217,215,213,458,543,593,645,99194,806,99265,735,99247,753,99205,795,99205,795,463,546,570,579,534,599,581,597
"7",8,20461,79539,20928,79072,20943,79057,20990,79010,21072,78928,533,624,641,644,1000,1106,1170,1255,99607,393,99585,415,99598,402,99589,411,99589,411,278,278,300,289,256,269,282,285
"8",9,28826,71174,29247,70753,29244,70756,29373,70627,29412,70588,1263,1457,1457,1481,1684,1875,2004,2067,99796,204,99810,190,99816,184,99811,189,99811,189,136,132,128,149,150,152,143,157
"9",10,38311,61689,38447,61553,38445,61555,38425,61575,38590,61410,2274,2588,2621,2651,2410,2722,2735,2930,99894,106,99905,95,99895,105,99908,92,99908,92,64,74,67,86,75,75,81,82
"10",11,48580,51420,48186,51814,47963,52037,48022,51978,47963,52037,3513,4091,4119,4119,3119,3474,3561,3502,99964,36,99945,55,99950,50,99952,48,99952,48,44,43,40,30,25,29,28,32
"11",12,58716,41284,57546,42454,57120,42880,57195,42805,57404,42596,4780,5490,5580,5413,3610,3894,4059,4101,99983,17,99984,16,99978,22,99976,24,99976,24,13,20,22,21,14,15,15,15
"12",13,69306,30694,67199,32801,66405,33595,66556,33444,66601,33399,5813,6793,6792,6758,3706,3892,4042,4053,99989,11,99993,7,99987,13,99990,10,99990,10,5,11,5,7,9,9,6,9
"13",14,77644,22356,75039,24961,74114,25886,74217,25783,74533,25467,6154,7207,7304,6988,3549,3677,3877,3877,99993,7,99996,4,99994,6,99996,4,99996,4,2,5,3,4,5,6,6,6
"14",15,84836,15164,81867,18133,81049,18951,81068,18932,81407,18593,5997,6983,7108,6796,3028,3196,3340,3367,99992,8,99998,2,99998,2,99998,2,99998,2,2,2,1,0,8,8,7,8
"15",16,90476,9524,87775,12225,86613,13387,86608,13392,86984,13016,5099,6313,6405,6002,2398,2450,2537,2510,99998,2,1e+05,0,99997,3,99997,3,99997,3,0,3,3,1,2,2,2,2
"16",17,94220,5780,91888,8112,90903,9097,90954,9046,91333,8667,4166,5140,5178,4715,1834,1823,1912,1828,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,1,0,0,0,0
"17",18,96900,3100,95118,4882,94219,5781,94097,5903,94656,5344,2899,3828,3935,3389,1117,1147,1132,1145,99999,1,1e+05,0,99998,2,99999,1,99999,1,0,1,1,0,1,0,1,1
"18",19,98489,1511,97132,2868,96527,3473,96345,3655,96784,3216,1987,2617,2771,2341,630,655,627,636,1e+05,0,1e+05,0,99999,1,1e+05,0,1e+05,0,0,1,0,1,0,0,0,0
"19",20,99231,769,98394,1606,97854,2146,97823,2177,98085,1915,1186,1740,1778,1525,349,363,370,379,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0
"20",21,99723,277,99151,849,98815,1185,98775,1225,99021,979,714,1056,1083,874,142,148,135,172,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0
"21",22,99886,114,99536,464,99359,641,99361,639,99500,500,413,596,593,451,63,69,68,65,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0
"22",23,99950,50,99803,197,99654,346,99631,369,99747,253,183,328,358,236,36,32,39,33,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0
"23",24,99983,17,99896,104,99850,150,99822,178,99865,135,98,146,175,127,11,13,14,9,99999,1,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,1,1,1,1
"24",25,99996,4,99962,38,99913,87,99922,78,99940,60,38,86,77,60,4,3,3,4,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0
"25",26,99999,1,99982,18,99970,30,99969,31,99983,17,18,30,31,17,1,1,1,1,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0
