N,A0_unstable,A0_stable,A1_unstable,A1_stable,A2_unstable,A2_stable,A3_unstable,A3_stable,A4_unstable,A4_stable,A1_stabilised,A2_stabilised,A3_stabilised,A4_stabilised,A1_destabilised,A2_destabilised,A3_destabilised,A4_destabilised,A0_infeasible,A0_feasible,A1_infeasible,A1_feasible,A2_infeasible,A2_feasible,A3_infeasible,A3_feasible,A4_infeasible,A4_feasible,A1_made_feasible,A2_made_feasible,A3_made_feasible,A4_made_feasible,A1_made_infeasible,A2_made_infeasible,A3_made_infeasible,A4_made_infeasible
2,189,699811,189,699811,189,699811,189,699811,189,699811,0,0,0,0,0,0,0,0,524957,175043,525235,174765,524956,175044,524832,175168,524832,175168,24555,30224,30375,30497,24833,30223,30250,30196
3,2475,697525,2477,697523,2477,697523,2479,697521,2479,697521,0,0,0,0,2,2,4,4,612509,87491,612366,87634,612319,87681,611929,88071,611929,88071,25878,35723,36566,36896,25735,35533,35986,36694
4,10507,689493,10556,689444,10577,689423,10593,689407,10595,689405,0,0,0,0,49,70,86,88,656404,43596,656357,43643,656295,43705,656050,43950,656050,43950,18262,22954,23272,23555,18215,22845,22918,23341
5,27147,672853,27422,672578,27574,672426,27588,672412,27646,672354,29,31,33,35,304,458,474,534,678132,21868,678082,21918,678157,21843,677970,22030,677970,22030,11336,13107,13437,13535,11286,13132,13275,13492
6,55654,644346,56617,643383,56921,643079,56974,643026,57177,642823,260,329,315,314,1223,1596,1635,1837,689068,10932,688971,11029,689118,10882,689179,10821,689179,10821,6490,7212,7156,7309,6393,7262,7267,7498
7,94001,605999,96099,603901,96605,603395,96903,603097,97170,602830,1211,1390,1419,1423,3309,3994,4321,4592,694590,5410,694592,5408,694577,5423,694534,5466,694534,5466,3412,3793,3887,3994,3414,3780,3831,3851
8,142923,557077,145963,554037,146638,553362,146945,553055,147434,552566,3688,4241,4289,4345,6728,7956,8311,8856,697277,2723,697176,2824,697175,2825,697246,2754,697246,2754,1894,2056,1991,2023,1793,1954,1960,2019
9,202728,497272,205556,494444,205953,494047,206346,493654,206836,493164,8648,9993,10231,10247,11476,13218,13849,14355,698753,1247,698733,1267,698642,1358,698663,1337,698663,1337,914,1051,1053,1096,894,940,963,954
10,268681,431319,269234,430766,269065,430935,269300,430700,270315,429685,16197,18558,18809,18669,16750,18942,19428,20303,699286,714,699311,689,699275,725,699310,690,699310,690,497,556,530,552,522,545,554,573
11,339793,360207,336548,363452,334980,365020,335610,364390,336118,363882,24850,28860,28903,28814,21605,24047,24720,25139,699686,314,699663,337,699701,299,699672,328,699672,328,265,241,266,270,242,256,252,246
12,413076,286924,404138,295862,401114,298886,401377,298623,402670,297330,33766,39229,39508,38769,24828,27267,27809,28363,699853,147,699843,157,699827,173,699830,170,699830,170,127,149,139,134,117,123,116,114
13,483147,216853,469018,230982,463862,236138,463613,236387,465724,234276,40049,47037,47829,46471,25920,27752,28295,29048,699922,78,699927,73,699914,86,699896,104,699896,104,56,66,87,57,61,58,61,64
14,544155,155845,526207,173793,519596,180404,519882,180118,522332,177668,42662,50522,50840,48761,24714,25963,26567,26938,699950,50,699967,33,699962,38,699954,46,699954,46,25,31,37,35,42,43,41,46
15,594709,105291,574184,125816,567613,132387,567164,132836,570180,129820,41334,49490,50125,47423,20809,22394,22580,22894,699976,24,699979,21,699977,23,699975,25,699975,25,16,19,16,16,19,20,15,19
16,633452,66548,614075,85925,606662,93338,606891,93109,609678,90322,36016,43873,44173,41393,16639,17083,17612,17619,699992,8,699991,9,699988,12,699988,12,699988,12,8,11,11,17,7,7,7,8
17,660088,39912,643567,56433,636550,63450,636842,63158,639483,60517,28732,35927,36019,33116,12211,12389,12773,12511,699994,6,699998,2,699997,3,699995,5,699995,5,2,1,4,5,6,4,5,6
18,678174,21826,665316,34684,659337,40663,658977,41023,662063,37937,20729,26797,27296,24162,7871,7960,8099,8051,699998,2,699997,3,699996,4,699997,3,699997,3,3,3,3,1,2,1,2,2
19,688869,11131,679567,20433,674793,25207,674448,25552,677373,22627,13938,18684,19132,16238,4636,4608,4711,4742,700000,0,699998,2,699998,2,699999,1,699999,1,2,2,1,2,0,0,0,0
