"","N","A0_unstable","A0_stable","A1_unstable","A1_stable","A2_unstable","A2_stable","A3_unstable","A3_stable","A4_unstable","A4_stable","A1_stabilised","A2_stabilised","A3_stabilised","A4_stabilised","A1_destabilised","A2_destabilised","A3_destabilised","A4_destabilised","A0_infeasible","A0_feasible","A1_infeasible","A1_feasible","A2_infeasible","A2_feasible","A3_infeasible","A3_feasible","A4_infeasible","A4_feasible","A1_made_feasible","A2_made_feasible","A3_made_feasible","A4_made_feasible","A1_made_infeasible","A2_made_infeasible","A3_made_infeasible","A4_made_infeasible"
"1",2,48,99952,48,99952,48,99952,48,99952,48,99952,0,0,0,0,0,0,0,0,84516,15484,87134,12866,87270,12730,87267,12733,87267,12733,1976,2893,2906,2828,4594,5647,5657,5497
"2",3,222,99778,222,99778,222,99778,222,99778,222,99778,0,0,0,0,0,0,0,0,96561,3439,97874,2126,98602,1398,98563,1437,98563,1437,847,920,934,924,2160,2961,2936,2963
"3",4,689,99311,693,99307,692,99308,697,99303,693,99307,0,0,0,0,4,3,8,4,99458,542,99734,266,99876,124,99827,173,99827,173,175,107,153,113,451,525,522,528
"4",5,1564,98436,1578,98422,1578,98422,1585,98415,1587,98413,0,0,0,1,14,14,21,24,99937,63,99976,24,99981,19,99987,13,99987,13,21,19,13,12,60,63,63,63
"5",6,3058,96942,3098,96902,3106,96894,3109,96891,3109,96891,11,7,7,12,51,55,58,63,99990,10,99996,4,1e+05,0,99999,1,99999,1,3,0,1,2,9,10,10,10
"6",7,5648,94352,5740,94260,5766,94234,5792,94208,5793,94207,21,25,31,28,113,143,175,173,99999,1,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,1,1,1,1
"7",8,8913,91087,9063,90937,9088,90912,9168,90832,9157,90843,83,118,101,101,233,293,356,345,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0
"8",9,13342,86658,13667,86333,13656,86344,13755,86245,13789,86211,213,259,246,261,538,573,659,708,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0
"9",10,19065,80935,19427,80573,19485,80515,19545,80455,19586,80414,530,599,598,611,892,1019,1078,1132,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0
"10",11,25683,74317,26107,73893,26138,73862,26151,73849,26179,73821,988,1131,1197,1202,1412,1586,1665,1698,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0
"11",12,33216,66784,33354,66646,33392,66608,33454,66546,33530,66470,1791,2022,2040,2062,1929,2198,2278,2376,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0
"12",13,41351,58649,41280,58720,41147,58853,41229,58771,41354,58646,2712,3060,3090,3091,2641,2856,2968,3094,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0
"13",14,50224,49776,49465,50535,49266,50734,49387,50613,49479,50521,3797,4353,4381,4410,3038,3395,3544,3665,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0
"14",15,59301,40699,58048,41952,57625,42375,57759,42241,57885,42115,4751,5510,5534,5390,3498,3834,3992,3974,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0
"15",16,67698,32302,65521,34479,64984,35016,65079,34921,65315,34685,5618,6496,6555,6322,3441,3782,3936,3939,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0
"16",17,75697,24303,73266,26734,72312,27688,72347,27653,72750,27250,5830,6896,7169,6660,3399,3511,3819,3713,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0
"17",18,82590,17410,79775,20225,78819,21181,78794,21206,79318,20682,5880,7003,7222,6554,3065,3232,3426,3282,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0
"18",19,88069,11931,85225,14775,84355,15645,84182,15818,84834,15166,5398,6449,6627,5984,2554,2735,2740,2749,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0
"19",20,92211,7789,89626,10374,88807,11193,88486,11514,89189,10811,4597,5566,5838,5135,2012,2162,2113,2113,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0
"20",21,95388,4612,93075,6925,92112,7888,92036,7964,92677,7323,3701,4696,4790,4172,1388,1420,1438,1461,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0
"21",22,97216,2784,95627,4373,94794,5206,94685,5315,95202,4798,2628,3413,3570,3036,1039,991,1039,1022,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0
"22",23,98526,1474,97147,2853,96660,3340,96421,3579,96882,3118,1986,2481,2713,2262,607,615,608,618,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0
"23",24,99181,819,98399,1601,97926,2074,97826,2174,98209,1791,1164,1633,1743,1372,382,378,388,400,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0
"24",25,99673,327,99080,920,98719,1281,98695,1305,99010,990,758,1116,1138,836,165,162,160,173,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0
"25",26,99855,145,99504,496,99290,710,99271,729,99464,536,437,644,675,468,86,79,91,77,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0
"26",27,99927,73,99728,272,99603,397,99530,470,99706,294,243,361,443,268,44,37,46,47,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0
"27",28,99982,18,99879,121,99794,206,99758,242,99856,144,115,199,237,137,12,11,13,11,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0
"28",29,99989,11,99943,57,99889,111,99909,91,99923,77,54,108,87,72,8,8,7,6,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0
"29",30,99999,1,99974,26,99944,56,99942,58,99956,44,26,56,57,43,1,1,0,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0
"30",31,99999,1,99993,7,99975,25,99969,31,99989,11,7,25,31,11,1,1,1,1,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0
"31",32,99999,1,99995,5,99994,6,99987,13,99993,7,5,6,13,7,1,1,1,1,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0
"32",33,1e+05,0,99998,2,99998,2,99997,3,99999,1,2,2,3,1,0,0,0,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0
"33",34,1e+05,0,1e+05,0,1e+05,0,1e+05,0,99999,1,0,0,0,1,0,0,0,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0
"34",35,1e+05,0,1e+05,0,1e+05,0,99999,1,1e+05,0,0,0,1,0,0,0,0,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0
"35",36,1e+05,0,99999,1,1e+05,0,1e+05,0,1e+05,0,1,0,0,0,0,0,0,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0
"36",37,1e+05,0,1e+05,0,1e+05,0,99999,1,1e+05,0,0,0,1,0,0,0,0,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0
"37",38,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0
"38",39,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0
"39",40,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0
"40",41,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0
"41",42,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0
"42",43,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0
