"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1",2,65,99935,65,99935,65,99935,65,99935,65557,34443,65516,34484,62795,37205,61396,38604
"2",3,3372,96628,3372,96628,3372,96628,3372,96628,66913,33087,66798,33202,62851,37149,61082,38918
"3",4,34409,65591,34409,65591,34409,65591,34409,65591,61721,38279,61683,38317,59055,40945,58177,41823
"4",5,86552,13448,86552,13448,86552,13448,86552,13448,70206,29794,70154,29846,69488,30512,69166,30834
"5",6,99677,323,99677,323,99677,323,99677,323,87831,12169,87841,12159,89942,10058,90452,9548
"6",7,1e+05,0,1e+05,0,1e+05,0,1e+05,0,96913,3087,96971,3029,98310,1690,98595,1405
"7",8,1e+05,0,1e+05,0,1e+05,0,1e+05,0,99439,561,99431,569,99797,203,99859,141
"8",9,1e+05,0,1e+05,0,1e+05,0,1e+05,0,99920,80,99925,75,99972,28,99994,6
"9",10,1e+05,0,1e+05,0,1e+05,0,1e+05,0,99986,14,99986,14,99997,3,99999,1
"10",11,1e+05,0,1e+05,0,1e+05,0,1e+05,0,99999,1,1e+05,0,1e+05,0,1e+05,0
"11",12,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"12",13,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"13",14,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"14",15,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"15",16,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"16",17,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"17",18,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"18",19,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
