"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",2,53,99947,0,0,82647,10895,4529,1929,82516,10922,4617,1945
"2",3,232,99768,0,0,95652,1326,2120,902,95703,1259,2137,901
"3",4,705,99292,3,0,99280,79,465,176,99253,99,465,183
"4",5,1525,98460,15,0,99916,3,62,19,99930,3,50,17
"5",6,3136,96814,45,5,99991,0,7,2,99988,0,9,3
"6",7,5585,94307,96,12,99999,0,1,0,99999,0,1,0
"7",8,8935,90738,250,77,1e+05,0,0,0,1e+05,0,0,0
"8",9,13245,85997,515,243,1e+05,0,0,0,1e+05,0,0,0
"9",10,18392,80153,884,571,1e+05,0,0,0,1e+05,0,0,0
"10",11,24410,73167,1382,1041,1e+05,0,0,0,1e+05,0,0,0
"11",12,31149,65111,1936,1804,1e+05,0,0,0,1e+05,0,0,0
"12",13,38891,55915,2507,2687,1e+05,0,0,0,1e+05,0,0,0
"13",14,46455,46576,3201,3768,1e+05,0,0,0,1e+05,0,0,0
"14",15,54474,37232,3420,4874,1e+05,0,0,0,1e+05,0,0,0
"15",16,62230,28619,3602,5549,1e+05,0,0,0,1e+05,0,0,0
"16",17,69807,20776,3527,5890,1e+05,0,0,0,1e+05,0,0,0
"17",18,76563,14510,2991,5936,1e+05,0,0,0,1e+05,0,0,0
"18",19,82576,9491,2523,5410,1e+05,0,0,0,1e+05,0,0,0
"19",20,87667,5800,2015,4518,1e+05,0,0,0,1e+05,0,0,0
"20",21,91593,3251,1449,3707,1e+05,0,0,0,1e+05,0,0,0
"21",22,94603,1814,920,2663,1e+05,0,0,0,1e+05,0,0,0
"22",23,96654,857,603,1886,1e+05,0,0,0,1e+05,0,0,0
"23",24,98020,426,330,1224,1e+05,0,0,0,1e+05,0,0,0
"24",25,98897,174,170,759,1e+05,0,0,0,1e+05,0,0,0
"25",26,99436,65,82,417,1e+05,0,0,0,1e+05,0,0,0
"26",27,99735,20,41,204,1e+05,0,0,0,1e+05,0,0,0
"27",28,99860,5,13,122,1e+05,0,0,0,1e+05,0,0,0
"28",29,99930,4,5,61,1e+05,0,0,0,1e+05,0,0,0
"29",30,99987,0,0,13,1e+05,0,0,0,1e+05,0,0,0
"30",31,99989,0,2,9,1e+05,0,0,0,1e+05,0,0,0
"31",32,99999,0,0,1,1e+05,0,0,0,1e+05,0,0,0
"32",33,99997,0,1,2,1e+05,0,0,0,1e+05,0,0,0
"33",34,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"34",35,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"35",36,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"36",37,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"37",38,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"38",39,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"39",40,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"40",41,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"41",42,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"42",43,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"43",44,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"44",45,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"45",46,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
