"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",2,99,199901,0,0,164795,22060,9333,3812,164883,22128,9230,3759
"2",3,518,199482,0,0,191537,2584,4175,1704,191407,2647,4201,1745
"3",4,1430,198566,4,0,198430,210,993,367,198563,155,906,376
"4",5,3101,196881,17,1,199809,9,130,52,199799,4,139,58
"5",6,6256,193649,86,9,199978,0,19,3,199981,0,12,7
"6",7,11106,188620,229,45,199998,0,2,0,2e+05,0,0,0
"7",8,17606,181753,497,144,2e+05,0,0,0,2e+05,0,0,0
"8",9,26449,172077,1045,429,2e+05,0,0,0,2e+05,0,0,0
"9",10,36978,160304,1713,1005,2e+05,0,0,0,2e+05,0,0,0
"10",11,49160,146130,2749,1961,2e+05,0,0,0,2e+05,0,0,0
"11",12,62894,129955,3874,3277,2e+05,0,0,0,2e+05,0,0,0
"12",13,77607,112060,4931,5402,2e+05,0,0,0,2e+05,0,0,0
"13",14,92811,93639,6130,7420,2e+05,0,0,0,2e+05,0,0,0
"14",15,109105,74602,6808,9485,2e+05,0,0,0,2e+05,0,0,0
"15",16,124812,56799,7178,11211,2e+05,0,0,0,2e+05,0,0,0
"16",17,139929,41405,6881,11785,2e+05,0,0,0,2e+05,0,0,0
"17",18,153568,28681,6193,11558,2e+05,0,0,0,2e+05,0,0,0
"18",19,165407,18775,5077,10741,2e+05,0,0,0,2e+05,0,0,0
"19",20,174949,11667,4088,9296,2e+05,0,0,0,2e+05,0,0,0
"20",21,183155,6526,2961,7358,2e+05,0,0,0,2e+05,0,0,0
"21",22,189092,3501,1969,5438,2e+05,0,0,0,2e+05,0,0,0
"22",23,193124,1803,1196,3877,2e+05,0,0,0,2e+05,0,0,0
"23",24,196045,797,654,2504,2e+05,0,0,0,2e+05,0,0,0
"24",25,197841,321,362,1476,2e+05,0,0,0,2e+05,0,0,0
"25",26,198869,135,181,815,2e+05,0,0,0,2e+05,0,0,0
"26",27,199478,54,67,401,2e+05,0,0,0,2e+05,0,0,0
"27",28,199754,18,13,215,2e+05,0,0,0,2e+05,0,0,0
"28",29,199882,3,9,106,2e+05,0,0,0,2e+05,0,0,0
"29",30,199940,0,3,57,2e+05,0,0,0,2e+05,0,0,0
"30",31,199985,0,2,13,2e+05,0,0,0,2e+05,0,0,0
"31",32,199990,1,1,8,2e+05,0,0,0,2e+05,0,0,0
"32",33,199997,0,0,3,2e+05,0,0,0,2e+05,0,0,0
"33",34,199998,0,0,2,2e+05,0,0,0,2e+05,0,0,0
"34",35,199999,0,0,1,2e+05,0,0,0,2e+05,0,0,0
