"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",2,0,1e+05,0,0,71298,21415,3646,3641,71317,21446,3674,3563
"2",3,1,99999,0,0,83687,8714,3755,3844,83791,8734,3751,3724
"3",4,1,99999,0,0,90914,3491,2781,2814,91018,3435,2771,2776
"4",5,0,1e+05,0,0,95176,1356,1751,1717,95062,1379,1734,1825
"5",6,2,99998,0,0,97372,544,1035,1049,97499,478,1032,991
"6",7,2,99998,0,0,98644,195,613,548,98673,211,554,562
"7",8,4,99996,0,0,99275,83,316,326,99320,87,319,274
"8",9,14,99984,2,0,99639,25,156,180,99667,30,154,149
"9",10,27,99973,0,0,99812,12,97,79,99802,16,98,84
"10",11,44,99953,3,0,99905,1,44,50,99915,3,43,39
"11",12,73,99925,2,0,99951,2,26,21,99954,2,24,20
"12",13,108,99890,2,0,99985,1,7,7,99974,1,11,14
"13",14,151,99844,5,0,99991,0,4,5,99987,1,6,6
"14",15,176,99814,9,1,99996,0,3,1,99996,0,3,1
"15",16,264,99730,6,0,99996,0,3,1,99997,0,1,2
"16",17,358,99615,26,1,1e+05,0,0,0,99998,0,1,1
"17",18,470,99508,22,0,1e+05,0,0,0,1e+05,0,0,0
"18",19,608,99339,48,5,1e+05,0,0,0,1e+05,0,0,0
"19",20,789,99142,56,13,1e+05,0,0,0,1e+05,0,0,0
"20",21,1057,98868,60,15,1e+05,0,0,0,1e+05,0,0,0
"21",22,1195,98688,95,22,1e+05,0,0,0,99999,0,0,1
"22",23,1485,98348,129,38,1e+05,0,0,0,1e+05,0,0,0
"23",24,1823,97949,168,60,1e+05,0,0,0,1e+05,0,0,0
"24",25,2038,97680,197,85,1e+05,0,0,0,1e+05,0,0,0
"25",26,2538,97112,239,111,1e+05,0,0,0,1e+05,0,0,0
"26",27,2899,96660,302,139,1e+05,0,0,0,1e+05,0,0,0
"27",28,3517,95855,393,235,1e+05,0,0,0,1e+05,0,0,0
"28",29,3899,95338,499,264,1e+05,0,0,0,1e+05,0,0,0
"29",30,4565,94448,623,364,1e+05,0,0,0,1e+05,0,0,0
"30",31,5133,93570,799,498,1e+05,0,0,0,1e+05,0,0,0
"31",32,5922,92458,902,718,1e+05,0,0,0,1e+05,0,0,0
"32",33,6579,91500,1104,817,1e+05,0,0,0,1e+05,0,0,0
"33",34,7575,90019,1405,1001,1e+05,0,0,0,1e+05,0,0,0
"34",35,8226,88855,1593,1326,1e+05,0,0,0,1e+05,0,0,0
"35",36,9162,87275,1900,1663,1e+05,0,0,0,1e+05,0,0,0
"36",37,10249,85528,2271,1952,1e+05,0,0,0,1e+05,0,0,0
"37",38,11370,83719,2537,2374,1e+05,0,0,0,1e+05,0,0,0
"38",39,12280,81830,2993,2897,1e+05,0,0,0,1e+05,0,0,0
"39",40,13500,79760,3223,3517,1e+05,0,0,0,1e+05,0,0,0
"40",41,14660,77719,3664,3957,1e+05,0,0,0,1e+05,0,0,0
"41",42,16303,75079,4068,4550,1e+05,0,0,0,1e+05,0,0,0
"42",43,17712,72227,4665,5396,1e+05,0,0,0,1e+05,0,0,0
"43",44,19338,69556,4991,6115,1e+05,0,0,0,1e+05,0,0,0
"44",45,20960,66720,5609,6711,1e+05,0,0,0,1e+05,0,0,0
"45",46,22878,63500,5976,7646,1e+05,0,0,0,1e+05,0,0,0
"46",47,24505,60491,6491,8513,1e+05,0,0,0,1e+05,0,0,0
"47",48,26263,57393,7072,9272,1e+05,0,0,0,1e+05,0,0,0
"48",49,28758,53704,7424,10114,1e+05,0,0,0,1e+05,0,0,0
"49",50,30816,50455,7836,10893,1e+05,0,0,0,1e+05,0,0,0
"50",51,33057,46789,8191,11963,1e+05,0,0,0,1e+05,0,0,0
"51",52,35569,43611,8519,12301,1e+05,0,0,0,1e+05,0,0,0
"52",53,38006,39983,8757,13254,1e+05,0,0,0,1e+05,0,0,0
"53",54,40224,36842,9099,13835,1e+05,0,0,0,1e+05,0,0,0
