"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",2,36,99964,0,0,71562,21380,3586,3472,71438,21423,3621,3518
"2",3,370,99630,0,0,83941,8786,3596,3677,83759,9012,3581,3648
"3",4,1498,98495,7,0,91122,3615,2610,2653,91130,3591,2592,2687
"4",5,3891,96069,39,1,95145,1522,1723,1610,95355,1488,1543,1614
"5",6,7878,91924,173,25,97529,663,909,899,97589,652,871,888
"6",7,13068,86319,451,162,98709,257,536,498,98731,277,521,471
"7",8,19997,78573,878,552,99345,133,252,270,99345,120,259,276
"8",9,27677,69357,1675,1291,99663,75,140,122,99685,60,121,134
"9",10,36003,59269,2414,2314,99827,21,69,83,99833,30,59,78
"10",11,45153,48188,3042,3617,99907,19,39,35,99917,15,35,33
"11",12,54417,37252,3455,4876,99941,7,29,23,99963,3,15,19
"12",13,63353,27448,3595,5604,99974,4,12,10,99978,1,10,11
"13",14,71520,18947,3531,6002,99991,2,4,3,99996,0,3,1
"14",15,79018,12125,3051,5806,99997,0,3,0,99996,1,1,2
"15",16,85242,7353,2317,5088,99999,0,1,0,99997,0,2,1
"16",17,90260,3945,1694,4101,99999,0,1,0,1e+05,0,0,0
"17",18,93858,2039,1111,2992,1e+05,0,0,0,1e+05,0,0,0
"18",19,96468,932,636,1964,1e+05,0,0,0,99999,0,0,1
"19",20,98010,415,350,1225,1e+05,0,0,0,1e+05,0,0,0
"20",21,98988,158,167,687,1e+05,0,0,0,1e+05,0,0,0
"21",22,99535,45,67,353,1e+05,0,0,0,1e+05,0,0,0
"22",23,99776,19,38,167,1e+05,0,0,0,1e+05,0,0,0
"23",24,99907,4,10,79,1e+05,0,0,0,1e+05,0,0,0
"24",25,99961,1,2,36,1e+05,0,0,0,1e+05,0,0,0
"25",26,99981,1,1,17,1e+05,0,0,0,1e+05,0,0,0
"26",27,99992,0,0,8,1e+05,0,0,0,1e+05,0,0,0
"27",28,99999,0,0,1,1e+05,0,0,0,1e+05,0,0,0
"28",29,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"29",30,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"30",31,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"31",32,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"32",33,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"33",34,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"34",35,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"35",36,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"36",37,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"37",38,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"38",39,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"39",40,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"40",41,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"41",42,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
