"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",2,47,199953,0,0,143247,42784,7066,6903,142840,42973,7117,7070
"2",3,756,199241,3,0,167562,17764,7344,7330,167898,17813,7111,7178
"3",4,2999,196992,9,0,182308,7186,5246,5260,182300,7147,5309,5244
"4",5,7811,192097,87,5,190476,3048,3268,3208,190488,3056,3236,3220
"5",6,15634,183945,341,80,195000,1343,1853,1804,195062,1294,1806,1838
"6",7,26207,172498,924,371,197371,600,994,1035,197408,568,1027,997
"7",8,39662,157334,1906,1098,198732,245,510,513,198698,255,521,526
"8",9,55103,139221,3209,2467,199375,124,242,259,199336,115,281,268
"9",10,72305,118301,4745,4649,199669,54,142,135,199693,52,131,124
"10",11,89985,96870,5986,7159,199824,27,64,85,199820,20,83,77
"11",12,108681,74825,6985,9509,199916,13,34,37,199916,11,35,38
"12",13,126377,54849,7204,11570,199964,5,15,16,199952,8,21,19
"13",14,143266,37706,6957,12071,199978,3,9,10,199983,2,7,8
"14",15,157977,24365,5996,11662,199988,0,5,7,199986,1,8,5
"15",16,170883,14138,4768,10211,199999,0,0,1,199996,1,1,2
"16",17,180542,7867,3429,8162,199999,0,0,1,199998,0,0,2
"17",18,187856,3954,2228,5962,199999,0,1,0,199996,0,2,2
"18",19,192856,1912,1345,3887,199998,0,1,1,2e+05,0,0,0
"19",20,196052,775,724,2449,2e+05,0,0,0,2e+05,0,0,0
"20",21,197935,285,358,1422,199999,0,1,0,2e+05,0,0,0
"21",22,198995,90,168,747,199999,0,0,1,2e+05,0,0,0
"22",23,199580,23,57,340,2e+05,0,0,0,2e+05,0,0,0
"23",24,199812,8,15,165,2e+05,0,0,0,199999,0,0,1
"24",25,199902,5,6,87,2e+05,0,0,0,2e+05,0,0,0
"25",26,199966,0,3,31,2e+05,0,0,0,2e+05,0,0,0
"26",27,199984,0,1,15,2e+05,0,0,0,2e+05,0,0,0
"27",28,199995,0,0,5,2e+05,0,0,0,2e+05,0,0,0
"28",29,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"29",30,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"30",31,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"31",32,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"32",33,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
