"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",2,31,99969,0,0,1e+05,0,0,0,0,0,0,0
"2",3,392,99608,0,0,1e+05,0,0,0,0,0,0,0
"3",4,1552,98425,23,0,1e+05,0,0,0,0,0,0,0
"4",5,3985,95872,139,4,1e+05,0,0,0,0,0,0,0
"5",6,8013,91471,481,35,1e+05,0,0,0,0,0,0,0
"6",7,13111,85561,1116,212,1e+05,0,0,0,0,0,0,0
"7",8,19826,77362,2064,748,1e+05,0,0,0,0,0,0,0
"8",9,27174,67773,3275,1778,1e+05,0,0,0,0,0,0,0
"9",10,34891,57226,4481,3402,1e+05,0,0,0,0,0,0,0
"10",11,43155,45962,5448,5435,1e+05,0,0,0,0,0,0,0
"11",12,51331,34949,5939,7781,1e+05,0,0,0,0,0,0,0
"12",13,59302,25252,5807,9639,1e+05,0,0,0,0,0,0,0
"13",14,67209,16876,5147,10768,1e+05,0,0,0,0,0,0,0
"14",15,73970,10828,4204,10998,1e+05,0,0,0,0,0,0,0
"15",16,80566,6232,3045,10157,1e+05,0,0,0,0,0,0,0
"16",17,85512,3392,2049,9047,1e+05,0,0,0,0,0,0,0
"17",18,89319,1802,1358,7521,1e+05,0,0,0,0,0,0,0
"18",19,92477,842,747,5934,1e+05,0,0,0,0,0,0,0
"19",20,94841,334,434,4391,1e+05,0,0,0,0,0,0,0
"20",21,96329,139,178,3354,1e+05,0,0,0,0,0,0,0
"21",22,97533,44,61,2362,1e+05,0,0,0,0,0,0,0
"22",23,98358,15,27,1600,1e+05,0,0,0,0,0,0,0
"23",24,98856,5,15,1124,1e+05,0,0,0,0,0,0,0
"24",25,99218,0,1,781,1e+05,0,0,0,0,0,0,0
"25",26,99519,1,2,478,1e+05,0,0,0,0,0,0,0
"26",27,99684,0,2,314,1e+05,0,0,0,0,0,0,0
"27",28,99792,0,0,208,1e+05,0,0,0,0,0,0,0
"28",29,99845,0,0,155,1e+05,0,0,0,0,0,0,0
"29",30,99905,0,0,95,1e+05,0,0,0,0,0,0,0
"30",31,99950,0,0,50,1e+05,0,0,0,0,0,0,0
"31",32,99964,0,0,36,1e+05,0,0,0,0,0,0,0
"32",33,99984,0,0,16,1e+05,0,0,0,0,0,0,0
"33",34,99986,0,0,14,1e+05,0,0,0,0,0,0,0
"34",35,99990,0,0,10,1e+05,0,0,0,0,0,0,0
"35",36,99993,0,0,7,1e+05,0,0,0,0,0,0,0
"36",37,99995,0,0,5,1e+05,0,0,0,0,0,0,0
"37",38,99999,0,0,1,1e+05,0,0,0,0,0,0,0
"38",39,99999,0,0,1,1e+05,0,0,0,0,0,0,0
"39",40,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"40",41,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"41",42,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"42",43,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"43",44,99999,0,0,1,1e+05,0,0,0,0,0,0,0
"44",45,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"45",46,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"46",47,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"47",48,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"48",49,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"49",50,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"50",51,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"51",52,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"52",53,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"53",54,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"54",55,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"55",56,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"56",57,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"57",58,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"58",59,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"59",60,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"60",61,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"61",62,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"62",63,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"63",64,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"64",65,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"65",66,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"66",67,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"67",68,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"68",69,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"69",70,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"70",71,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"71",72,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"72",73,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"73",74,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"74",75,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"75",76,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"76",77,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"77",78,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"78",79,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"79",80,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"80",81,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"81",82,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"82",83,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"83",84,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"84",85,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"85",86,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"86",87,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"87",88,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"88",89,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
