Species_S,Unstable,Stable,De.stabilised,Stabilised,Infeasible,Feasible,Made_infeasible,Made_feasible
2,0,100000,0,0,7224,76912,12332,3532
3,0,100000,0,0,20006,51156,22078,6760
4,0,100000,0,0,34978,31752,25437,7833
5,1,99999,0,0,50294,18439,23916,7351
6,2,99998,0,0,63362,10251,20344,6043
7,3,99997,0,0,74288,5517,15771,4424
8,6,99993,1,0,82627,2881,11369,3123
9,15,99985,0,0,88676,1449,7809,2066
10,26,99974,0,0,92621,758,5278,1343
11,31,99968,1,0,95383,336,3504,777
12,71,99927,2,0,97191,187,2140,482
13,99,99898,3,0,98336,66,1352,246
14,152,99843,5,0,98971,45,806,178
15,192,99795,13,0,99375,16,522,87
16,307,99681,12,0,99653,7,283,57
17,369,99618,13,0,99815,5,154,26
18,460,99512,26,2,99893,1,92,14
19,631,99334,31,4,99930,0,61,9
20,768,99165,57,10,99963,0,32,5
21,977,98960,55,8,99977,0,16,7
22,1175,98721,85,19,99991,0,7,2
23,1419,98430,115,36,99994,0,5,1
24,1737,98033,177,53,99997,0,3,0
25,2152,97521,251,76,99998,0,1,1
26,2540,97097,258,105,100000,0,0,0
27,2964,96592,310,134,99999,0,0,1
28,3538,95827,422,213,100000,0,0,0
29,4006,95199,507,288,100000,0,0,0
30,4589,94435,616,360,100000,0,0,0
31,5192,93535,777,496,100000,0,0,0
32,5769,92611,947,673,100000,0,0,0
33,6644,91353,1176,827,100000,0,0,0
34,7518,90009,1440,1033,100000,0,0,0
35,8413,88729,1591,1267,100000,0,0,0
36,9207,87297,1891,1605,100000,0,0,0
37,10198,85613,2133,2056,100000,0,0,0
38,11247,83918,2458,2377,100000,0,0,0
39,12292,82016,2879,2813,100000,0,0,0
40,13689,79542,3338,3431,100000,0,0,0
41,14766,77474,3805,3955,100000,0,0,0
42,16204,74968,4224,4604,100000,0,0,0
43,17694,72384,4690,5232,100000,0,0,0
44,19264,69422,5190,6124,100000,0,0,0
45,21094,66389,5580,6937,100000,0,0,0
46,22712,63557,6115,7616,100000,0,0,0
47,24715,60208,6541,8536,100000,0,0,0
48,26541,57072,6961,9426,100000,0,0,0
49,28449,54069,7271,10211,100000,0,0,0
50,30862,50506,7774,10858,100000,0,0,0
51,32951,47033,8220,11796,100000,0,0,0
52,35286,43853,8402,12459,100000,0,0,0
53,37906,40081,8713,13300,100000,0,0,0
54,40335,36802,8970,13893,100000,0,0,0
55,43055,33533,9117,14295,100000,0,0,0
56,45863,30028,9062,15047,100000,0,0,0
57,48775,27136,8983,15106,100000,0,0,0
58,51779,24088,8988,15145,100000,0,0,0
59,54739,21094,8884,15283,100000,0,0,0
60,57419,18840,8614,15127,100000,0,0,0
61,60587,16076,8171,15166,100000,0,0,0
62,63579,13891,7850,14680,100000,0,0,0
63,66445,11874,7385,14296,100000,0,0,0
64,69003,10232,7044,13721,100000,0,0,0
65,71543,8705,6599,13153,100000,0,0,0
66,74434,7007,5930,12629,100000,0,0,0
67,77079,5888,5386,11647,100000,0,0,0
68,79807,4676,4679,10838,100000,0,0,0
69,81857,3840,4322,9981,100000,0,0,0
70,83873,3123,3790,9214,100000,0,0,0
71,85742,2484,3374,8400,100000,0,0,0
72,87930,1860,2832,7378,100000,0,0,0
73,89567,1395,2360,6678,100000,0,0,0
74,91099,1091,2003,5807,100000,0,0,0
75,92498,797,1584,5121,100000,0,0,0
76,93737,562,1380,4321,100000,0,0,0
77,94603,443,1105,3849,100000,0,0,0
78,95550,335,898,3217,100000,0,0,0
79,96273,242,738,2747,100000,0,0,0
80,96937,164,539,2360,100000,0,0,0
81,97555,105,438,1902,100000,0,0,0
82,98012,98,318,1572,100000,0,0,0
83,98448,34,227,1291,100000,0,0,0
84,98762,32,181,1025,100000,0,0,0
85,98960,20,123,897,100000,0,0,0
86,99228,11,88,673,100000,0,0,0
87,99439,10,64,487,100000,0,0,0
88,99523,3,49,425,100000,0,0,0
89,99638,5,39,318,100000,0,0,0
90,99725,3,28,244,100000,0,0,0
91,99809,0,9,182,100000,0,0,0
92,99844,1,10,145,100000,0,0,0
93,99892,0,7,101,100000,0,0,0
94,99933,0,2,65,100000,0,0,0
95,99937,0,3,60,100000,0,0,0
96,99950,0,0,50,100000,0,0,0
97,99973,0,1,26,100000,0,0,0
98,99978,0,1,21,100000,0,0,0
99,99991,0,0,9,100000,0,0,0
100,99988,0,0,12,100000,0,0,0
