"","N","A1_unstable","A1_stable","A2_unstable","A2_stable","A3_unstable","A3_stable","A4_unstable","A4_stable","A5_unstable","A5_stable","A6_unstable","A6_stable","A7_unstable","A7_stable","A2_stabilised","A2_destabilised","A3_stabilised","A3_destabilised","A4_stabilised","A4_destabilised","A5_stabilised","A5_destabilised","A6_stabilised","A6_destabilised","A7_stabilised","A7_destabilised","A1_infeasible","A1_feasible","A2_infeasible","A2_feasible","A3_infeasible","A3_feasible","A4_infeasible","A4_feasible","A5_infeasible","A5_feasible","A6_infeasible","A6_feasible","A7_infeasible","A7_feasible","A2_made_feasible","A2_made_infeasible","A3_made_feasible","A3_made_infeasible","A4_made_feasible","A4_made_infeasible","A5_made_feasible","A5_made_infeasible","A6_made_feasible","A6_made_infeasible","A7_made_feasible","A7_made_infeasible"
"1",2,50,99950,50,99950,50,99950,50,99950,50,99950,50,99950,50,99950,0,0,0,0,0,0,0,0,0,0,0,0,84447,15553,84508,15492,84474,15526,84474,15526,84533,15467,84457,15543,84430,15570,432,547,561,369,576,563,493,574,588,455,586,546
"2",3,218,99782,218,99782,218,99782,218,99782,218,99782,218,99782,218,99782,0,0,0,0,0,0,0,0,0,0,0,0,96576,3424,96619,3381,96545,3455,96553,3447,96592,3408,96598,3402,96595,3405,283,384,381,281,373,356,326,353,358,297,395,375
"3",4,642,99358,642,99358,642,99358,642,99358,642,99358,642,99358,642,99358,0,0,0,0,0,0,0,0,0,0,0,0,99432,568,99452,548,99464,536,99460,540,99442,558,99469,531,99434,566,96,98,105,99,108,110,116,130,133,109,145,112
"4",5,1568,98432,1568,98432,1568,98432,1568,98432,1567,98433,1567,98433,1568,98432,0,0,0,1,1,0,0,0,0,0,0,0,99936,64,99949,51,99941,59,99946,54,99929,71,99944,56,99937,63,12,13,16,23,17,20,25,18,26,16,25,21
"5",6,3172,96828,3171,96829,3170,96830,3173,96827,3173,96827,3174,96826,3171,96829,2,2,1,0,0,2,1,0,2,1,2,1,99990,10,99990,10,99990,10,99993,7,99990,10,99989,11,99991,9,5,4,3,5,5,4,5,4,6,5,4,5
"6",7,5443,94557,5442,94558,5441,94559,5444,94556,5444,94556,5441,94559,5443,94557,2,4,1,1,4,2,1,2,2,2,2,2,99998,2,1e+05,0,99999,1,99998,2,99998,2,99998,2,1e+05,0,0,1,2,1,1,0,2,2,2,1,1,2
"7",8,9030,90970,9026,90974,9030,90970,9021,90979,9023,90977,9029,90971,9031,90969,14,9,13,14,8,9,10,9,4,7,7,10,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",9,13293,86707,13288,86712,13294,86706,13290,86710,13294,86706,13290,86710,13283,86717,25,27,31,36,30,40,20,28,28,37,27,30,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",10,18995,81005,18998,81002,19008,80992,19010,80990,19002,80998,18991,81009,19007,80993,68,53,50,53,66,54,71,66,65,60,62,66,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",11,25726,74274,25722,74278,25737,74263,25730,74270,25723,74277,25723,74277,25714,74286,113,104,105,125,99,103,109,115,109,122,96,91,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",12,33057,66943,33053,66947,33021,66979,33029,66971,33051,66949,33055,66945,33028,66972,210,216,208,207,218,212,206,180,180,201,216,183,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",13,41513,58487,41501,58499,41507,58493,41516,58484,41508,58492,41509,58491,41526,58474,287,312,282,307,328,256,275,306,285,302,324,269,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",14,50202,49798,50130,49870,50182,49818,50202,49798,50194,49806,50152,49848,50181,49819,421,410,369,443,404,382,349,390,369,435,354,361,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",15,59001,40999,58909,41091,58993,41007,59019,40981,58920,41080,58936,41064,58940,41060,527,482,438,566,545,482,435,474,456,485,480,421,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0,0,0,0,0
