"","N","A1_unstable","A1_stable","A2_unstable","A2_stable","A3_unstable","A3_stable","A4_unstable","A4_stable","A5_unstable","A5_stable","A6_unstable","A6_stable","A7_unstable","A7_stable","A2_stabilised","A2_destabilised","A3_stabilised","A3_destabilised","A4_stabilised","A4_destabilised","A5_stabilised","A5_destabilised","A6_stabilised","A6_destabilised","A7_stabilised","A7_destabilised","A1_infeasible","A1_feasible","A2_infeasible","A2_feasible","A3_infeasible","A3_feasible","A4_infeasible","A4_feasible","A5_infeasible","A5_feasible","A6_infeasible","A6_feasible","A7_infeasible","A7_feasible","A2_made_feasible","A2_made_infeasible","A3_made_feasible","A3_made_infeasible","A4_made_feasible","A4_made_infeasible","A5_made_feasible","A5_made_infeasible","A6_made_feasible","A6_made_infeasible","A7_made_feasible","A7_made_infeasible"
"1",2,26,99974,26,99974,26,99974,26,99974,26,99974,26,99974,26,99974,0,0,0,0,0,0,0,0,0,0,0,0,74838,25162,74818,25182,74871,25129,74788,25212,74852,25148,74848,25152,74852,25148,463,549,589,402,571,562,443,582,539,416,581,576
"2",3,372,99628,372,99628,372,99628,372,99628,372,99628,372,99628,372,99628,0,0,0,0,0,0,0,0,0,0,0,0,87527,12473,87503,12497,87511,12489,87499,12501,87537,12463,87493,12507,87552,12448,557,609,610,520,607,604,533,593,582,530,573,629
"3",4,1477,98523,1477,98523,1477,98523,1477,98523,1477,98523,1477,98523,1477,98523,0,0,0,0,0,0,0,0,0,0,0,0,93735,6265,93684,6316,93733,6267,93763,6237,93759,6241,93728,6272,93739,6261,477,497,472,439,481,474,426,495,500,463,474,478
"4",5,3960,96040,3960,96040,3961,96039,3961,96039,3960,96040,3960,96040,3962,96038,1,1,0,0,1,0,1,2,1,0,1,2,96782,3218,96770,3230,96799,3201,96789,3211,96791,3209,96782,3218,96765,3235,303,314,295,264,319,331,291,331,302,273,319,314
"5",6,7941,92059,7943,92057,7940,92060,7943,92057,7943,92057,7943,92057,7941,92059,4,6,3,4,3,5,6,5,5,6,5,5,98450,1550,98425,1575,98423,1577,98444,1556,98427,1573,98447,1553,98458,1542,197,214,200,205,207,193,172,187,194,182,204,201
"6",7,13673,86327,13667,86333,13681,86319,13677,86323,13667,86333,13675,86325,13675,86325,31,23,21,30,27,22,25,31,25,24,29,24,99222,778,99216,784,99230,770,99217,783,99232,768,99228,772,99227,773,107,112,105,101,108,109,101,120,100,111,114,114
"7",8,20322,79678,20329,79671,20309,79691,20314,79686,20304,79696,20321,79679,20297,79703,66,82,80,85,70,79,73,69,72,67,69,54,99640,360,99639,361,99642,358,99657,343,99654,346,99637,363,99647,353,55,66,47,58,72,57,54,68,64,72,69,64
"8",9,28933,71067,28935,71065,28958,71042,28945,71055,28919,71081,28955,71045,28908,71092,146,149,150,170,155,165,148,174,162,156,177,140,99819,181,99803,197,99817,183,99813,187,99799,201,99816,184,99817,183,45,35,35,47,34,37,29,33,29,27,31,35
"9",10,38098,61902,38092,61908,38085,61915,38085,61915,38079,61921,38087,61913,38110,61890,264,263,252,280,273,247,258,250,239,261,262,259,99900,100,99901,99,99898,102,99883,117,99888,112,99895,105,99900,100,19,17,24,22,20,17,20,15,7,10,15,17
"10",11,48540,51460,48505,51495,48548,51452,48544,51456,48479,51521,48512,51488,48542,51458,403,399,352,439,409,350,368,407,356,378,381,352,99959,41,99952,48,99958,42,99959,41,99957,43,99963,37,99962,38,14,10,9,9,7,6,7,9,9,7,11,9
"11",12,59145,40855,59091,40909,59067,40933,59096,40904,59107,40893,59145,40855,59112,40888,519,557,507,568,522,494,465,479,458,530,522,461,99981,19,99982,18,99977,23,99984,16,99985,15,99983,17,99982,18,5,9,4,2,4,4,6,5,7,6,6,5
"12",13,69062,30938,69044,30956,69052,30948,69066,30934,68971,31029,69012,30988,68985,31015,606,594,542,656,613,590,588,584,546,565,563,513,99993,7,99990,10,99988,12,99991,9,99993,7,99989,11,99991,9,4,5,4,1,5,4,1,0,2,1,1,2
