"","Species_(S)","Unstable","Stable","De-stabilised","Stabilised","Infeasible","Feasible","Made_infeasible","Made_feasible"
"1",2,24,99976,0,0,7791,77018,11928,3263
"2",3,372,99628,0,0,23546,49183,20963,6308
"3",4,1519,98473,8,0,42953,27462,22115,7470
"4",5,3843,96104,50,3,62452,13581,17726,6241
"5",6,7983,91790,188,39,77330,5996,12317,4357
"6",7,13402,85968,457,173,87278,2533,7404,2785
"7",8,19677,78800,956,567,93082,1074,4345,1499
"8",9,27613,69513,1662,1212,96577,426,2221,776
"9",10,36193,59231,2331,2245,98184,181,1207,428
"10",11,45146,48165,3060,3629,99090,78,620,212
"11",12,54242,37426,3615,4717,99530,33,317,120
"12",13,63223,27287,3777,5713,99801,11,146,42
"13",14,71403,19079,3559,5959,99916,2,62,20
"14",15,79044,12133,3049,5774,99959,1,27,13
"15",16,85448,7136,2342,5074,99964,2,22,12
"16",17,90230,3976,1728,4066,99989,0,9,2
"17",18,93938,1931,1110,3021,99995,0,4,1
"18",19,96295,958,641,2106,99997,1,2,0
"19",20,97974,439,342,1245,99999,0,1,0
"20",21,99030,153,128,689,1e+05,0,0,0
"21",22,99517,54,77,352,1e+05,0,0,0
"22",23,99763,10,18,209,1e+05,0,0,0
"23",24,99912,2,8,78,1e+05,0,0,0
"24",25,99949,2,3,46,1e+05,0,0,0
"25",26,99983,0,1,16,1e+05,0,0,0
"26",27,99997,0,0,3,1e+05,0,0,0
"27",28,1e+05,0,0,0,1e+05,0,0,0
"28",29,1e+05,0,0,0,1e+05,0,0,0
"29",30,99999,0,0,1,1e+05,0,0,0
"30",31,1e+05,0,0,0,1e+05,0,0,0
"31",32,1e+05,0,0,0,1e+05,0,0,0
"32",33,1e+05,0,0,0,1e+05,0,0,0
"33",34,1e+05,0,0,0,1e+05,0,0,0
"34",35,1e+05,0,0,0,1e+05,0,0,0
"35",36,1e+05,0,0,0,1e+05,0,0,0
"36",37,1e+05,0,0,0,1e+05,0,0,0
"37",38,1e+05,0,0,0,1e+05,0,0,0
"38",39,1e+05,0,0,0,1e+05,0,0,0
"39",40,1e+05,0,0,0,1e+05,0,0,0
"40",41,1e+05,0,0,0,1e+05,0,0,0
"41",42,1e+05,0,0,0,1e+05,0,0,0
"42",43,1e+05,0,0,0,1e+05,0,0,0
"43",44,1e+05,0,0,0,1e+05,0,0,0
"44",45,1e+05,0,0,0,1e+05,0,0,0
"45",46,1e+05,0,0,0,1e+05,0,0,0
"46",47,1e+05,0,0,0,1e+05,0,0,0
"47",48,1e+05,0,0,0,1e+05,0,0,0
"48",49,1e+05,0,0,0,1e+05,0,0,0
"49",50,1e+05,0,0,0,1e+05,0,0,0
"50",51,1e+05,0,0,0,1e+05,0,0,0
"51",52,1e+05,0,0,0,1e+05,0,0,0
"52",53,1e+05,0,0,0,1e+05,0,0,0
"53",54,1e+05,0,0,0,1e+05,0,0,0
"54",55,1e+05,0,0,0,1e+05,0,0,0
"55",56,1e+05,0,0,0,1e+05,0,0,0
"56",57,1e+05,0,0,0,1e+05,0,0,0
"57",58,1e+05,0,0,0,1e+05,0,0,0
"58",59,1e+05,0,0,0,1e+05,0,0,0
"59",60,1e+05,0,0,0,1e+05,0,0,0
"60",61,1e+05,0,0,0,1e+05,0,0,0
"61",62,1e+05,0,0,0,1e+05,0,0,0
"62",63,1e+05,0,0,0,1e+05,0,0,0
"63",64,1e+05,0,0,0,1e+05,0,0,0
"64",65,1e+05,0,0,0,1e+05,0,0,0
"65",66,1e+05,0,0,0,1e+05,0,0,0
"66",67,1e+05,0,0,0,1e+05,0,0,0
"67",68,1e+05,0,0,0,1e+05,0,0,0
"68",69,1e+05,0,0,0,1e+05,0,0,0
"69",70,1e+05,0,0,0,1e+05,0,0,0
"70",71,1e+05,0,0,0,1e+05,0,0,0
"71",72,1e+05,0,0,0,1e+05,0,0,0
"72",73,1e+05,0,0,0,1e+05,0,0,0
"73",74,1e+05,0,0,0,1e+05,0,0,0
"74",75,1e+05,0,0,0,1e+05,0,0,0
"75",76,1e+05,0,0,0,1e+05,0,0,0
"76",77,1e+05,0,0,0,1e+05,0,0,0
"77",78,1e+05,0,0,0,1e+05,0,0,0
"78",79,1e+05,0,0,0,1e+05,0,0,0
"79",80,1e+05,0,0,0,1e+05,0,0,0
"80",81,1e+05,0,0,0,1e+05,0,0,0
"81",82,1e+05,0,0,0,1e+05,0,0,0
"82",83,1e+05,0,0,0,1e+05,0,0,0
"83",84,1e+05,0,0,0,1e+05,0,0,0
"84",85,1e+05,0,0,0,1e+05,0,0,0
"85",86,1e+05,0,0,0,1e+05,0,0,0
"86",87,1e+05,0,0,0,1e+05,0,0,0
"87",88,1e+05,0,0,0,1e+05,0,0,0
"88",89,1e+05,0,0,0,1e+05,0,0,0
"89",90,1e+05,0,0,0,1e+05,0,0,0
"90",91,1e+05,0,0,0,1e+05,0,0,0
"91",92,1e+05,0,0,0,1e+05,0,0,0
"92",93,1e+05,0,0,0,1e+05,0,0,0
"93",94,1e+05,0,0,0,1e+05,0,0,0
"94",95,1e+05,0,0,0,1e+05,0,0,0
"95",96,1e+05,0,0,0,1e+05,0,0,0
"96",97,1e+05,0,0,0,1e+05,0,0,0
"97",98,1e+05,0,0,0,1e+05,0,0,0
"98",99,1e+05,0,0,0,1e+05,0,0,0
"99",100,1e+05,0,0,0,1e+05,0,0,0
