rho_set,A0_unstable,A0_stable,A1_unstable,A1_stable,A1_stabilised,A1_destabilised,A0_infeasible,A0_feasible,A1_infeasible,A1_feasible,A1_made_feasible,A1_made_infeasible,A0_rho,A1_rho,rho_diff,rho_abs,complex_A0,complex_A1
-0.95,0,1,0,1,0,0,1,0,1,0,0,0,-0.95,-0.71253897,0.23746103,-0.23746103,12.9004563904,14.8823989358
-0.9,1,0,1,0,0,0,1,0,1,0,0,0,-0.9,-0.6806224964,0.2193775036,-0.2193775036,12.3092302437,14.1557209678
-0.85,1,0,1,0,0,0,1,0,1,0,0,0,-0.85,-0.6325064712,0.2174935288,-0.2174935288,12.5805338715,14.5769335194
-0.8,1,0,1,0,0,0,1,0,1,0,0,0,-0.8,-0.5838203105,0.2161796895,-0.2161796895,12.3789453385,14.4991265134
-0.75,1,0,1,0,0,0,1,0,1,0,0,0,-0.75,-0.5572036715,0.1927963285,-0.1927963285,12.7549071366,14.7968844211
-0.7,1,0,1,0,0,0,1,0,1,0,0,0,-0.7,-0.5205284853,0.1794715147,-0.1794715147,12.6968439487,14.7255763921
-0.65,1,0,1,0,0,0,1,0,1,0,0,0,-0.65,-0.4913787638,0.1586212362,-0.1586212362,12.8378761178,14.7586275362
-0.6,1,0,1,0,0,0,1,0,1,0,0,0,-0.6,-0.4538649588,0.1461350412,-0.1461350412,12.8326048711,14.735125155
-0.55,1,0,1,0,0,0,1,0,1,0,0,0,-0.55,-0.4137344858,0.1362655142,-0.1362655142,12.7096628176,14.6591352697
-0.5,1,0,1,0,0,0,1,0,1,0,0,0,-0.5,-0.372976587,0.127023413,-0.127023413,12.677683095,14.654302566
-0.45,1,0,1,0,0,0,1,0,1,0,0,0,-0.45,-0.3401856289,0.1098143711,-0.1098143711,12.6189914253,14.523876041
-0.4,1,0,1,0,0,0,1,0,1,0,0,0,-0.4,-0.3003578939,0.0996421061,-0.0996421061,12.4793992147,14.3968843118
-0.35,1,0,1,0,0,0,1,0,1,0,0,0,-0.35,-0.2619470567,0.0880529433,-0.0880529433,12.6032433197,14.5756068114
-0.3,1,0,1,0,0,0,1,0,1,0,0,0,-0.3,-0.2206404674,0.0793595326,-0.0793595326,12.4420738855,14.4460249098
-0.25,1,0,1,0,0,0,1,0,1,0,0,0,-0.25,-0.1881123622,0.0618876378,-0.0618876378,12.5154930674,14.43690688
-0.2,1,0,1,0,0,0,1,0,1,0,0,0,-0.2,-0.1505507556,0.0494492444,-0.0494492444,12.6173522027,14.6282254401
-0.15,1,0,1,0,0,0,1,0,1,0,0,0,-0.15,-0.1114330541,0.0385669459,-0.0385669459,12.4332808784,14.3654777248
-0.1,1,0,1,0,0,0,1,0,1,0,0,0,-0.1,-0.0755225211,0.0244774789,-0.0244774789,12.8459517907,14.7181493051
-0.05,1,0,1,0,0,0,1,0,1,0,0,0,-0.05,-0.0382305987,0.0117694013,-0.0117694013,12.7469515657,14.7590877918
1.11022302462516E-16,1,0,1,0,0,0,1,0,1,0,0,0,1.07934618211559E-16,-0.0012408172,-0.0012408172,0.0012408172,12.4231917059,14.4723067059
0.05,1,0,1,0,0,0,1,0,1,0,0,0,0.05,0.0372518498,-0.0127481502,-0.0127481502,12.6249828608,14.6153402965
0.1,1,0,1,0,0,0,1,0,1,0,0,0,0.1,0.0764086653,-0.0235913347,-0.0235913347,12.4264171718,14.3694438556
0.15,1,0,1,0,0,0,1,0,1,0,0,0,0.15,0.1156407834,-0.0343592166,-0.0343592166,12.9991571111,14.8527364432
0.2,1,0,1,0,0,0,1,0,1,0,0,0,0.2,0.1490829877,-0.0509170123,-0.0509170123,12.7924602463,14.7250323468
0.25,1,0,1,0,0,0,1,0,1,0,0,0,0.25,0.1898127681,-0.0601872319,-0.0601872319,13.0467280146,14.9712080234
0.3,1,0,1,0,0,0,1,0,1,0,0,0,0.3,0.2271378077,-0.0728621923,-0.0728621923,12.9204206892,14.8947842574
0.35,1,0,1,0,0,0,1,0,1,0,0,0,0.35,0.2634708911,-0.0865291089,-0.0865291089,12.7042924288,14.6727987197
0.4,1,0,1,0,0,0,1,0,1,0,0,0,0.4,0.296431423,-0.103568577,-0.103568577,12.2162829333,14.194747084
0.45,1,0,1,0,0,0,1,0,1,0,0,0,0.45,0.3395111373,-0.1104888627,-0.1104888627,12.7179289106,14.6550522878
0.5,1,0,1,0,0,0,1,0,1,0,0,0,0.5,0.3789584721,-0.1210415279,-0.1210415279,13.0416456202,14.9866503466
0.55,1,0,1,0,0,0,1,0,1,0,0,0,0.55,0.4102372559,-0.1397627441,-0.1397627441,12.674364442,14.7053833321
0.6,1,0,1,0,0,0,1,0,1,0,0,0,0.6,0.4465695541,-0.1534304459,-0.1534304459,12.0851982323,14.0498744979
0.65,1,0,1,0,0,0,1,0,1,0,0,0,0.65,0.4803384139,-0.1696615861,-0.1696615861,12.5726286519,14.6187074665
0.7,1,0,1,0,0,0,1,0,1,0,0,0,0.7,0.5285123736,-0.1714876264,-0.1714876264,12.8036596103,14.7200185209
0.75,1,0,1,0,0,0,1,0,1,0,0,0,0.75,0.5652438385,-0.1847561615,-0.1847561615,12.6286911722,14.5881149701
0.8,1,0,1,0,0,0,1,0,1,0,0,0,0.8,0.6061246284,-0.1938753716,-0.1938753716,12.784811879,14.7111053104
0.85,1,0,1,0,0,0,1,0,1,0,0,0,0.85,0.6415200331,-0.2084799669,-0.2084799669,12.820464751,14.7375965264
0.9,1,0,1,0,0,0,1,0,1,0,0,0,0.9,0.6689045026,-0.2310954974,-0.2310954974,12.6310027973,14.6502346841
0.95,1,0,1,0,0,0,1,0,1,0,0,0,0.95,0.7189792683,-0.2310207317,-0.2310207317,12.8988715368,14.8255608202
