"","N","A0_unstable","A0_stable","A1_unstable","A1_stable","A1_stabilised","A1_destabilised","A0_infeasible","A0_feasible","A1_infeasible","A1_feasible","A1_made_feasible","A1_made_infeasible"
"1",2,28,99972,28,99972,0,0,75150,24850,75039,24961,3628,3517
"2",3,360,99640,360,99640,0,0,87531,12469,87500,12500,3647,3616
"3",4,1502,98498,1511,98489,0,9,93633,6367,93784,6216,2556,2707
"4",5,3857,96143,3912,96088,3,58,96830,3170,96860,3140,1652,1682
"5",6,7804,92196,7924,92076,43,163,98416,1584,98431,1569,927,942
"6",7,13185,86815,13557,86443,161,533,99216,784,99227,773,504,515
"7",8,20304,79696,20679,79321,578,953,99584,416,99592,408,264,272
"8",9,28763,71237,29186,70814,1269,1692,99798,202,99806,194,134,142
"9",10,38474,61526,38573,61427,2270,2369,99912,88,99906,94,67,61
"10",11,48722,51278,48285,51715,3542,3105,99954,46,99945,55,43,34
"11",12,59228,40772,58002,41998,4835,3609,99975,25,99979,21,16,20
"12",13,68910,31090,66962,33038,5711,3763,99990,10,99988,12,8,6
"13",14,77594,22406,75087,24913,6045,3538,99996,4,99993,7,6,3
"14",15,84877,15123,82049,17951,5931,3103,99998,2,99995,5,5,2
"15",16,90404,9596,87738,12262,5078,2412,99998,2,99999,1,1,2
"16",17,94361,5639,91921,8079,4125,1685,1e+05,0,99999,1,1,0
"17",18,96899,3101,94964,5036,3078,1143,99999,1,1e+05,0,0,1
"18",19,98429,1571,97116,2884,1958,645,1e+05,0,1e+05,0,0,0
"19",20,99255,745,98320,1680,1295,360,1e+05,0,1e+05,0,0,0
"20",21,99703,297,99180,820,699,176,1e+05,0,1e+05,0,0,0
"21",22,99870,130,99575,425,368,73,1e+05,0,1e+05,0,0,0
"22",23,99939,61,99803,197,179,43,1e+05,0,1e+05,0,0,0
"23",24,99984,16,99912,88,86,14,1e+05,0,1e+05,0,0,0
"24",25,1e+05,0,99958,42,42,0,1e+05,0,1e+05,0,0,0
"25",26,99998,2,99982,18,18,2,1e+05,0,1e+05,0,0,0
"26",27,1e+05,0,99995,5,5,0,1e+05,0,1e+05,0,0,0
"27",28,1e+05,0,99999,1,1,0,1e+05,0,1e+05,0,0,0
"28",29,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"29",30,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"30",31,1e+05,0,99999,1,1,0,1e+05,0,1e+05,0,0,0
"31",32,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"32",33,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"33",34,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"34",35,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"35",36,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"36",37,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"37",38,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"38",39,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"39",40,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"40",41,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"41",42,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"42",43,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"43",44,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"44",45,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"45",46,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"46",47,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"47",48,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"48",49,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"49",50,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
