"","N","A0_unstable","A0_stable","A1_unstable","A1_stable","A2_unstable","A2_stable","A3_unstable","A3_stable","A4_unstable","A4_stable","A1_stabilised","A2_stabilised","A3_stabilised","A4_stabilised","A1_destabilised","A2_destabilised","A3_destabilised","A4_destabilised","A0_infeasible","A0_feasible","A1_infeasible","A1_feasible","A2_infeasible","A2_feasible","A3_infeasible","A3_feasible","A4_infeasible","A4_feasible","A1_made_feasible","A2_made_feasible","A3_made_feasible","A4_made_feasible","A1_made_infeasible","A2_made_infeasible","A3_made_infeasible","A4_made_infeasible"
"1",2,25,99975,25,99975,25,99975,25,99975,25,99975,0,0,0,0,0,0,0,0,75103,24897,74979,25021,74947,25053,74958,25042,74958,25042,3597,4321,4418,4349,3473,4165,4273,4197
"2",3,338,99662,338,99662,339,99661,338,99662,338,99662,0,0,0,0,0,1,0,0,87568,12432,87538,12462,87492,12508,87489,12511,87489,12511,3739,5052,5235,5341,3709,4976,5156,5309
"3",4,1502,98498,1508,98492,1508,98492,1510,98490,1515,98485,0,0,0,0,6,6,8,13,93728,6272,93732,6268,93651,6349,93516,6484,93516,6484,2627,3320,3456,3504,2631,3243,3244,3355
"4",5,3920,96080,3953,96047,3978,96022,3987,96013,3997,96003,2,5,3,3,35,63,70,80,96842,3158,96762,3238,96826,3174,96785,3215,96785,3215,1679,1856,1943,1940,1599,1840,1886,1951
"5",6,7831,92169,7958,92042,8000,92000,8012,91988,8037,91963,42,51,55,52,169,220,236,258,98468,1532,98482,1518,98422,1578,98450,1550,98450,1550,887,1046,1038,1024,901,1000,1020,1057
"6",7,13380,86620,13680,86320,13776,86224,13796,86204,13856,86144,155,189,202,180,455,585,618,656,99242,758,99216,784,99233,767,99235,765,99235,765,495,535,567,580,469,526,560,537
"7",8,20323,79677,20715,79285,20870,79130,20903,79097,20976,79024,529,581,601,654,921,1128,1181,1307,99596,404,99598,402,99591,409,99592,408,99592,408,262,299,282,303,264,294,278,293
"8",9,28925,71075,29297,70703,29420,70580,29413,70587,29573,70427,1275,1424,1471,1451,1647,1919,1959,2099,99822,178,99816,184,99778,222,99821,179,99821,179,130,172,140,150,124,128,139,139
"9",10,38290,61710,38413,61587,38269,61731,38407,61593,38502,61498,2307,2754,2686,2644,2430,2733,2803,2856,99897,103,99906,94,99890,110,99908,92,99908,92,70,88,73,75,79,81,84,81
"10",11,48323,51677,47772,52228,47760,52240,47752,52248,47855,52145,3583,4119,4173,4136,3032,3556,3602,3668,99948,52,99950,50,99955,45,99951,49,99951,49,40,34,37,49,42,41,40,39
"11",12,59112,40888,57894,42106,57437,42563,57478,42522,57698,42302,4840,5572,5606,5512,3622,3897,3972,4098,99978,22,99978,22,99970,30,99972,28,99972,28,19,25,25,20,19,17,19,17
"12",13,69003,30997,67003,32997,66184,33816,66246,33754,66538,33462,5662,6781,6810,6596,3662,3962,4053,4131,99986,14,99988,12,99985,15,99988,12,99988,12,10,12,11,4,12,11,13,11
"13",14,77756,22244,75180,24820,74351,25649,74198,25802,74594,25406,6069,7116,7318,7033,3493,3711,3760,3871,99996,4,99996,4,99996,4,99995,5,99995,5,3,4,4,3,3,4,3,4
"14",15,84869,15131,81964,18036,81069,18931,80887,19113,81325,18675,5931,7075,7224,6740,3026,3275,3242,3196,99996,4,99998,2,99995,5,99996,4,99996,4,0,4,1,3,2,3,1,3
