"","N","A0_unstable","A0_stable","A1_unstable","A1_stable","A1_stabilised","A1_destabilised","A0_infeasible","A0_feasible","A1_infeasible","A1_feasible","A1_made_feasible","A1_made_infeasible"
"1",2,7,99993,7,99993,0,0,75160,24840,75111,24889,2549,2500
"2",3,106,99894,106,99894,0,0,87447,12553,87460,12540,3027,3040
"3",4,395,99605,397,99603,0,2,93849,6151,93902,6098,2357,2410
"4",5,1117,98883,1123,98877,0,6,96827,3173,96834,3166,1564,1571
"5",6,2346,97654,2367,97633,6,27,98402,1598,98447,1553,908,953
"6",7,4314,95686,4388,95612,16,90,99218,782,99285,715,469,536
"7",8,7327,92673,7456,92544,61,190,99611,389,99593,407,290,272
"8",9,11514,88486,11792,88208,150,428,99808,192,99818,182,128,138
"9",10,16247,83753,16584,83416,415,752,99904,96,99906,94,63,65
"10",11,22481,77519,22759,77241,884,1162,99952,48,99939,61,46,33
"11",12,29459,70541,29729,70271,1548,1818,99977,23,99976,24,16,15
"12",13,37631,62369,37567,62433,2419,2355,99984,16,99988,12,9,13
"13",14,46317,53683,45696,54304,3548,2927,99995,5,99993,7,6,4
"14",15,54945,45055,53695,46305,4671,3421,99994,6,99996,4,2,4
"15",16,63683,36317,61643,38357,5567,3527,99999,1,1e+05,0,0,1
"16",17,72004,27996,69375,30625,6124,3495,1e+05,0,1e+05,0,0,0
"17",18,79220,20780,76158,23842,6413,3351,1e+05,0,1e+05,0,0,0
"18",19,85286,14714,82283,17717,5982,2979,99999,1,1e+05,0,0,1
"19",20,90240,9760,87181,12819,5398,2339,1e+05,0,1e+05,0,0,0
"20",21,93676,6324,91077,8923,4468,1869,1e+05,0,99999,1,1,0
"21",22,96203,3797,94045,5955,3425,1267,1e+05,0,1e+05,0,0,0
"22",23,97866,2134,96161,3839,2496,791,1e+05,0,1e+05,0,0,0
"23",24,98842,1158,97633,2367,1713,504,1e+05,0,1e+05,0,0,0
"24",25,99433,567,98630,1370,1079,276,1e+05,0,1e+05,0,0,0
"25",26,99760,240,99259,741,655,154,1e+05,0,1e+05,0,0,0
"26",27,99895,105,99576,424,377,58,1e+05,0,1e+05,0,0,0
"27",28,99950,50,99790,210,194,34,1e+05,0,1e+05,0,0,0
"28",29,99981,19,99915,85,80,14,1e+05,0,1e+05,0,0,0
"29",30,99994,6,99952,48,47,5,1e+05,0,1e+05,0,0,0
"30",31,99998,2,99972,28,28,2,1e+05,0,1e+05,0,0,0
"31",32,99999,1,99992,8,8,1,1e+05,0,1e+05,0,0,0
"32",33,1e+05,0,99997,3,3,0,1e+05,0,1e+05,0,0,0
"33",34,1e+05,0,99999,1,1,0,1e+05,0,1e+05,0,0,0
"34",35,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"35",36,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"36",37,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"37",38,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"38",39,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"39",40,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"40",41,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"41",42,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"42",43,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"43",44,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"44",45,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"45",46,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"46",47,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"47",48,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"48",49,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"49",50,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
