"","N","A0_unstable","A0_stable","A1_unstable","A1_stable","A1_stabilised","A1_destabilised","A0_infeasible","A0_feasible","A1_infeasible","A1_feasible","A1_made_feasible","A1_made_infeasible"
"1",2,56,99944,56,99944,0,0,65625,34375,62929,37071,4882,2186
"2",3,3301,96699,3301,96699,0,0,66866,33134,62671,37329,8618,4423
"3",4,34446,65554,34446,65554,0,0,61466,38534,58568,41432,9854,6956
"4",5,86520,13480,86520,13480,0,0,69731,30269,68956,31044,8204,7429
"5",6,99683,317,99683,317,0,0,87962,12038,89934,10066,3561,5533
"6",7,99998,2,99998,2,0,0,97014,2986,98403,1597,769,2158
"7",8,1e+05,0,1e+05,0,0,0,99373,627,99795,205,135,557
"8",9,1e+05,0,1e+05,0,0,0,99904,96,99986,14,13,95
"9",10,1e+05,0,1e+05,0,0,0,99992,8,99998,2,2,8
"10",11,1e+05,0,1e+05,0,0,0,99998,2,1e+05,0,0,2
"11",12,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"12",13,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"13",14,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"14",15,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"15",16,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"16",17,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"17",18,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"18",19,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"19",20,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"20",21,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"21",22,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"22",23,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"23",24,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"24",25,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"25",26,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"26",27,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"27",28,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"28",29,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"29",30,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"30",31,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"31",32,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"32",33,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"33",34,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"34",35,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"35",36,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"36",37,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"37",38,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"38",39,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"39",40,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"40",41,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"41",42,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"42",43,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"43",44,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"44",45,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"45",46,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"46",47,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"47",48,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"48",49,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"49",50,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
