"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",2,0,1000,0,0,698,228,38,36,1000
"2",3,9,991,0,0,829,97,41,33,991
"3",4,11,989,0,0,904,42,27,27,989
"4",5,38,962,0,0,954,18,13,15,962
"5",6,67,930,3,0,984,3,7,6,934
"6",7,138,857,5,0,988,5,2,5,865
"7",8,215,769,11,5,990,2,3,5,797
"8",9,293,675,20,12,998,0,1,1,732
"9",10,371,585,24,20,998,0,2,0,695
"10",11,460,478,37,25,996,0,2,2,649
"11",12,525,390,42,43,1000,0,0,0,614
"12",13,638,258,35,69,999,0,0,1,561
"13",14,712,182,42,64,1000,0,0,0,522
"14",15,798,117,35,50,1000,0,0,0,525
"15",16,855,70,22,53,1000,0,0,0,487
"16",17,902,41,10,47,1000,0,0,0,454
"17",18,934,21,11,34,1000,0,0,0,429
"18",19,955,12,10,23,1000,0,0,0,422
"19",20,983,4,2,11,1000,0,0,0,415
"20",21,990,1,2,7,1000,0,0,0,375
"21",22,997,0,1,2,1000,0,0,0,349
"22",23,999,0,1,0,1000,0,0,0,324
"23",24,999,0,0,1,1000,0,0,0,269
"24",25,999,0,1,0,1000,0,0,0,196
"25",26,1000,0,0,0,1000,0,0,0,172
"26",27,1000,0,0,0,1000,0,0,0,112
"27",28,1000,0,0,0,1000,0,0,0,74
"28",29,1000,0,0,0,1000,0,0,0,60
"29",30,1000,0,0,0,1000,0,0,0,40
"30",31,1000,0,0,0,1000,0,0,0,29
"31",32,1000,0,0,0,1000,0,0,0,12
"32",33,1000,0,0,0,1000,0,0,0,3
"33",34,1000,0,0,0,1000,0,0,0,2
"34",35,1000,0,0,0,1000,0,0,0,2
"35",36,1000,0,0,0,1000,0,0,0,0
"36",37,1000,0,0,0,1000,0,0,0,0
"37",38,1000,0,0,0,1000,0,0,0,1
"38",39,1000,0,0,0,1000,0,0,0,0
"39",40,1000,0,0,0,1000,0,0,0,0
"40",41,1000,0,0,0,1000,0,0,0,0
"41",42,1000,0,0,0,1000,0,0,0,0
"42",43,1000,0,0,0,1000,0,0,0,0
"43",44,1000,0,0,0,1000,0,0,0,0
"44",45,1000,0,0,0,1000,0,0,0,0
"45",46,1000,0,0,0,1000,0,0,0,0
"46",47,1000,0,0,0,1000,0,0,0,0
"47",48,1000,0,0,0,1000,0,0,0,0
"48",49,1000,0,0,0,1000,0,0,0,0
"49",50,1000,0,0,0,1000,0,0,0,0
