"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",2,5,9995,0,0,7089,2134,403,374,0
"2",3,28,9972,0,0,8368,923,344,365,0
"3",4,143,9856,0,1,9092,359,290,259,0
"4",5,367,9632,0,1,9509,147,180,164,0
"5",6,796,9196,0,8,9779,63,81,77,0
"6",7,1325,8624,0,51,9883,22,38,57,0
"7",8,1859,7992,1,148,9940,12,28,20,0
"8",9,2552,7075,0,373,9961,6,13,20,0
"9",10,3173,6084,1,742,9980,2,11,7,0
"10",11,3572,5215,0,1213,9993,2,2,3,0
"11",12,4162,4056,0,1782,9995,0,3,2,0
"12",13,4402,3105,0,2493,9999,0,1,0,0
"13",14,4737,2233,0,3030,9999,0,0,1,0
"14",15,5026,1496,0,3478,9997,0,2,1,0
"15",16,5219,958,0,3823,10000,0,0,0,0
"16",17,5379,601,0,4020,10000,0,0,0,0
"17",18,5510,319,0,4171,10000,0,0,0,0
"18",19,5793,164,0,4043,10000,0,0,0,0
"19",20,5998,86,0,3916,10000,0,0,0,0
"20",21,6339,27,0,3634,10000,0,0,0,0
"21",22,6667,11,0,3322,10000,0,0,0,0
"22",23,6895,2,0,3103,10000,0,0,0,0
"23",24,7327,0,0,2673,10000,0,0,0,0
"24",25,7678,3,0,2319,10000,0,0,0,0
"25",26,8148,0,0,1852,10000,0,0,0,0
"26",27,8568,0,0,1432,10000,0,0,0,0
"27",28,8927,0,0,1073,10000,0,0,0,0
"28",29,9243,0,0,757,10000,0,0,0,0
"29",30,9512,0,0,488,10000,0,0,0,0
"30",31,9632,0,0,368,10000,0,0,0,0
"31",32,9779,0,0,221,10000,0,0,0,0
"32",33,9872,0,0,128,10000,0,0,0,0
"33",34,9928,0,0,72,10000,0,0,0,0
"34",35,9956,0,0,44,10000,0,0,0,0
"35",36,9981,0,0,19,10000,0,0,0,0
"36",37,9991,0,0,9,10000,0,0,0,0
"37",38,9995,0,0,5,10000,0,0,0,0
"38",39,9998,0,0,2,10000,0,0,0,0
"39",40,10000,0,0,0,10000,0,0,0,0
"40",41,10000,0,0,0,10000,0,0,0,0
"41",42,10000,0,0,0,10000,0,0,0,0
"42",43,10000,0,0,0,10000,0,0,0,0
"43",44,10000,0,0,0,10000,0,0,0,0
"44",45,10000,0,0,0,10000,0,0,0,0
"45",46,10000,0,0,0,10000,0,0,0,0
"46",47,10000,0,0,0,10000,0,0,0,0
"47",48,10000,0,0,0,10000,0,0,0,0
"48",49,10000,0,0,0,10000,0,0,0,0
"49",50,10000,0,0,0,10000,0,0,0,0
