"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",2,0,1e+05,0,0,71244,21505,3675,3576,71266,21463,3640,3631
"2",3,1,99999,0,0,83637,8690,3884,3789,83754,8733,3815,3698
"3",4,1,99999,0,0,90935,3430,2840,2795,91070,3424,2779,2727
"4",5,0,1e+05,0,0,95145,1391,1675,1789,95146,1307,1734,1813
"5",6,1,99999,0,0,97472,572,989,967,97446,538,1049,967
"6",7,4,99996,0,0,98622,214,573,591,98571,242,590,597
"7",8,7,99993,0,0,99319,74,300,307,99280,92,297,331
"8",9,14,99986,0,0,99662,33,149,156,99625,20,177,178
"9",10,40,99959,1,0,99813,12,83,92,99839,12,66,83
"10",11,36,99963,1,0,99912,4,45,39,99906,5,45,44
"11",12,70,99928,2,0,99947,4,19,30,99961,0,22,17
"12",13,105,99888,7,0,99972,1,15,12,99984,1,10,5
"13",14,168,99827,4,1,99983,0,7,10,99991,0,3,6
"14",15,217,99775,7,1,99991,0,4,5,99990,2,2,6
"15",16,262,99725,12,1,99995,0,2,3,99996,0,1,3
"16",17,341,99641,17,1,99999,0,0,1,1e+05,0,0,0
"17",18,485,99492,21,2,1e+05,0,0,0,99999,0,0,1
"18",19,609,99356,29,6,1e+05,0,0,0,1e+05,0,0,0
"19",20,782,99157,51,10,1e+05,0,0,0,1e+05,0,0,0
"20",21,941,98987,60,12,1e+05,0,0,0,1e+05,0,0,0
"21",22,1171,98705,101,23,1e+05,0,0,0,1e+05,0,0,0
"22",23,1518,98322,128,32,1e+05,0,0,0,1e+05,0,0,0
"23",24,1810,98005,147,38,1e+05,0,0,0,1e+05,0,0,0
"24",25,2196,97540,197,67,1e+05,0,0,0,1e+05,0,0,0
"25",26,2545,97050,288,117,1e+05,0,0,0,1e+05,0,0,0
"26",27,2895,96629,325,151,1e+05,0,0,0,1e+05,0,0,0
"27",28,3462,95910,414,214,1e+05,0,0,0,1e+05,0,0,0
"28",29,3830,95349,539,282,1e+05,0,0,0,1e+05,0,0,0
"29",30,4621,94318,688,373,1e+05,0,0,0,1e+05,0,0,0
"30",31,5269,93428,782,521,1e+05,0,0,0,1e+05,0,0,0
"31",32,5850,92587,931,632,1e+05,0,0,0,1e+05,0,0,0
"32",33,6605,91428,1128,839,1e+05,0,0,0,1e+05,0,0,0
"33",34,7481,90062,1388,1069,1e+05,0,0,0,1e+05,0,0,0
"34",35,8465,88602,1597,1336,1e+05,0,0,0,1e+05,0,0,0
"35",36,9189,87347,1836,1628,1e+05,0,0,0,1e+05,0,0,0
"36",37,10114,85770,2177,1939,1e+05,0,0,0,1e+05,0,0,0
"37",38,11300,83810,2533,2357,1e+05,0,0,0,1e+05,0,0,0
"38",39,12374,81883,2905,2838,1e+05,0,0,0,1e+05,0,0,0
"39",40,13750,79631,3236,3383,1e+05,0,0,0,1e+05,0,0,0
"40",41,15202,77269,3637,3892,1e+05,0,0,0,1e+05,0,0,0
"41",42,16268,75053,4110,4569,1e+05,0,0,0,1e+05,0,0,0
"42",43,17634,72394,4649,5323,1e+05,0,0,0,1e+05,0,0,0
"43",44,19291,69617,5054,6038,1e+05,0,0,0,1e+05,0,0,0
"44",45,21149,66600,5557,6694,1e+05,0,0,0,1e+05,0,0,0
"45",46,22624,63703,6026,7647,1e+05,0,0,0,1e+05,0,0,0
"46",47,24674,60274,6612,8440,1e+05,0,0,0,1e+05,0,0,0
"47",48,26503,57115,7033,9349,1e+05,0,0,0,1e+05,0,0,0
"48",49,28696,53789,7454,10061,1e+05,0,0,0,1e+05,0,0,0
"49",50,30826,50279,7734,11161,1e+05,0,0,0,1e+05,0,0,0
"50",51,32968,47031,8226,11775,1e+05,0,0,0,1e+05,0,0,0
"51",52,35206,43693,8667,12434,1e+05,0,0,0,1e+05,0,0,0
"52",53,37975,40066,8679,13280,1e+05,0,0,0,1e+05,0,0,0
"53",54,40623,36493,8903,13981,1e+05,0,0,0,1e+05,0,0,0
"54",55,43253,33239,9111,14397,1e+05,0,0,0,1e+05,0,0,0
"55",56,45788,30369,9172,14671,1e+05,0,0,0,1e+05,0,0,0
"56",57,48571,27332,9071,15026,1e+05,0,0,0,1e+05,0,0,0
"57",58,51907,23585,9056,15452,1e+05,0,0,0,1e+05,0,0,0
"58",59,54586,21193,8753,15468,1e+05,0,0,0,1e+05,0,0,0
"59",60,57428,18830,8525,15217,1e+05,0,0,0,1e+05,0,0,0
"60",61,60365,16401,8164,15070,1e+05,0,0,0,1e+05,0,0,0
