"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",2,0,2e+05,0,0,142706,42894,7312,7088,142903,42793,7157,7147
"2",3,0,2e+05,0,0,167332,17589,7542,7537,167567,17272,7672,7489
"3",4,0,2e+05,0,0,181998,6930,5536,5536,182093,6927,5412,5568
"4",5,3,199997,0,0,190261,2682,3552,3505,190410,2700,3441,3449
"5",6,6,199993,1,0,194730,1082,2115,2073,194711,1150,2070,2069
"6",7,10,199989,1,0,197197,445,1158,1200,197329,402,1140,1129
"7",8,12,199988,0,0,198655,192,587,566,198638,156,611,595
"8",9,30,199969,1,0,199272,70,323,335,199263,74,335,328
"9",10,68,199930,2,0,199647,30,155,168,199603,28,183,186
"10",11,84,199913,3,0,199821,14,67,98,199788,11,90,111
"11",12,122,199874,4,0,199904,7,49,40,199916,2,37,45
"12",13,197,199799,4,0,199945,0,22,33,199954,3,22,21
"13",14,287,199702,11,0,199984,0,8,8,199980,0,7,13
"14",15,434,199552,14,0,199980,1,11,8,199989,0,7,4
"15",16,555,199418,26,1,199993,0,4,3,199996,0,2,2
"16",17,759,199208,30,3,199997,0,2,1,199997,0,2,1
"17",18,1041,198904,52,3,199996,0,0,4,2e+05,0,0,0
"18",19,1245,198676,64,15,199999,0,1,0,199998,0,0,2
"19",20,1557,198326,104,13,2e+05,0,0,0,2e+05,0,0,0
"20",21,2014,197838,118,30,2e+05,0,0,0,2e+05,0,0,0
"21",22,2492,197297,169,42,2e+05,0,0,0,199999,0,1,0
"22",23,3034,196662,251,53,2e+05,0,0,0,2e+05,0,0,0
"23",24,3612,196016,276,96,2e+05,0,0,0,2e+05,0,0,0
"24",25,4214,195219,414,153,2e+05,0,0,0,2e+05,0,0,0
"25",26,5071,194133,558,238,2e+05,0,0,0,2e+05,0,0,0
"26",27,5938,193069,689,304,2e+05,0,0,0,2e+05,0,0,0
"27",28,6910,191815,846,429,2e+05,0,0,0,2e+05,0,0,0
"28",29,7963,190367,1081,589,2e+05,0,0,0,2e+05,0,0,0
"29",30,9172,188755,1305,768,2e+05,0,0,0,2e+05,0,0,0
"30",31,10324,187176,1553,947,2e+05,0,0,0,2e+05,0,0,0
"31",32,11750,185025,1884,1341,2e+05,0,0,0,2e+05,0,0,0
"32",33,13083,182947,2337,1633,2e+05,0,0,0,2e+05,0,0,0
"33",34,14891,180297,2630,2182,2e+05,0,0,0,2e+05,0,0,0
"34",35,16467,177645,3197,2691,2e+05,0,0,0,2e+05,0,0,0
"35",36,18463,174597,3700,3240,2e+05,0,0,0,2e+05,0,0,0
"36",37,20429,171245,4294,4032,2e+05,0,0,0,2e+05,0,0,0
"37",38,22617,167591,5040,4752,2e+05,0,0,0,2e+05,0,0,0
"38",39,24879,163611,5753,5757,2e+05,0,0,0,2e+05,0,0,0
"39",40,27164,159418,6551,6867,2e+05,0,0,0,2e+05,0,0,0
"40",41,29855,155058,7297,7790,2e+05,0,0,0,2e+05,0,0,0
"41",42,32894,149773,8218,9115,2e+05,0,0,0,2e+05,0,0,0
"42",43,35741,144595,9082,10582,2e+05,0,0,0,2e+05,0,0,0
"43",44,38884,138952,10068,12096,2e+05,0,0,0,2e+05,0,0,0
"44",45,42238,133053,11023,13686,2e+05,0,0,0,2e+05,0,0,0
"45",46,45382,127185,12153,15280,2e+05,0,0,0,2e+05,0,0,0
"46",47,49273,121000,12990,16737,2e+05,0,0,0,2e+05,0,0,0
"47",48,53135,114198,14026,18641,2e+05,0,0,0,2e+05,0,0,0
"48",49,57395,107554,14788,20263,2e+05,0,0,0,2e+05,0,0,0
"49",50,61240,100770,15892,22098,2e+05,0,0,0,2e+05,0,0,0
"50",51,66377,93833,16294,23496,2e+05,0,0,0,2e+05,0,0,0
"51",52,71165,86693,17156,24986,2e+05,0,0,0,2e+05,0,0,0
"52",53,75763,80013,17768,26456,2e+05,0,0,0,2e+05,0,0,0
"53",54,81098,73267,18026,27609,2e+05,0,0,0,2e+05,0,0,0
"54",55,86321,66512,18351,28816,2e+05,0,0,0,2e+05,0,0,0
"55",56,91972,60132,18365,29531,2e+05,0,0,0,2e+05,0,0,0
"56",57,97393,54085,18405,30117,2e+05,0,0,0,2e+05,0,0,0
"57",58,103366,48167,17814,30653,2e+05,0,0,0,2e+05,0,0,0
"58",59,108705,42690,17857,30748,2e+05,0,0,0,2e+05,0,0,0
"59",60,114984,37464,17256,30296,2e+05,0,0,0,2e+05,0,0,0
"60",61,121223,32359,16181,30237,2e+05,0,0,0,2e+05,0,0,0
"61",62,126714,27929,15797,29560,2e+05,0,0,0,2e+05,0,0,0
"62",63,133088,23810,14751,28351,2e+05,0,0,0,2e+05,0,0,0
"63",64,138205,20112,13812,27871,2e+05,0,0,0,2e+05,0,0,0
"64",65,143991,17022,12895,26092,2e+05,0,0,0,2e+05,0,0,0
"65",66,149109,14005,11852,25034,2e+05,0,0,0,2e+05,0,0,0
"66",67,153970,11627,10941,23462,2e+05,0,0,0,2e+05,0,0,0
"67",68,159075,9456,9633,21836,2e+05,0,0,0,2e+05,0,0,0
"68",69,164074,7608,8443,19875,2e+05,0,0,0,2e+05,0,0,0
"69",70,167739,6222,7635,18404,2e+05,0,0,0,2e+05,0,0,0
"70",71,172061,4816,6473,16650,2e+05,0,0,0,2e+05,0,0,0
"71",72,175890,3684,5596,14830,2e+05,0,0,0,2e+05,0,0,0
"72",73,178770,3004,4815,13411,2e+05,0,0,0,2e+05,0,0,0
"73",74,182004,2155,4089,11752,2e+05,0,0,0,2e+05,0,0,0
"74",75,184802,1647,3366,10185,2e+05,0,0,0,2e+05,0,0,0
"75",76,187184,1236,2746,8834,2e+05,0,0,0,2e+05,0,0,0
"76",77,189240,897,2247,7616,2e+05,0,0,0,2e+05,0,0,0
"77",78,190999,613,1845,6543,2e+05,0,0,0,2e+05,0,0,0
"78",79,192397,499,1495,5609,2e+05,0,0,0,2e+05,0,0,0
"79",80,193853,320,1161,4666,2e+05,0,0,0,2e+05,0,0,0
"80",81,195065,235,901,3799,2e+05,0,0,0,2e+05,0,0,0
"81",82,196095,165,620,3120,2e+05,0,0,0,2e+05,0,0,0
"82",83,196825,91,511,2573,2e+05,0,0,0,2e+05,0,0,0
"83",84,197505,83,327,2085,2e+05,0,0,0,2e+05,0,0,0
"84",85,197990,44,267,1699,2e+05,0,0,0,2e+05,0,0,0
"85",86,198427,28,217,1328,2e+05,0,0,0,2e+05,0,0,0
"86",87,198790,19,146,1045,2e+05,0,0,0,2e+05,0,0,0
"87",88,199055,4,107,834,2e+05,0,0,0,2e+05,0,0,0
"88",89,199333,8,62,597,2e+05,0,0,0,2e+05,0,0,0
"89",90,199474,2,46,478,2e+05,0,0,0,2e+05,0,0,0
"90",91,199599,1,38,362,2e+05,0,0,0,2e+05,0,0,0
"91",92,199743,0,13,244,2e+05,0,0,0,2e+05,0,0,0
"92",93,199750,1,12,237,2e+05,0,0,0,2e+05,0,0,0
"93",94,199838,0,13,149,2e+05,0,0,0,2e+05,0,0,0
"94",95,199893,0,5,102,2e+05,0,0,0,2e+05,0,0,0
"95",96,199923,0,4,73,2e+05,0,0,0,2e+05,0,0,0
"96",97,199934,0,1,65,2e+05,0,0,0,2e+05,0,0,0
