"","N","A0_unstable","A0_stable","A1_unstable","A1_stable","A1_stabilised","A1_destabilised","A0_infeasible","A0_feasible","A1_infeasible","A1_feasible","A1_made_feasible","A1_made_infeasible"
"1",2,14,99986,14,99986,0,0,75187,24813,75175,24825,3199,3187
"2",3,240,99760,240,99760,0,0,87443,12557,87496,12504,3482,3535
"3",4,1008,98992,1016,98984,0,8,93795,6205,93798,6202,2556,2559
"4",5,2708,97292,2729,97271,2,23,96814,3186,96817,3183,1630,1633
"5",6,5669,94331,5755,94245,13,99,98439,1561,98380,1620,981,922
"6",7,9848,90152,10057,89943,91,300,99208,792,99176,824,519,487
"7",8,15903,84097,16201,83799,336,634,99603,397,99605,395,269,271
"8",9,22707,77293,23110,76890,765,1168,99803,197,99800,200,136,133
"9",10,30796,69204,31122,68878,1526,1852,99909,91,99910,90,65,66
"10",11,40224,59776,40082,59918,2649,2507,99951,49,99950,50,36,35
"11",12,49934,50066,49288,50712,3773,3127,99977,23,99975,25,19,17
"12",13,60138,39862,58803,41197,4984,3649,99986,14,99995,5,3,12
"13",14,69100,30900,67110,32890,5755,3765,99995,5,99996,4,4,5
"14",15,77607,22393,74884,25116,6273,3550,1e+05,0,99998,2,2,0
"15",16,84663,15337,81780,18220,5975,3092,1e+05,0,99997,3,3,0
"16",17,90075,9925,87290,12710,5209,2424,1e+05,0,99999,1,1,0
"17",18,93944,6056,91419,8581,4271,1746,1e+05,0,1e+05,0,0,0
"18",19,96650,3350,94530,5470,3287,1167,99999,1,1e+05,0,0,1
"19",20,98160,1840,96698,3302,2191,729,1e+05,0,1e+05,0,0,0
"20",21,99111,889,98133,1867,1389,411,1e+05,0,1e+05,0,0,0
"21",22,99588,412,98905,1095,903,220,1e+05,0,1e+05,0,0,0
"22",23,99837,163,99480,520,452,95,1e+05,0,1e+05,0,0,0
"23",24,99932,68,99744,256,228,40,1e+05,0,1e+05,0,0,0
"24",25,99976,24,99863,137,133,20,1e+05,0,1e+05,0,0,0
"25",26,99995,5,99950,50,49,4,1e+05,0,1e+05,0,0,0
"26",27,99996,4,99986,14,13,3,1e+05,0,1e+05,0,0,0
"27",28,1e+05,0,99993,7,7,0,1e+05,0,1e+05,0,0,0
"28",29,1e+05,0,99996,4,4,0,1e+05,0,1e+05,0,0,0
"29",30,1e+05,0,99998,2,2,0,1e+05,0,1e+05,0,0,0
"30",31,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"31",32,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"32",33,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"33",34,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"34",35,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"35",36,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"36",37,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"37",38,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"38",39,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"39",40,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"40",41,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"41",42,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"42",43,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"43",44,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"44",45,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"45",46,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"46",47,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"47",48,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"48",49,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"49",50,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
