Species_S,Unstable,Stable,De.stabilised,Stabilised,Infeasible,Feasible,Made_infeasible,Made_feasible
2,24,99976,0,0,7791,77018,11928,3263
3,372,99628,0,0,23546,49183,20963,6308
4,1519,98473,8,0,42953,27462,22115,7470
5,3843,96104,50,3,62452,13581,17726,6241
6,7983,91790,188,39,77330,5996,12317,4357
7,13402,85968,457,173,87278,2533,7404,2785
8,19677,78800,956,567,93082,1074,4345,1499
9,27613,69513,1662,1212,96577,426,2221,776
10,36193,59231,2331,2245,98184,181,1207,428
11,45146,48165,3060,3629,99090,78,620,212
12,54242,37426,3615,4717,99530,33,317,120
13,63223,27287,3777,5713,99801,11,146,42
14,71403,19079,3559,5959,99916,2,62,20
15,79044,12133,3049,5774,99959,1,27,13
16,85448,7136,2342,5074,99964,2,22,12
17,90230,3976,1728,4066,99989,0,9,2
18,93938,1931,1110,3021,99995,0,4,1
19,96295,958,641,2106,99997,1,2,0
20,97974,439,342,1245,99999,0,1,0
21,99030,153,128,689,100000,0,0,0
22,99517,54,77,352,100000,0,0,0
23,99763,10,18,209,100000,0,0,0
24,99912,2,8,78,100000,0,0,0
25,99949,2,3,46,100000,0,0,0
26,99983,0,1,16,100000,0,0,0
27,99997,0,0,3,100000,0,0,0
28,100000,0,0,0,100000,0,0,0
29,100000,0,0,0,100000,0,0,0
30,99999,0,0,1,100000,0,0,0
31,100000,0,0,0,100000,0,0,0
32,100000,0,0,0,100000,0,0,0
33,100000,0,0,0,100000,0,0,0
34,100000,0,0,0,100000,0,0,0
35,100000,0,0,0,100000,0,0,0
36,100000,0,0,0,100000,0,0,0
37,100000,0,0,0,100000,0,0,0
38,100000,0,0,0,100000,0,0,0
39,100000,0,0,0,100000,0,0,0
40,100000,0,0,0,100000,0,0,0
41,100000,0,0,0,100000,0,0,0
42,100000,0,0,0,100000,0,0,0
43,100000,0,0,0,100000,0,0,0
44,100000,0,0,0,100000,0,0,0
45,100000,0,0,0,100000,0,0,0
46,100000,0,0,0,100000,0,0,0
47,100000,0,0,0,100000,0,0,0
48,100000,0,0,0,100000,0,0,0
49,100000,0,0,0,100000,0,0,0
50,100000,0,0,0,100000,0,0,0
51,100000,0,0,0,100000,0,0,0
52,100000,0,0,0,100000,0,0,0
53,100000,0,0,0,100000,0,0,0
54,100000,0,0,0,100000,0,0,0
55,100000,0,0,0,100000,0,0,0
56,100000,0,0,0,100000,0,0,0
57,100000,0,0,0,100000,0,0,0
58,100000,0,0,0,100000,0,0,0
59,100000,0,0,0,100000,0,0,0
60,100000,0,0,0,100000,0,0,0
61,100000,0,0,0,100000,0,0,0
62,100000,0,0,0,100000,0,0,0
63,100000,0,0,0,100000,0,0,0
64,100000,0,0,0,100000,0,0,0
65,100000,0,0,0,100000,0,0,0
66,100000,0,0,0,100000,0,0,0
67,100000,0,0,0,100000,0,0,0
68,100000,0,0,0,100000,0,0,0
69,100000,0,0,0,100000,0,0,0
70,100000,0,0,0,100000,0,0,0
71,100000,0,0,0,100000,0,0,0
72,100000,0,0,0,100000,0,0,0
73,100000,0,0,0,100000,0,0,0
74,100000,0,0,0,100000,0,0,0
75,100000,0,0,0,100000,0,0,0
76,100000,0,0,0,100000,0,0,0
77,100000,0,0,0,100000,0,0,0
78,100000,0,0,0,100000,0,0,0
79,100000,0,0,0,100000,0,0,0
80,100000,0,0,0,100000,0,0,0
81,100000,0,0,0,100000,0,0,0
82,100000,0,0,0,100000,0,0,0
83,100000,0,0,0,100000,0,0,0
84,100000,0,0,0,100000,0,0,0
85,100000,0,0,0,100000,0,0,0
86,100000,0,0,0,100000,0,0,0
87,100000,0,0,0,100000,0,0,0
88,100000,0,0,0,100000,0,0,0
89,100000,0,0,0,100000,0,0,0
90,100000,0,0,0,100000,0,0,0
91,100000,0,0,0,100000,0,0,0
92,100000,0,0,0,100000,0,0,0
93,100000,0,0,0,100000,0,0,0
94,100000,0,0,0,100000,0,0,0
95,100000,0,0,0,100000,0,0,0
96,100000,0,0,0,100000,0,0,0
97,100000,0,0,0,100000,0,0,0
98,100000,0,0,0,100000,0,0,0
99,100000,0,0,0,100000,0,0,0
100,100000,0,0,0,100000,0,0,0
